"Road","FG","FGA","FGP","3P","3PA","3PP","FT","FTA","FTP","ORB","STL","PF","PTS","GmSc","Birthday","Ex","ChristmasDay"
0,4,13,0.308,1,2,0.5,5,6,0.833,2,0,4,14,10.5,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,14,18,0.778,5,5,1,8,10,0.8,4,0,3,41,38.2,0,0,0
0,7,11,0.636,2,4,0.5,0,0,0,1,0,1,16,14,0,0,0
1,7,16,0.438,2,6,0.333,1,2,0.5,2,2,4,17,13.3,0,0,0
1,7,13,0.538,3,5,0.6,0,1,0,1,2,4,17,9.9,0,0,0
1,7,11,0.636,2,4,0.5,3,4,0.75,0,2,0,19,18.9,0,0,0
0,4,10,0.4,3,5,0.6,0,0,0,1,1,2,11,7.7,0,0,0
0,6,13,0.462,1,3,0.333,5,5,1,2,1,2,18,17,0,0,0
0,8,11,0.727,4,6,0.667,1,2,0.5,1,0,1,21,18.7,0,0,0
1,7,9,0.778,2,2,1,6,11,0.545,0,1,3,22,20.2,0,0,0
1,5,11,0.455,1,5,0.2,2,2,1,0,0,0,13,10.4,0,0,0
1,4,13,0.308,2,7,0.286,0,0,0,2,1,2,10,4.2,0,0,0
1,4,10,0.4,2,6,0.333,2,2,1,1,2,1,12,8.8,0,0,0
0,6,12,0.5,0,4,0,6,8,0.75,1,0,2,18,13.2,0,0,0
0,5,13,0.385,2,9,0.222,1,2,0.5,1,1,2,13,8.1,0,0,0
1,11,18,0.611,2,8,0.25,2,3,0.667,3,1,3,26,22.2,0,0,0
1,2,10,0.2,0,1,0,7,8,0.875,2,1,1,11,8.6,0,0,0
1,4,10,0.4,2,4,0.5,6,6,1,1,1,0,16,17.5,0,0,0
1,5,10,0.5,4,7,0.571,2,2,1,2,1,2,16,17,0,0,0
0,13,23,0.565,6,12,0.5,8,11,0.727,0,4,1,40,38.5,0,0,0
0,12,23,0.522,5,11,0.455,0,1,0,2,1,0,29,20.3,0,0,0
1,3,11,0.273,1,6,0.167,3,3,1,1,2,1,10,8.5,0,0,0
1,4,15,0.267,2,7,0.286,4,4,1,0,1,2,14,7.9,0,0,0
0,9,15,0.6,0,4,0,6,9,0.667,5,0,4,24,20.9,0,0,0
0,5,12,0.417,1,4,0.25,3,5,0.6,2,0,0,14,8.9,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,4,10,0.4,2,5,0.4,3,6,0.5,1,1,3,13,6.8,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,6,12,0.5,2,2,1,0,0,0,1,0,2,14,6.8,0,0,0
0,14,22,0.636,5,11,0.455,6,7,0.857,1,0,2,39,32.6,0,0,0
1,8,20,0.4,2,8,0.25,2,3,0.667,1,1,2,20,11,0,0,0
0,7,23,0.304,2,6,0.333,0,0,0,0,0,1,16,2.7,0,0,0
0,13,26,0.5,1,8,0.125,3,6,0.5,3,2,6,30,15.7,0,0,0
1,6,16,0.375,1,7,0.143,6,8,0.75,2,0,3,19,11.8,0,0,0
1,4,18,0.222,0,5,0,3,4,0.75,2,0,2,11,0.5,0,0,0
1,4,15,0.267,3,6,0.5,3,4,0.75,3,0,1,14,9.4,0,0,0
0,5,17,0.294,1,7,0.143,3,3,1,3,0,2,14,5,0,0,0
1,7,20,0.35,2,10,0.2,1,2,0.5,1,4,2,17,11.4,0,0,0
1,5,17,0.294,0,3,0,1,2,0.5,3,0,1,11,6.2,0,0,0
0,6,17,0.353,2,7,0.286,2,3,0.667,4,1,3,16,5.5,0,0,0
1,9,20,0.45,1,6,0.167,3,8,0.375,4,1,2,22,17.2,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,3,9,0.333,2,3,0.667,1,2,0.5,0,0,0,9,6.2,0,0,0
1,8,17,0.471,4,8,0.5,0,0,0,2,0,3,20,17.6,0,0,0
1,7,20,0.35,1,7,0.143,3,4,0.75,1,2,0,18,13.7,0,0,0
0,4,9,0.444,1,6,0.167,2,5,0.4,2,2,0,11,13.7,0,0,0
0,10,19,0.526,3,8,0.375,4,6,0.667,1,2,4,27,22.7,0,0,0
0,4,8,0.5,0,1,0,6,7,0.857,1,2,5,14,12.2,0,0,0
1,4,18,0.222,1,6,0.167,4,4,1,2,0,3,13,3.1,0,0,0
1,11,20,0.55,4,6,0.667,2,7,0.286,4,0,1,28,20.9,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
