Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,9,14,0.643,4,6,0.667,4,9,0.444,1,0,0,26,19.4,0,0,0
0,7,19,0.368,2,6,0.333,5,6,0.833,3,0,1,21,10.4,0,0,0
1,10,20,0.5,2,7,0.286,5,8,0.625,1,2,2,27,21.3,0,0,0
0,3,9,0.333,0,3,0,1,6,0.167,1,1,5,7,0.9,0,0,0
1,7,12,0.583,1,2,0.5,6,9,0.667,0,2,2,21,12,0,0,0
0,5,15,0.333,3,7,0.429,1,3,0.333,0,2,3,14,6.8,0,0,0
1,7,23,0.304,1,5,0.2,7,8,0.875,4,1,1,22,11,0,0,0
1,9,21,0.429,0,5,0,0,3,0,3,1,0,18,6.7,0,0,0
0,9,14,0.643,2,4,0.5,3,4,0.75,0,0,3,23,16.2,0,0,0
0,8,12,0.667,1,2,0.5,3,5,0.6,0,0,1,20,15.6,0,0,0
1,6,14,0.429,1,4,0.25,4,4,1,1,4,2,17,14.1,0,0,0
1,10,22,0.455,1,3,0.333,6,7,0.857,0,2,0,27,17.5,0,0,0
1,4,10,0.4,0,1,0,3,5,0.6,0,2,1,11,7.8,0,0,0
0,4,11,0.364,1,2,0.5,2,4,0.5,0,0,1,11,6.4,0,0,0
1,7,15,0.467,2,5,0.4,3,4,0.75,1,3,2,19,14.7,0,0,0
0,11,18,0.611,0,4,0,2,4,0.5,0,2,1,24,17,0,0,0
1,5,14,0.357,0,3,0,1,2,0.5,1,1,3,11,1.7,0,0,0
0,6,15,0.4,1,4,0.25,7,9,0.778,1,1,1,20,14,0,0,0
0,6,14,0.429,0,3,0,6,8,0.75,1,3,2,18,14.4,0,0,0
0,8,18,0.444,4,6,0.667,1,4,0.25,3,1,1,21,15.2,0,0,0
0,5,15,0.333,1,5,0.2,2,3,0.667,0,0,2,13,6.4,0,0,0
1,10,18,0.556,3,6,0.5,5,5,1,2,0,1,28,24.4,0,0,0
1,8,14,0.571,4,8,0.5,3,6,0.5,0,1,3,23,16.3,0,0,0
0,4,15,0.267,0,5,0,4,4,1,1,1,0,12,5.1,0,0,0
1,6,17,0.353,0,2,0,0,0,0,2,2,4,12,3.2,0,0,0
1,7,16,0.438,1,3,0.333,1,2,0.5,1,0,4,16,5,0,0,0
0,3,12,0.25,0,3,0,4,8,0.5,1,0,2,10,0.1,0,0,0
0,8,24,0.333,1,7,0.143,3,5,0.6,4,2,3,20,11.2,0,0,0
0,9,17,0.529,3,4,0.75,1,1,1,0,0,1,22,12.6,0,0,0
0,5,16,0.313,1,6,0.167,2,4,0.5,1,3,4,13,4.5,0,0,0
0,4,14,0.286,0,3,0,1,3,0.333,2,1,0,9,4.6,0,0,0
1,3,12,0.25,0,2,0,1,1,1,0,2,1,7,5,0,0,0
1,8,17,0.471,1,2,0.5,0,0,0,2,1,4,17,7.7,0,0,0
1,7,16,0.438,2,5,0.4,0,0,0,0,0,1,16,10.9,0,0,1
0,7,13,0.538,5,8,0.625,2,5,0.4,0,0,5,21,13.1,0,0,0
1,7,14,0.5,4,6,0.667,3,6,0.5,0,1,2,21,13.6,0,0,0
1,5,13,0.385,2,4,0.5,2,4,0.5,0,1,2,14,7.3,0,0,0
0,7,16,0.438,1,5,0.2,6,7,0.857,2,2,1,21,20.8,0,0,0
1,8,17,0.471,1,3,0.333,0,0,0,1,2,1,17,11.6,0,0,0
