Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,9,23,0.391,1,2,0.5,14,17,0.824,7,0,5,33,21.2,0,0
0,0,15,21,0.714,3,4,0.75,2,5,0.4,5,3,1,35,34.4,0,0
0,1,9,18,0.5,1,5,0.2,8,10,0.8,3,3,1,27,27.3,0,0
0,1,1,2,0.5,0,0,0,0,0,0,0,0,0,2,2,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,11,22,0.5,2,4,0.5,6,6,1,4,1,5,30,27.3,0,0
0,0,13,20,0.65,0,2,0,13,15,0.867,3,0,1,39,34.7,0,0
0,0,8,18,0.444,0,3,0,8,11,0.727,3,3,2,24,22.7,0,0
0,1,10,19,0.526,0,2,0,10,12,0.833,1,1,4,30,24.5,0,0
0,1,11,17,0.647,1,2,0.5,4,4,1,2,0,1,27,24.8,0,0
0,1,14,18,0.778,4,5,0.8,5,8,0.625,3,1,1,37,37,0,0
0,1,6,14,0.429,1,4,0.25,5,6,0.833,1,2,2,18,16.7,0,0
0,0,9,15,0.6,0,0,0,7,9,0.778,2,2,0,25,27,0,0
0,0,5,7,0.714,0,1,0,3,5,0.6,2,2,2,13,17,0,0
0,0,8,15,0.533,1,1,1,2,2,1,2,3,5,19,14.4,0,0
0,1,7,11,0.636,0,1,0,3,5,0.6,1,1,0,17,15.6,0,0
0,0,9,19,0.474,0,1,0,18,22,0.818,1,0,3,36,24.9,0,0
0,0,11,17,0.647,0,0,0,7,7,1,0,1,3,29,26.4,0,0
0,1,9,12,0.75,0,0,0,5,7,0.714,4,0,0,23,22.8,0,0
0,1,12,22,0.545,0,2,0,6,8,0.75,4,0,1,30,26.1,0,0
0,0,7,13,0.538,0,0,0,3,3,1,1,0,2,17,9.8,0,0
0,1,9,14,0.643,0,0,0,1,4,0.25,1,2,0,19,16.4,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,5,12,0.417,0,1,0,8,8,1,3,0,0,18,14,0,0
0,0,11,19,0.579,1,1,1,6,9,0.667,1,1,5,29,24,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,10,16,0.625,0,1,0,5,5,1,3,0,3,25,23,0,0
0,1,12,22,0.545,0,1,0,4,4,1,2,1,0,28,24,0,0
0,1,11,21,0.524,1,3,0.333,14,15,0.933,5,1,1,37,30.3,0,0
0,1,10,14,0.714,0,1,0,0,1,0,2,1,3,20,18.4,0,0
0,1,5,11,0.455,1,1,1,6,8,0.75,1,1,1,17,17.2,0,0
0,0,11,19,0.579,4,4,1,7,8,0.875,4,1,0,33,34.2,0,0
0,0,12,22,0.545,1,4,0.25,8,8,1,0,2,3,33,25.1,0,0
0,0,11,24,0.458,0,4,0,9,12,0.75,2,0,3,31,20.9,0,0
0,1,11,26,0.423,1,3,0.333,6,6,1,4,3,2,29,25,0,0
0,1,5,12,0.417,0,1,0,6,6,1,1,1,1,16,15.1,0,0
0,0,12,14,0.857,1,1,1,5,6,0.833,2,0,1,30,29.4,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,16,23,0.696,0,1,0,4,4,1,5,0,3,36,30.6,0,0
0,1,17,30,0.567,2,6,0.333,12,15,0.8,6,4,2,48,41.4,0,0
0,1,16,34,0.471,0,3,0,13,15,0.867,8,1,2,45,36.8,0,0
0,1,2,8,0.25,0,0,0,4,6,0.667,1,1,2,8,8.6,0,0
0,0,7,13,0.538,0,0,0,7,8,0.875,2,0,3,21,18.3,0,0
0,0,14,23,0.609,0,0,0,6,8,0.75,3,2,6,34,28.4,0,0
0,1,7,16,0.438,0,0,0,5,5,1,1,3,3,19,17.8,0,0
0,0,10,22,0.455,0,1,0,7,8,0.875,1,0,2,27,24.1,0,0
0,0,8,17,0.471,0,2,0,9,12,0.75,2,2,3,25,22.7,0,0
0,0,6,16,0.375,2,3,0.667,9,10,0.9,0,1,1,23,22,0,0
0,1,17,34,0.5,3,6,0.5,6,8,0.75,0,3,4,43,25.3,0,0
0,1,16,30,0.533,1,4,0.25,5,5,1,5,2,1,38,29.1,0,0
0,0,6,16,0.375,0,2,0,3,4,0.75,2,1,2,15,9.3,0,0
0,1,6,19,0.316,0,3,0,2,3,0.667,0,1,2,14,5.3,0,0
0,1,16,35,0.457,3,5,0.6,9,14,0.643,4,6,2,44,36.3,0,0
0,1,14,24,0.583,3,6,0.5,7,7,1,1,1,1,38,30.9,0,0
0,0,15,18,0.833,2,2,1,10,11,0.909,3,3,2,42,45.4,0,0
0,0,17,34,0.5,1,6,0.167,10,11,0.909,4,5,2,45,41.4,0,0
0,1,12,26,0.462,0,3,0,3,4,0.75,5,2,4,27,18.6,0,0
0,0,16,29,0.552,0,1,0,21,26,0.808,8,1,3,53,50.1,0,0
0,1,9,19,0.474,0,0,0,8,8,1,5,2,2,26,20.7,0,0
0,1,9,19,0.474,0,1,0,5,5,1,1,3,3,23,21.2,0,0
0,1,17,31,0.548,4,7,0.571,3,3,1,3,3,3,41,33.2,0,0
0,1,7,11,0.636,2,3,0.667,1,1,1,1,2,2,17,16.4,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1,0,9,22,0.409,1,4,0.25,6,6,1,2,3,1,25,27,0,0
0,0,13,26,0.5,0,3,0,5,6,0.833,3,2,2,31,26.8,0,0
0,1,8,19,0.421,0,2,0,5,5,1,5,0,6,21,11.5,0,0
0,0,11,18,0.611,0,2,0,4,4,1,1,0,2,26,20.7,0,0
0,0,14,24,0.583,0,3,0,6,8,0.75,1,1,0,34,28.5,0,0
0,0,15,21,0.714,2,3,0.667,5,7,0.714,0,0,2,37,30.9,0,0
0,0,9,14,0.643,1,1,1,9,9,1,2,1,2,28,27.9,0,0
0,0,12,20,0.6,0,2,0,9,10,0.9,0,3,3,33,30,0,0
0,1,10,22,0.455,1,2,0.5,4,6,0.667,2,2,1,25,20.1,0,0
0,0,15,24,0.625,0,0,0,6,6,1,3,2,2,36,34.8,0,0
0,1,6,19,0.316,0,2,0,4,4,1,1,1,2,16,10.6,0,0
0,0,8,17,0.471,0,0,0,9,11,0.818,3,3,5,25,20.5,0,0
0,0,8,13,0.615,1,1,1,11,13,0.846,4,2,2,28,29.2,0,0
