Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,12,23,0.522,3,6,0.5,2,2,1,2,2,2,29,21.4,0,0,0
0,7,13,0.538,3,5,0.6,12,14,0.857,1,1,2,29,25.4,0,0,0
0,8,17,0.471,2,7,0.286,4,6,0.667,1,0,1,22,18.1,0,0,0
1,10,16,0.625,2,5,0.4,3,8,0.375,2,1,1,25,20.1,0,0,0
0,5,18,0.278,2,6,0.333,7,10,0.7,2,0,3,19,10.9,0,0,0
0,4,10,0.4,2,4,0.5,6,8,0.75,1,1,4,16,10.3,0,0,0
0,7,12,0.583,2,4,0.5,4,4,1,0,1,1,20,19.7,0,0,0
0,10,17,0.588,1,3,0.333,9,11,0.818,2,2,3,30,23.3,0,0,0
0,8,18,0.444,2,5,0.4,5,7,0.714,1,2,5,23,16.4,0,0,0
1,4,13,0.308,2,7,0.286,5,6,0.833,0,0,1,15,12.6,0,0,0
1,5,19,0.263,1,7,0.143,6,6,1,0,1,2,17,9.2,0,0,0
1,9,27,0.333,2,8,0.25,6,7,0.857,2,1,0,26,14.5,0,0,0
0,10,25,0.4,3,8,0.375,6,8,0.75,3,0,4,29,15.3,0,0,0
1,8,25,0.32,2,8,0.25,5,6,0.833,1,2,2,23,16.7,0,0,0
1,6,17,0.353,2,5,0.4,5,7,0.714,1,0,4,19,10.4,0,0,0
1,6,18,0.333,2,7,0.286,7,8,0.875,1,2,6,21,11.1,0,0,0
1,9,19,0.474,3,8,0.375,5,8,0.625,2,1,3,26,19.7,0,0,0
1,13,25,0.52,2,7,0.286,5,5,1,2,1,2,33,24.4,0,0,0
0,9,21,0.429,3,6,0.5,5,6,0.833,1,0,2,26,18.6,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
