Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,6,17,0.353,1,4,0.25,12,16,0.75,2,3,2,25,20.2,0,0,0
0,9,18,0.5,1,3,0.333,6,7,0.857,0,0,4,25,18.1,0,0,0
1,8,17,0.471,1,5,0.2,3,3,1,1,1,1,20,13.2,0,0,0
1,11,23,0.478,2,7,0.286,4,6,0.667,1,3,1,28,18.4,0,0,0
1,2,7,0.286,0,2,0,0,0,0,2,1,1,4,2.6,0,0,0
1,6,11,0.545,1,3,0.333,2,2,1,1,0,1,15,12.4,0,0,0
0,12,25,0.48,6,12,0.5,10,11,0.909,2,0,3,40,28.7,0,0,0
0,12,19,0.632,1,5,0.2,11,13,0.846,2,1,1,36,28.1,0,0,0
1,16,26,0.615,4,6,0.667,2,3,0.667,1,1,1,38,27.1,0,0,0
0,8,20,0.4,3,8,0.375,4,5,0.8,0,1,3,23,9.2,0,0,0
0,8,16,0.5,2,5,0.4,4,5,0.8,0,1,4,22,14,0,0,0
0,7,13,0.538,2,4,0.5,3,4,0.75,1,3,0,19,16.7,0,0,0
0,5,11,0.455,1,6,0.167,3,3,1,0,1,2,14,12.5,0,0,0
1,6,19,0.316,1,6,0.167,13,14,0.929,3,2,1,26,18.3,0,0,0
0,9,22,0.409,5,12,0.417,3,4,0.75,0,1,4,26,18,0,0,0
1,11,23,0.478,5,9,0.556,0,0,0,1,0,0,27,13.3,0,0,0
1,10,16,0.625,2,5,0.4,1,2,0.5,0,1,1,23,16.2,0,0,0
1,7,22,0.318,3,8,0.375,5,7,0.714,1,2,2,22,10.5,0,0,0
0,10,24,0.417,3,10,0.3,3,4,0.75,0,2,0,26,18.4,0,0,0
1,2,11,0.182,0,1,0,4,6,0.667,0,0,1,8,4.4,0,0,0
1,6,12,0.5,4,5,0.8,5,5,1,0,1,6,21,15.5,0,0,0
0,4,11,0.364,0,3,0,2,3,0.667,1,2,3,10,0.4,0,0,0
1,4,15,0.267,0,4,0,3,5,0.6,0,0,2,11,0.5,0,0,0
1,21,37,0.568,5,12,0.417,4,5,0.8,1,0,2,51,33,0,0,0
1,13,22,0.591,1,5,0.2,7,9,0.778,0,0,2,34,26.3,0,0,0
1,8,21,0.381,5,11,0.455,4,6,0.667,1,1,0,25,15.8,0,0,0
1,11,33,0.333,0,7,0,6,8,0.75,1,2,4,28,10.7,0,0,0
0,6,14,0.429,3,5,0.6,3,5,0.6,1,1,1,18,15.9,0,0,0
0,9,18,0.5,2,6,0.333,0,0,0,2,1,3,20,17.7,0,0,0
0,10,27,0.37,4,13,0.308,3,4,0.75,0,0,2,27,15.6,0,0,0
0,9,19,0.474,5,11,0.455,3,4,0.75,1,2,3,26,20.4,0,0,0
1,2,15,0.133,0,3,0,0,0,0,0,1,1,4,-2,0,0,0
0,5,10,0.5,3,4,0.75,4,4,1,1,0,2,17,13.6,0,0,0
1,10,25,0.4,0,6,0,5,8,0.625,1,1,1,25,15.1,0,0,1
1,7,19,0.368,2,6,0.333,4,4,1,3,3,4,20,17.4,0,0,0
0,9,17,0.529,3,6,0.5,0,0,0,0,0,1,21,13.6,0,0,0
0,16,29,0.552,7,13,0.538,0,2,0,0,2,3,39,32.1,0,0,0
0,11,14,0.786,2,4,0.5,3,4,0.75,0,3,1,27,28.2,0,0,0
1,9,18,0.5,5,10,0.5,11,11,1,1,1,1,34,31,0,0,0
0,7,19,0.368,1,7,0.143,5,7,0.714,0,1,2,20,8.5,0,0,0
0,9,19,0.474,1,5,0.2,4,5,0.8,0,0,2,23,13.5,0,0,0
0,12,17,0.706,0,2,0,6,8,0.75,0,1,3,30,27.7,0,0,0
0,10,23,0.435,4,10,0.4,0,0,0,1,3,2,24,17.9,0,0,0
0,8,17,0.471,1,7,0.143,2,2,1,1,0,2,19,6.6,0,0,0
1,10,19,0.526,4,6,0.667,2,2,1,1,0,1,26,14.7,0,0,0
1,7,12,0.583,4,7,0.571,8,9,0.889,1,1,2,26,22.3,0,0,0
1,4,14,0.286,3,8,0.375,7,12,0.583,0,2,1,18,9.4,0,0,0
1,15,26,0.577,6,11,0.545,5,7,0.714,3,2,2,41,33.9,0,0,0
1,5,11,0.455,2,4,0.5,6,6,1,1,0,2,18,14.3,0,0,0
0,8,19,0.421,2,5,0.4,3,5,0.6,1,2,1,21,17.9,0,0,0
0,9,20,0.45,3,8,0.375,6,6,1,1,3,4,27,23.1,0,0,0
1,8,15,0.533,0,2,0,2,2,1,0,2,0,18,18.4,0,0,0
1,9,16,0.563,1,4,0.25,2,2,1,0,0,1,21,9.4,0,0,0
1,12,22,0.545,5,12,0.417,1,2,0.5,2,1,1,30,22,0,0,0
0,7,27,0.259,3,9,0.333,1,1,1,0,3,1,18,11.3,0,0,0
1,3,13,0.231,0,7,0,1,1,1,1,2,1,7,1.9,0,0,0
1,14,22,0.636,4,7,0.571,4,4,1,0,3,2,36,33.2,0,0,0
1,8,19,0.421,2,5,0.4,0,0,0,0,0,2,18,12.4,0,0,0
0,11,21,0.524,3,6,0.5,8,9,0.889,0,2,1,33,25.9,0,0,0
0,9,14,0.643,3,5,0.6,3,3,1,1,1,3,24,18.1,0,0,0
1,9,16,0.563,2,5,0.4,1,3,0.333,2,1,3,21,18.6,0,0,0
0,3,15,0.2,2,8,0.25,0,0,0,0,1,4,8,-2.2,0,0,0
0,8,19,0.421,3,7,0.429,4,5,0.8,3,0,5,23,17,0,0,0
0,8,27,0.296,2,9,0.222,4,5,0.8,0,3,4,22,11.6,0,0,0
0,12,16,0.75,6,7,0.857,0,0,0,0,0,3,30,25.1,0,0,0
1,6,14,0.429,2,7,0.286,2,3,0.667,1,1,0,16,13.7,0,0,0
1,5,12,0.417,1,2,0.5,3,3,1,1,0,0,14,7.3,0,0,0
0,8,16,0.5,1,4,0.25,2,3,0.667,1,0,0,19,11.7,0,0,0
1,14,27,0.519,3,10,0.3,3,6,0.5,1,2,1,34,26.6,0,0,0
0,6,12,0.5,1,3,0.333,6,7,0.857,0,2,3,19,17.2,0,0,0
1,9,13,0.692,2,5,0.4,1,1,1,0,0,1,21,13.8,0,0,0
0,9,18,0.5,6,9,0.667,0,0,0,1,0,2,24,15.3,0,0,0
0,5,17,0.294,1,6,0.167,3,4,0.75,0,2,2,14,6.2,0,0,0
0,3,8,0.375,1,4,0.25,0,0,0,0,1,1,7,6,0,0,0
1,6,17,0.353,1,8,0.125,2,3,0.667,1,2,1,15,3.3,0,0,0
0,8,14,0.571,6,8,0.75,0,0,0,0,2,3,22,16.5,0,0,0
1,5,17,0.294,0,6,0,5,5,1,0,3,2,15,11,0,0,0
1,10,15,0.667,3,5,0.6,4,4,1,0,1,5,27,22.5,0,0,0
1,7,15,0.467,4,6,0.667,1,1,1,1,0,1,19,18.6,0,0,0
0,12,24,0.5,1,5,0.2,7,9,0.778,2,1,1,32,21.3,0,0,0
0,6,16,0.375,3,7,0.429,4,4,1,1,0,3,19,11.4,0,0,0
1,4,15,0.267,1,7,0.143,4,7,0.571,0,0,4,13,2.6,0,0,0
