Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,8,17,0.471,3,7,0.429,0,0,0,1,1,5,19,12,0,0
0,1,4,11,0.364,1,6,0.167,4,4,1,1,0,1,13,9.8,0,0
0,1,1,10,0.1,0,4,0,1,1,1,0,0,2,3,-1.4,0,0
0,1,6,15,0.4,1,4,0.25,1,2,0.5,1,5,3,14,9.3,0,0
0,0,5,9,0.556,1,3,0.333,1,1,1,1,0,2,12,6.2,1,0
0,0,3,11,0.273,1,4,0.25,0,0,0,2,0,2,7,1.1,0,0
0,1,2,9,0.222,0,3,0,0,0,0,1,1,1,4,-1.9,0,0
0,1,7,11,0.636,2,4,0.5,1,1,1,0,3,4,17,12,0,0
0,1,5,11,0.455,1,3,0.333,2,2,1,1,0,2,13,9,0,0
0,0,7,9,0.778,4,4,1,3,3,1,0,2,3,21,18.1,0,0
0,0,3,10,0.3,2,4,0.5,0,0,0,0,1,0,8,7.2,0,0
0,1,6,13,0.462,4,5,0.8,1,2,0.5,2,0,1,17,14.2,0,0
0,1,5,11,0.455,2,5,0.4,0,0,0,1,3,2,12,9.9,0,0
0,1,2,8,0.25,1,4,0.25,1,2,0.5,1,2,4,6,3.3,0,0
0,0,3,5,0.6,2,3,0.667,0,0,0,0,1,2,8,4.2,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,4,7,0.571,1,3,0.333,1,1,1,0,1,1,10,7.6,0,0
0,0,10,18,0.556,7,9,0.778,0,0,0,2,0,0,27,21.8,0,0
0,1,2,5,0.4,1,2,0.5,0,0,0,0,0,0,5,2.6,0,0
0,0,5,10,0.5,1,2,0.5,2,2,1,0,1,1,13,8.2,0,0
0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,-1.4,0,0
0,1,6,12,0.5,4,6,0.667,3,3,1,1,1,3,19,16.8,0,0
0,1,7,13,0.538,2,6,0.333,1,1,1,0,3,3,17,13.5,0,0
0,1,7,12,0.583,4,5,0.8,0,0,0,0,1,2,18,13.1,1,0
0,0,7,13,0.538,3,5,0.6,0,0,0,0,1,0,17,8,0,0
0,0,6,14,0.429,2,5,0.4,0,0,0,0,0,1,14,6.8,0,0
0,1,4,9,0.444,2,7,0.286,0,0,0,2,0,1,10,5.6,0,0
1,1,3,8,0.375,1,2,0.5,0,0,0,1,1,1,7,1.9,0,0
0,1,9,19,0.474,3,9,0.333,3,3,1,1,3,1,24,17.2,0,0
0,1,1,7,0.143,0,2,0,0,0,,0,0,0,2,-1.2,0,0
0,0,9,17,0.529,4,7,0.571,2,2,1,1,0,2,24,19.1,0,0
0,1,4,9,0.444,2,4,0.5,0,0,0,0,1,4,10,2.7,0,0
0,0,3,7,0.429,2,4,0.5,0,0,0,1,1,1,8,8.7,0,0
0,0,4,12,0.333,2,5,0.4,2,2,1,0,0,4,12,4.5,0,0
0,0,5,14,0.357,3,7,0.429,2,3,0.667,0,0,1,15,7.8,0,0
0,0,2,4,0.5,2,3,0.667,0,0,0,0,0,3,6,3.8,0,0
0,0,5,14,0.357,4,9,0.444,0,0,0,0,0,1,14,8.7,0,0
0,0,4,12,0.333,2,8,0.25,0,0,0,0,1,0,10,2.8,0,0
0,1,4,11,0.364,3,4,0.75,2,2,1,0,1,2,13,6.8,0,0
0,0,5,13,0.385,2,7,0.286,2,3,0.667,1,0,3,14,8.4,0,0
0,1,5,8,0.625,0,2,0,0,0,0,0,1,1,10,7.2,0,0
0,1,6,15,0.4,0,5,0,4,4,1,1,0,2,16,11.8,0,0
0,0,4,7,0.571,1,3,0.333,0,0,0,0,0,2,9,8.3,0,0
0,1,4,11,0.364,2,4,0.5,3,3,1,1,2,2,13,12,0,0
0,1,6,13,0.462,4,6,0.667,2,2,1,0,0,3,18,12,0,0
0,1,5,10,0.5,3,6,0.5,0,0,0,1,4,3,13,12.8,0,0
0,1,10,15,0.667,4,7,0.571,0,0,0,1,0,0,24,18.1,0,0
0,1,0,5,0,0,3,0,0,0,0,0,0,3,0,-3.3,0,0
0,1,4,9,0.444,0,4,0,0,0,0,0,0,0,8,2.6,1,0
0,0,7,14,0.5,2,4,0.5,0,1,0,1,3,2,16,12.8,0,0
0,0,5,13,0.385,3,6,0.5,0,0,0,0,1,1,13,6.1,0,0
0,0,4,10,0.4,3,7,0.429,0,0,0,0,0,1,11,7.2,0,0
0,0,5,12,0.417,5,9,0.556,1,2,0.5,0,1,3,16,8.3,0,0
0,1,6,13,0.462,2,5,0.4,2,2,1,2,2,1,16,11.3,0,0
0,1,3,8,0.375,1,4,0.25,1,1,1,0,1,0,8,5.6,0,0
0,1,5,14,0.357,2,9,0.222,0,0,0,0,1,3,12,3.9,0,0
0,0,8,13,0.615,3,4,0.75,0,0,0,1,1,1,19,18.6,0,0
0,0,8,17,0.471,5,10,0.5,0,0,0,4,0,4,21,12.4,0,0
0,0,7,15,0.467,2,6,0.333,0,0,0,2,0,2,16,9.6,0,0
0,1,2,11,0.182,0,4,0,2,2,1,0,0,1,6,3,0,0
0,0,6,13,0.462,1,2,0.5,3,3,1,0,3,2,16,14.5,0,0
0,0,4,13,0.308,1,5,0.2,0,0,0,2,0,4,9,2.3,0,0
0,0,5,10,0.5,2,4,0.5,0,0,0,0,1,1,12,6.5,0,0
0,0,7,18,0.389,4,11,0.364,2,2,1,2,1,3,20,11,1,0
0,0,0,8,0,0,2,0,0,0,0,1,1,3,0,-4.4,0,0
0,1,8,15,0.533,2,6,0.333,0,0,0,1,0,1,18,15.7,0,0
0,1,1,6,0.167,1,4,0.25,0,0,0,0,0,0,3,0.9,0,0
0,0,9,16,0.563,2,7,0.286,4,4,1,2,2,1,24,23.4,0,0
0,1,7,13,0.538,5,10,0.5,3,4,0.75,0,0,1,22,17.9,0,0
0,1,9,15,0.6,5,8,0.625,0,0,0,0,1,2,23,20.3,0,0
0,0,8,15,0.533,3,6,0.5,1,1,1,0,2,2,20,14.5,0,0
0,0,7,15,0.467,2,4,0.5,0,0,0,1,2,3,16,9.5,0,0
0,0,8,16,0.5,3,7,0.429,2,2,1,1,3,1,21,14.5,0,0
0,0,6,15,0.4,2,7,0.286,0,0,0,0,1,4,14,7.3,0,0
0,0,7,12,0.583,4,7,0.571,2,2,1,1,0,2,20,13.9,0,0
0,0,6,11,0.545,4,5,0.8,3,3,1,1,2,1,19,18.4,0,0
