Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,12,18,0.667,3,4,0.75,1,2,0.5,0,1,2,28,23.5,0,0,0
1,9,18,0.5,3,6,0.5,5,5,1,0,2,2,26,17.8,0,0,0
0,7,15,0.467,4,5,0.8,5,5,1,0,0,3,23,15.7,0,0,0
0,8,18,0.444,2,3,0.667,5,7,0.714,3,0,2,23,17.5,0,0,0
0,9,20,0.45,1,5,0.2,4,5,0.8,2,2,5,23,18.4,0,0,0
0,5,16,0.313,3,5,0.6,3,3,1,0,0,1,16,8.4,0,0,0
1,6,20,0.3,2,8,0.25,2,3,0.667,0,0,2,16,1.6,0,0,0
0,8,18,0.444,5,8,0.625,1,1,1,0,1,2,22,14.9,0,0,0
0,8,17,0.471,6,9,0.667,0,0,0,0,0,2,22,11.1,0,0,0
0,14,26,0.538,4,10,0.4,4,5,0.8,1,3,1,36,26.3,0,0,0
0,6,16,0.375,3,6,0.5,2,2,1,1,1,3,17,10.8,0,0,0
0,7,11,0.636,3,5,0.6,0,0,0,1,2,0,17,14.8,0,0,0
0,8,16,0.5,4,7,0.571,4,4,1,1,3,2,24,18.9,0,0,0
1,8,16,0.5,0,4,0,3,4,0.75,0,3,2,19,11.8,0,0,0
0,9,16,0.563,4,7,0.571,3,3,1,0,2,3,25,19.9,0,0,0
1,8,17,0.471,3,6,0.5,5,5,1,1,0,3,24,13.9,0,0,0
1,1,14,0.071,0,3,0,3,3,1,0,0,4,5,-6.8,0,0,0
1,10,19,0.526,1,4,0.25,5,6,0.833,0,1,2,26,21.3,0,0,0
1,11,20,0.55,4,7,0.571,0,0,0,1,1,5,26,14.1,0,0,0
1,4,15,0.267,2,5,0.4,2,2,1,0,0,4,12,3.7,0,0,0
0,7,20,0.35,1,6,0.167,0,0,0,1,0,1,15,7.8,0,0,0
0,8,22,0.364,1,6,0.167,0,0,0,2,0,3,17,7.7,0,0,0
0,6,16,0.375,1,3,0.333,1,2,0.5,1,1,5,14,7.1,0,0,0
0,11,21,0.524,2,8,0.25,4,5,0.8,0,1,4,28,15.1,0,0,0
