"Road","FG","FGA","FGP","3P","3PA","3PP","FT","FTA","FTP","ORB","STL","PF","PTS","GmSc","Birthday","Ex","ChristmasDay"
1,2,9,0.222,0,4,0,0,0,0,1,2,4,4,8.4,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,3,7,0.429,2,4,0.5,3,3,1,0,2,4,11,14.9,0,0,0
1,6,11,0.545,4,7,0.571,1,1,1,0,2,3,17,15,0,0,0
0,8,11,0.727,4,7,0.571,3,4,0.75,0,3,1,23,28.7,0,0,0
0,2,12,0.167,0,4,0,2,2,1,0,2,1,6,8.7,0,0,0
0,1,7,0.143,1,4,0.25,1,1,1,3,2,1,4,13.9,0,0,0
0,5,8,0.625,2,3,0.667,1,2,0.5,1,0,0,13,14.1,0,0,0
1,8,17,0.471,4,7,0.571,1,1,1,0,2,5,21,12.7,0,0,0
1,7,14,0.5,2,5,0.4,2,2,1,1,3,3,18,23.7,0,0,0
1,8,14,0.571,1,4,0.25,9,10,0.9,0,2,2,26,23,0,0,0
0,8,16,0.5,3,9,0.333,1,2,0.5,0,3,2,20,19.4,0,0,0
0,10,18,0.556,5,9,0.556,6,6,1,2,2,3,31,30.8,0,0,0
0,10,18,0.556,5,9,0.556,3,3,1,0,7,3,28,29.7,0,0,0
0,7,13,0.538,3,8,0.375,8,8,1,0,1,3,25,18.2,0,0,0
0,6,13,0.462,3,9,0.333,3,4,0.75,2,1,3,18,20.9,0,0,0
0,2,7,0.286,1,5,0.2,3,3,1,0,0,3,8,4.7,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,1,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,1
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,3,11,0.273,2,5,0.4,0,0,0,0,2,2,8,6.2,0,0,0
0,8,20,0.4,3,10,0.3,9,9,1,0,0,5,28,21.7,0,0,0
1,3,13,0.231,1,4,0.25,1,1,1,2,2,2,8,10.3,0,0,0
0,10,21,0.476,5,10,0.5,3,3,1,1,0,5,28,19.1,0,0,0
1,5,10,0.5,3,8,0.375,3,3,1,1,2,2,16,18.8,0,0,0
1,8,17,0.471,3,11,0.273,5,5,1,1,2,3,24,19.9,0,0,0
0,13,29,0.448,3,11,0.273,8,8,1,1,3,4,37,31.5,0,0,0
1,9,18,0.5,2,6,0.333,5,7,0.714,2,0,0,25,24,0,0,0
1,8,17,0.471,3,10,0.3,0,0,0,0,0,2,19,15.9,0,1,0
0,6,12,0.5,4,8,0.5,3,4,0.75,0,3,1,19,21.3,0,0,0
0,10,20,0.5,6,11,0.545,7,8,0.875,1,3,1,33,29.8,0,0,0
0,6,13,0.462,3,5,0.6,1,1,1,1,3,1,16,15.3,0,0,0
1,3,12,0.25,3,8,0.375,3,4,0.75,0,2,3,12,8.1,0,0,0
1,11,19,0.579,4,5,0.8,12,12,1,0,1,6,38,34.2,0,0,0
0,4,8,0.5,0,1,0,9,9,1,0,0,2,17,16.3,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,5,14,0.357,0,3,0,0,1,0,0,2,3,10,1.6,0,0,0
1,8,14,0.571,6,9,0.667,0,0,0,1,1,4,22,25.3,0,0,0
1,9,15,0.6,4,8,0.5,3,3,1,1,2,2,25,22.3,0,0,0
1,10,19,0.526,3,8,0.375,1,2,0.5,0,1,1,24,20.9,0,0,0
0,3,8,0.375,0,4,0,5,5,1,0,2,3,11,12.3,0,0,0
0,9,15,0.6,2,7,0.286,5,6,0.833,0,3,1,25,27,0,0,0
1,5,11,0.455,1,5,0.2,2,3,0.667,2,1,1,13,14.3,0,0,0
0,6,11,0.545,3,7,0.429,4,4,1,1,2,1,19,17.8,0,0,0
0,5,11,0.455,0,5,0,4,4,1,1,1,1,14,14.9,0,0,0
1,6,14,0.429,2,7,0.286,9,10,0.9,2,2,1,23,20.3,0,0,0
1,5,13,0.385,1,4,0.25,4,4,1,1,3,2,15,15.2,0,0,0
1,3,12,0.25,1,5,0.2,1,1,1,0,2,3,8,5.1,0,1,0
0,5,11,0.455,1,4,0.25,4,4,1,0,1,5,15,12.5,0,0,0
1,7,14,0.5,5,6,0.833,6,6,1,0,3,2,25,22.9,0,0,0
1,5,12,0.417,1,6,0.167,5,5,1,0,0,2,16,16,0,0,0
1,5,13,0.385,0,3,0,4,4,1,0,3,4,14,9.3,0,0,0
1,9,18,0.5,4,7,0.571,2,2,1,0,0,4,24,21.3,0,0,0
0,8,11,0.727,2,4,0.5,0,0,0,1,1,1,18,20.7,0,0,0
0,3,13,0.231,0,6,0,5,6,0.833,1,0,2,11,2.6,0,0,0
1,8,19,0.421,3,6,0.5,2,2,1,1,2,2,21,17.4,0,0,0
1,4,8,0.5,1,3,0.333,9,10,0.9,1,1,2,18,19.9,0,0,0
1,6,16,0.375,5,10,0.5,5,6,0.833,3,0,2,22,19.8,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,4,12,0.333,3,9,0.333,2,2,1,0,4,1,13,15,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,3,11,0.273,2,9,0.222,0,0,0,0,0,2,8,4.5,0,0,0
0,11,19,0.579,3,8,0.375,2,2,1,0,0,2,27,20,0,0,0
0,6,15,0.4,2,8,0.25,3,3,1,1,1,4,17,13.2,0,0,0
1,9,14,0.643,4,7,0.571,0,0,0,0,1,3,22,20.7,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
