Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,IND,12,22,0.545,4,8,0.5,2,2,1,1,1,4,30,21.6,0,0
0,0,ORL,8,16,0.5,0,3,0,1,2,0.5,1,3,3,17,7.9,0,0
0,0,ATL,6,13,0.462,1,3,0.333,3,4,0.75,1,1,3,16,14.2,0,0
0,1,ORL,9,24,0.375,4,8,0.5,7,8,0.875,2,2,2,29,16.6,0,0
0,0,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NYK,6,10,0.6,1,5,0.2,2,2,1,0,0,2,15,8.9,0,0
0,0,DEN,3,12,0.25,0,3,0,6,10,0.6,1,0,4,12,2.5,0,0
0,0,PHO,11,21,0.524,2,5,0.4,9,11,0.818,1,0,2,33,25.1,0,0
0,1,LAL,8,24,0.333,1,8,0.125,0,1,0,1,3,3,17,8.2,1,0
0,1,PHO,8,13,0.615,0,2,0,7,12,0.583,0,2,3,23,19,0,0
0,1,DEN,6,14,0.429,0,3,0,0,0,0,1,0,2,12,2.3,0,0
0,1,POR,8,19,0.421,3,9,0.333,2,5,0.4,0,0,1,21,14.8,0,0
0,1,UTA,10,17,0.588,2,3,0.667,4,6,0.667,0,0,1,26,17.8,0,0
0,0,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,UTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,GSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,POR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,MEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
