Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,10,20,0.5,4,6,0.667,3,3,1,3,1,1,27,25.9,0,0,0
1,7,17,0.412,0,3,0,4,4,1,0,1,2,18,16.8,0,0,0
1,6,15,0.4,3,6,0.5,11,12,0.917,2,4,5,26,18.6,0,0,0
0,3,16,0.188,1,8,0.125,6,9,0.667,1,1,0,13,3.6,0,0,0
0,7,19,0.368,4,9,0.444,7,7,1,0,0,3,25,17.1,0,0,0
0,7,21,0.333,3,8,0.375,8,9,0.889,3,1,2,25,20.5,0,0,0
0,12,23,0.522,3,8,0.375,9,10,0.9,1,2,0,36,23.4,0,0,0
1,12,27,0.444,4,15,0.267,5,5,1,2,2,3,33,24.8,0,0,0
0,8,18,0.444,2,6,0.333,14,14,1,2,0,2,32,25.9,0,0,0
0,10,18,0.556,1,5,0.2,15,15,1,1,0,2,36,36.3,0,0,0
0,4,16,0.25,0,5,0,4,4,1,1,1,2,12,3.7,0,0,0
0,7,16,0.438,1,5,0.2,4,5,0.8,2,0,1,19,15.5,0,0,0
0,4,14,0.286,2,8,0.25,5,5,1,1,4,1,15,13.2,0,0,0
0,9,21,0.429,5,10,0.5,3,4,0.75,1,0,1,26,20.7,0,0,0
1,9,24,0.375,5,14,0.357,6,6,1,0,1,0,29,19.6,0,0,0
0,8,18,0.444,1,7,0.143,5,6,0.833,1,1,1,22,16.7,0,0,0
1,5,15,0.333,1,4,0.25,10,10,1,0,0,1,21,13.8,0,0,0
1,11,27,0.407,6,13,0.462,2,3,0.667,0,1,0,30,16.1,0,0,0
1,10,19,0.526,4,6,0.667,10,11,0.909,1,1,3,34,29.7,0,0,0
1,9,17,0.529,2,8,0.25,9,10,0.9,0,0,2,29,21.2,0,0,0
1,10,20,0.5,1,6,0.167,11,11,1,0,1,0,32,23.8,0,0,0
0,7,16,0.438,2,7,0.286,2,3,0.667,2,0,1,18,11.6,0,0,0
0,11,25,0.44,4,11,0.364,3,3,1,1,1,1,29,23,0,0,0
0,10,23,0.435,3,9,0.333,7,7,1,1,0,2,30,22.2,0,0,0
0,11,23,0.478,9,16,0.563,4,4,1,0,1,3,35,23.5,0,0,0
1,12,28,0.429,5,13,0.385,10,11,0.909,0,2,5,39,26.4,0,0,0
1,5,14,0.357,1,6,0.167,7,7,1,0,0,1,18,13.9,0,0,0
1,7,16,0.438,3,6,0.5,4,4,1,1,2,3,21,13.9,0,0,0
1,7,19,0.368,3,9,0.333,1,2,0.5,1,1,0,18,12.3,0,0,0
