Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,2,9,0.222,0,0,,7,8,0.875,1,2,1,11,8.1,0,0,0
0,8,12,0.667,0,1,0,14,16,0.875,0,0,3,30,24.8,0,0,0
1,10,20,0.5,2,5,0.4,6,9,0.667,0,3,3,28,18,0,0,0
1,9,18,0.5,0,0,,6,7,0.857,1,6,0,24,23.1,0,0,0
1,9,21,0.429,0,2,0,6,9,0.667,1,3,1,24,15.7,0,0,0
1,10,20,0.5,0,0,,5,7,0.714,1,0,1,25,14.9,0,0,0
1,4,10,0.4,0,1,0,2,3,0.667,0,0,1,10,3.5,0,0,0
1,10,20,0.5,3,7,0.429,14,14,1,2,0,3,37,23.8,0,0,0
0,8,21,0.381,0,5,0,10,12,0.833,2,0,2,26,15,0,0,0
0,9,18,0.5,2,2,1,4,4,1,0,0,3,24,14.8,0,0,0
0,10,23,0.435,2,6,0.333,11,13,0.846,0,1,2,33,24.5,0,0,0
1,8,22,0.364,1,4,0.25,7,8,0.875,2,0,1,24,13.2,0,0,0
1,7,15,0.467,0,3,0,13,16,0.813,0,1,2,27,20.6,0,0,0
1,11,18,0.611,2,4,0.5,1,1,1,1,2,0,25,23.1,0,0,0
0,10,16,0.625,0,0,,2,2,1,0,1,2,22,20.7,0,0,0
0,15,26,0.577,2,6,0.333,1,1,1,2,2,3,33,27.7,0,0,0
1,7,15,0.467,2,4,0.5,2,6,0.333,1,0,2,18,12.9,0,0,0
1,6,16,0.375,0,3,0,1,2,0.5,1,2,2,13,3.7,0,0,0
1,1,5,0.2,0,1,0,0,0,,0,1,2,2,2.3,0,0,0
0,14,22,0.636,0,2,0,2,3,0.667,1,0,3,30,23.4,0,0,0
0,9,21,0.429,0,1,0,8,10,0.8,2,2,0,26,20.6,0,0,0
0,7,17,0.412,0,1,0,6,7,0.857,0,3,2,20,20.4,0,0,0
1,6,15,0.4,0,2,0,14,14,1,0,1,3,26,20,0,0,0
1,9,15,0.6,0,1,0,7,11,0.636,0,0,1,25,22.3,0,0,0
1,5,13,0.385,0,0,,7,10,0.7,0,2,2,17,15,0,0,0
1,12,24,0.5,0,4,0,13,15,0.867,2,0,1,37,28.5,0,0,0
0,14,19,0.737,1,2,0.5,2,4,0.5,1,2,1,31,25.1,0,0,0
0,6,17,0.353,0,1,0,9,12,0.75,0,0,1,21,13.1,0,0,0
1,10,15,0.667,3,4,0.75,5,6,0.833,1,0,1,28,22.3,0,0,0
1,13,21,0.619,6,9,0.667,13,15,0.867,3,2,3,45,39,0,0,0
0,9,20,0.45,4,7,0.571,7,8,0.875,1,1,0,29,19.5,0,0,0
1,3,16,0.188,0,0,,2,3,0.667,0,2,1,8,3.6,0,0,0
1,4,16,0.25,0,3,0,7,7,1,0,1,3,15,6.4,0,0,0
0,10,18,0.556,2,4,0.5,3,3,1,1,0,2,25,19.2,0,0,0
0,17,29,0.586,5,9,0.556,13,13,1,1,1,4,52,44.1,0,0,0
1,10,20,0.5,5,8,0.625,10,10,1,0,3,2,35,32.3,0,0,0
1,7,12,0.583,1,3,0.333,5,7,0.714,1,2,1,20,17.6,0,0,0
1,14,30,0.467,1,4,0.25,6,9,0.667,0,1,1,35,22.8,0,0,0
0,10,29,0.345,1,3,0.333,4,4,1,2,0,3,25,12.7,0,0,0
0,5,13,0.385,3,5,0.6,0,0,,2,0,2,13,12.4,0,0,0
0,17,31,0.548,0,4,0,8,10,0.8,2,0,2,42,27.9,0,0,0
1,8,18,0.444,0,4,0,8,9,0.889,0,2,4,24,15.4,0,0,0
0,7,15,0.467,0,2,0,3,4,0.75,0,0,2,17,7.2,0,0,0
0,9,19,0.474,0,1,0,3,5,0.6,0,1,3,21,15.6,0,0,0
1,7,16,0.438,2,5,0.4,4,4,1,0,3,3,20,13.5,0,0,0
1,4,12,0.333,1,2,0.5,5,6,0.833,1,1,1,14,8.5,0,0,0
0,7,22,0.318,0,1,0,5,7,0.714,3,2,1,19,13.8,0,0,0
0,7,18,0.389,1,6,0.167,4,5,0.8,0,0,3,19,9.8,0,0,0
0,6,18,0.333,1,6,0.167,10,11,0.909,1,1,1,23,19.2,0,0,0
1,7,17,0.412,0,3,0,9,10,0.9,1,2,3,23,19.1,0,0,0
0,11,22,0.5,6,10,0.6,7,8,0.875,1,1,1,35,26.3,0,0,0
0,5,14,0.357,0,2,0,3,4,0.75,0,2,0,13,8.8,0,0,0
0,6,17,0.353,2,6,0.333,1,1,1,0,1,2,15,10.8,0,0,0
0,2,11,0.182,1,5,0.2,3,3,1,0,1,0,8,6.5,0,0,0
1,10,19,0.526,3,6,0.5,2,2,1,0,1,3,25,20.4,0,0,0
0,11,25,0.44,1,7,0.143,4,6,0.667,1,1,2,27,14.1,0,0,0
1,3,11,0.273,0,3,0,1,1,1,1,0,1,7,6.7,0,0,0
0,13,26,0.5,2,6,0.333,5,6,0.833,1,2,3,33,21,0,0,0
0,5,9,0.556,0,1,0,10,11,0.909,0,2,0,20,20.2,0,0,0
1,6,13,0.462,0,3,0,9,11,0.818,0,1,2,21,16.4,0,0,0
1,9,17,0.529,0,3,0,5,7,0.714,1,3,0,23,21.3,0,0,0
0,7,17,0.412,2,7,0.286,3,5,0.6,0,1,2,19,14.1,0,0,0
0,6,12,0.5,1,2,0.5,12,14,0.857,1,1,4,25,17.7,0,0,0
1,16,28,0.571,2,6,0.333,8,8,1,0,0,1,42,32.8,0,0,0
0,8,19,0.421,3,7,0.429,4,6,0.667,3,0,3,23,12.6,0,0,0
1,4,16,0.25,0,3,0,1,2,0.5,2,0,2,9,2.7,0,0,0
1,6,12,0.5,1,2,0.5,2,2,1,1,1,0,15,9.9,0,0,0
