"Road","FG","FGA","FGP","3P","3PA","3PP","FT","FTA","FTP","ORB","STL","PF","PTS","GmSc","Birthday","Ex","ChristmasDay"
1,13,26,0.5,1,3,0.333,1,2,0.5,0,2,1,28,19.7,0,0,0
1,11,21,0.524,0,2,0,3,3,1,1,1,2,25,16.7,0,0,0
1,5,22,0.227,0,4,0,7,7,1,3,2,3,17,10.4,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,7,16,0.438,2,6,0.333,4,4,1,1,1,1,20,17.7,0,0,0
0,8,16,0.5,2,3,0.667,3,4,0.75,0,3,2,21,18,0,0,0
1,10,17,0.588,2,2,1,3,3,1,0,0,2,25,17.4,0,0,0
0,6,13,0.462,2,5,0.4,2,3,0.667,1,0,2,16,7.9,0,0,0
1,9,13,0.692,2,3,0.667,8,8,1,0,0,5,28,21.7,0,0,0
0,9,20,0.45,3,7,0.429,2,2,1,0,2,1,23,17,0,0,0
1,8,16,0.5,0,2,0,1,2,0.5,1,2,2,17,16.1,0,0,0
1,2,16,0.125,0,3,0,3,4,0.75,2,0,1,7,-1.8,0,0,0
1,5,18,0.278,0,4,0,1,1,1,0,2,3,11,1.3,0,0,0
0,8,12,0.667,2,4,0.5,3,4,0.75,0,0,2,21,15.2,0,0,0
0,9,18,0.5,2,4,0.5,3,3,1,1,2,2,23,20.5,0,0,0
1,6,14,0.429,2,3,0.667,0,0,0,1,2,1,14,11.8,0,0,0
0,8,21,0.381,1,4,0.25,2,2,1,1,1,0,19,12.7,0,0,0
0,11,18,0.611,1,2,0.5,3,5,0.6,0,1,2,26,21.4,0,0,0
0,4,11,0.364,0,2,0,6,6,1,0,1,2,14,6,0,0,0
0,11,19,0.579,1,4,0.25,4,4,1,1,0,1,27,20.2,0,0,0
1,11,24,0.458,1,5,0.2,1,1,1,2,1,2,24,16.7,0,0,0
0,9,17,0.529,1,5,0.2,0,1,0,2,0,3,19,13.2,0,0,0
1,10,26,0.385,1,2,0.5,5,6,0.833,1,2,2,26,17.4,0,0,0
0,6,19,0.316,1,5,0.2,5,6,0.833,1,2,1,18,13.2,0,0,0
1,9,14,0.643,0,2,0,3,3,1,0,0,4,21,13.6,0,0,0
1,6,15,0.4,2,5,0.4,0,0,0,0,0,1,14,9.3,0,0,0
0,3,7,0.429,1,2,0.5,2,4,0.5,0,1,3,9,10.2,0,0,0
1,5,18,0.278,1,5,0.2,7,8,0.875,1,2,3,18,15.1,0,0,0
0,10,19,0.526,0,1,0,3,4,0.75,0,0,5,23,15.3,0,0,0
0,4,15,0.267,0,3,0,0,0,0,1,2,2,8,6.2,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,13,23,0.565,4,8,0.5,3,3,1,0,1,1,33,26.5,0,0,0
0,7,15,0.467,1,5,0.2,6,7,0.857,0,1,2,21,17.2,0,0,0
1,6,20,0.3,0,3,0,2,2,1,3,2,3,14,9.2,0,0,0
0,9,17,0.529,1,3,0.333,3,3,1,0,1,2,22,18.8,0,0,0
1,7,17,0.412,1,5,0.2,5,6,0.833,1,1,1,20,10.6,0,0,0
1,5,14,0.357,1,4,0.25,3,3,1,1,1,1,14,7.3,0,0,0
1,10,23,0.435,0,4,0,7,8,0.875,1,0,0,27,17.3,0,0,0
1,7,19,0.368,0,3,0,4,4,1,2,2,5,18,6.9,0,0,0
1,6,15,0.4,1,2,0.5,6,6,1,0,1,1,19,16.1,0,0,0
0,14,26,0.538,3,5,0.6,3,3,1,1,3,4,34,26,0,0,0
0,10,20,0.5,1,4,0.25,5,6,0.833,0,0,2,26,15.5,0,0,0
0,4,16,0.25,3,9,0.333,2,2,1,0,2,2,13,16,0,0,0
0,7,17,0.412,2,5,0.4,2,2,1,0,2,1,18,13.9,0,0,0
0,7,18,0.389,0,2,0,6,6,1,0,0,2,20,9.1,0,0,0
0,8,19,0.421,2,4,0.5,2,2,1,3,2,5,20,10.9,0,0,0
1,5,14,0.357,1,3,0.333,0,0,0,0,0,5,11,-0.5,0,0,0
0,3,12,0.25,0,5,0,3,6,0.5,0,0,3,9,1.9,0,0,0
0,5,15,0.333,0,2,0,8,9,0.889,0,2,2,18,12.3,0,0,0
0,6,14,0.429,0,5,0,1,2,0.5,0,0,0,13,11.1,0,0,0
1,10,20,0.5,1,2,0.5,4,4,1,1,0,3,25,11.8,0,0,0
1,2,16,0.125,0,4,0,6,6,1,2,2,1,10,5.7,0,0,0
0,9,15,0.6,1,3,0.333,3,3,1,0,1,2,22,20.4,0,0,0
1,5,15,0.333,2,4,0.5,7,8,0.875,0,0,4,19,10.5,0,0,0
0,10,18,0.556,2,8,0.25,3,3,1,0,0,1,25,20.3,0,0,0
0,7,13,0.538,0,1,0,9,12,0.75,0,2,2,23,19.5,0,0,0
1,8,16,0.5,2,4,0.5,0,0,0,2,1,2,18,9.7,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,3,12,0.25,0,3,0,3,4,0.75,1,1,4,9,-0.8,0,0,0
0,8,17,0.471,2,5,0.4,2,2,1,0,2,0,20,15.3,0,0,0
0,4,13,0.308,1,4,0.25,5,6,0.833,0,5,1,14,12.1,0,0,0
0,10,21,0.476,2,8,0.25,5,5,1,0,1,5,27,19.1,0,0,0
0,9,16,0.563,2,5,0.4,1,1,1,1,0,2,21,15,0,0,0
1,4,13,0.308,2,3,0.667,1,2,0.5,0,1,1,11,2.7,0,0,0
1,6,14,0.429,1,5,0.2,2,2,1,1,1,2,15,5.3,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,6,16,0.375,1,3,0.333,5,8,0.625,1,0,3,18,12.4,0,0,0
0,7,18,0.389,1,4,0.25,2,2,1,1,0,1,17,11.1,0,0,0
1,6,13,0.462,1,2,0.5,5,5,1,0,1,6,18,14.1,0,0,0
1,16,28,0.571,3,7,0.429,6,10,0.6,1,0,3,41,29.8,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,8,17,0.471,0,4,0,0,2,0,0,1,1,16,8.9,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
