Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,6,12,0.5,1,4,0.25,3,4,0.75,2,0,2,16,14.5,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,3,11,0.273,0,2,0,4,10,0.4,2,2,3,10,4.2,0,0
0,0,8,12,0.667,3,6,0.5,0,2,0,0,0,2,19,15,0,0
0,1,4,14,0.286,0,4,0,1,3,0.333,0,2,2,9,5.1,0,0
0,0,5,12,0.417,1,5,0.2,1,1,1,0,1,1,12,6.4,0,0
0,1,1,7,0.143,0,1,0,0,0,0,1,0,0,2,-4.5,0,0
0,1,6,15,0.4,2,5,0.4,4,5,0.8,0,1,1,18,6.1,0,0
0,0,7,20,0.35,2,8,0.25,0,0,0,1,0,2,16,4.1,0,0
0,1,7,15,0.467,3,5,0.6,1,1,1,0,1,1,18,9.1,0,0
0,1,9,22,0.409,1,5,0.2,3,3,1,1,1,1,22,17.2,0,0
0,0,8,16,0.5,2,6,0.333,3,4,0.75,1,2,2,21,21,0,0
0,1,6,17,0.353,2,6,0.333,1,1,1,2,2,3,15,7,0,0
0,0,10,23,0.435,5,11,0.455,2,2,1,0,0,4,27,10.5,0,0
0,0,3,12,0.25,0,4,0,2,2,1,2,1,2,8,3.1,0,0
0,0,2,8,0.25,1,4,0.25,0,0,0,0,1,3,5,-0.7,0,0
0,0,4,16,0.25,0,4,0,0,0,0,2,1,3,8,4,0,0
0,1,7,20,0.35,3,7,0.429,0,0,0,0,1,1,17,8.7,0,0
1,0,6,14,0.429,3,8,0.375,0,0,0,1,1,3,15,7.2,0,0
0,1,9,17,0.529,1,5,0.2,0,0,0,1,0,1,19,12.5,0,0
0,0,3,11,0.273,0,1,0,4,4,1,0,0,1,10,3.8,0,0
0,0,5,8,0.625,1,2,0.5,1,4,0.25,1,0,5,12,7.9,0,0
0,0,9,16,0.563,2,4,0.5,0,0,0,2,0,2,20,13,0,0
0,1,4,16,0.25,1,4,0.25,3,4,0.75,1,2,0,12,5.9,0,0
