Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,6,17,0.353,0,3,0,0,0,0,2,2,2,12,8.1,0,0,0
0,9,19,0.474,4,8,0.5,3,5,0.6,0,2,2,25,18.6,0,0,0
1,5,14,0.357,0,4,0,3,4,0.75,1,0,1,13,5.4,0,0,0
0,8,16,0.5,2,7,0.286,4,4,1,0,1,3,22,16.5,0,0,0
0,7,19,0.368,2,4,0.5,1,1,1,3,1,3,17,8.4,0,0,0
1,11,19,0.579,4,7,0.571,8,9,0.889,0,0,3,34,25.5,0,0,0
1,11,22,0.5,5,8,0.625,5,5,1,0,0,3,32,20.7,0,0,0
1,7,15,0.467,3,7,0.429,5,5,1,0,1,2,22,18.3,0,0,0
1,10,19,0.526,2,7,0.286,12,12,1,0,2,5,34,23,0,0,0
1,3,11,0.273,1,5,0.2,2,2,1,0,0,1,9,0.4,0,0,0
0,6,15,0.4,1,4,0.25,5,5,1,1,2,6,18,7.2,0,0,0
0,9,23,0.391,1,6,0.167,11,13,0.846,0,1,3,30,21.6,0,0,0
0,3,10,0.3,0,3,0,3,3,1,0,1,3,9,5.7,0,0,0
0,13,22,0.591,5,9,0.556,4,5,0.8,0,1,5,35,26.3,0,0,0
0,14,27,0.519,4,9,0.444,4,6,0.667,1,0,4,36,20.7,0,0,0
0,7,16,0.438,2,5,0.4,2,4,0.5,0,0,4,18,9.8,0,0,0
1,13,27,0.481,6,14,0.429,1,3,0.333,0,0,4,33,16.6,0,0,0
0,5,15,0.333,2,8,0.25,3,3,1,0,2,1,15,10.6,0,0,0
0,8,24,0.333,2,6,0.333,5,5,1,2,0,5,23,11.3,0,0,0
0,4,13,0.308,0,5,0,5,5,1,0,1,1,13,1.7,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,10,23,0.435,5,9,0.556,8,10,0.8,0,1,0,33,24,0,0,0
1,7,8,0.875,2,3,0.667,6,6,1,0,1,3,22,13.2,0,0,0
1,16,29,0.552,3,8,0.375,3,3,1,1,0,6,38,23.8,0,0,0
1,17,32,0.531,5,8,0.625,7,8,0.875,3,2,1,46,33.6,0,0,0
1,4,15,0.267,1,5,0.2,10,12,0.833,0,2,4,19,16.5,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
