Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,9,17,0.529,3,5,0.6,2,2,1,0,1,0,23,17.1,0,0,0
1,8,21,0.381,2,6,0.333,4,4,1,2,2,3,22,16.3,0,0,0
1,4,9,0.444,3,5,0.6,2,2,1,0,1,1,13,13,0,0,0
0,9,15,0.6,2,5,0.4,8,8,1,1,3,4,28,26.5,0,0,0
0,10,12,0.833,4,4,1,1,2,0.5,1,1,1,25,21.1,0,0,0
1,8,15,0.533,2,4,0.5,5,5,1,1,1,3,23,18.3,1,0,0
1,7,12,0.583,4,7,0.571,2,2,1,0,1,1,20,13.7,0,0,0
1,9,16,0.563,4,7,0.571,0,0,0,3,1,3,22,17.9,0,0,0
0,9,17,0.529,1,5,0.2,2,2,1,0,1,3,21,13.1,0,0,0
0,2,14,0.143,2,9,0.222,0,0,0,1,0,5,6,-4,0,0,0
0,9,16,0.563,3,6,0.5,2,4,0.5,0,5,3,23,19.2,0,0,0
1,5,14,0.357,0,7,0,4,5,0.8,0,0,1,14,8.5,0,0,0
1,7,9,0.778,2,3,0.667,2,2,1,0,1,2,18,15.1,0,0,0
1,5,10,0.5,2,5,0.4,4,4,1,0,2,2,16,14.2,0,0,0
1,8,17,0.471,2,6,0.333,4,4,1,0,0,3,22,12.1,0,0,0
0,4,11,0.364,1,4,0.25,2,2,1,0,1,2,11,5.7,0,0,0
0,6,16,0.375,4,8,0.5,0,1,0,0,0,2,16,7.4,0,0,0
1,6,13,0.462,1,4,0.25,6,6,1,0,0,3,19,11.1,0,0,0
1,3,13,0.231,1,2,0.5,0,0,0,3,1,1,7,1.8,0,0,0
1,4,9,0.444,2,5,0.4,3,4,0.75,0,1,1,13,7.8,0,0,0
1,5,15,0.333,1,6,0.167,1,2,0.5,0,0,3,12,5.3,0,0,0
0,5,12,0.417,3,8,0.375,3,3,1,0,0,3,16,8.5,0,0,0
0,8,15,0.533,4,6,0.667,2,2,1,1,1,2,22,17.1,0,0,0
1,5,12,0.417,1,5,0.2,9,10,0.9,1,2,1,20,17.6,0,0,0
1,7,13,0.538,3,7,0.429,1,2,0.5,0,0,5,18,10.6,0,0,0
0,12,21,0.571,2,3,0.667,1,3,0.333,0,2,4,27,16.6,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,5,10,0.5,1,3,0.333,3,3,1,0,0,4,14,5,0,0,0
0,6,13,0.462,3,5,0.6,2,2,1,0,2,2,17,13.2,0,0,0
0,9,17,0.529,3,6,0.5,2,2,1,0,0,1,23,16.9,0,0,0
1,4,15,0.267,0,4,0,5,5,1,0,1,5,13,3.5,0,0,0
0,2,11,0.182,0,5,0,6,6,1,3,0,2,10,5.4,0,0,0
0,5,14,0.357,4,8,0.5,4,5,0.8,0,0,3,18,7.4,0,0,0
1,6,14,0.429,0,4,0,0,0,0,1,0,4,12,5.7,0,0,0
1,8,14,0.571,2,5,0.4,3,3,1,0,1,3,21,15.2,0,0,0
1,4,14,0.286,2,8,0.25,0,0,0,0,2,2,10,4.3,0,0,0
0,12,22,0.545,6,12,0.5,2,2,1,0,0,3,32,21.9,0,0,0
1,6,15,0.4,1,3,0.333,4,5,0.8,1,1,5,17,10.5,0,0,0
