Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,5,7,0.714,3,3,1,1,1,1,1,1,2,14,14.3,0,0
0,0,7,11,0.636,3,6,0.5,0,1,0,0,1,3,17,9.2,0,0
0,0,1,6,0.167,0,3,0,0,0,0,0,1,3,2,-0.3,0,0
0,1,7,17,0.412,4,9,0.444,0,0,0,1,1,2,18,7.8,0,0
0,1,7,13,0.538,2,5,0.4,2,3,0.667,1,2,2,18,15.9,0,0
0,1,6,13,0.462,2,4,0.5,0,0,0,0,3,2,14,11.9,0,0
0,1,6,15,0.4,4,10,0.4,2,2,1,0,3,3,18,13.1,0,0
0,0,6,8,0.75,3,5,0.6,0,0,0,0,0,3,15,12,0,0
0,0,4,7,0.571,2,3,0.667,0,0,0,0,1,1,10,7.4,0,0
0,0,2,4,0.5,0,1,0,0,0,0,2,2,1,4,6.4,0,0
0,0,4,12,0.333,1,4,0.25,0,0,0,0,6,2,9,11.1,0,0
0,0,4,10,0.4,2,6,0.333,0,0,0,4,0,3,10,6.6,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,9,11,0.818,4,6,0.667,0,0,0,1,0,2,22,20.9,0,0
0,1,7,13,0.538,4,6,0.667,2,2,1,2,0,0,20,14.1,0,0
0,1,8,13,0.615,3,7,0.429,1,2,0.5,0,3,3,20,15.8,0,0
0,1,5,9,0.556,2,3,0.667,1,2,0.5,0,4,1,13,12.2,0,0
0,0,6,16,0.375,1,8,0.125,2,2,1,0,4,2,15,10.7,0,0
0,1,6,16,0.375,4,11,0.364,2,2,1,0,0,2,18,8.7,0,0
0,0,6,15,0.4,3,8,0.375,6,8,0.75,0,3,1,21,16.1,0,0
0,0,5,15,0.333,1,8,0.125,2,2,1,1,4,1,13,11.3,0,0
0,1,7,17,0.412,3,8,0.375,4,4,1,0,3,3,21,16.4,0,0
0,1,8,19,0.421,3,7,0.429,5,8,0.625,3,2,1,24,18.2,0,0
0,1,5,11,0.455,0,2,0,2,2,1,0,0,4,12,3.9,0,0
0,1,8,18,0.444,3,10,0.3,2,2,1,3,0,4,21,10.1,0,0
0,1,3,10,0.3,0,3,0,2,2,1,0,4,2,8,12.5,0,0
0,1,16,25,0.64,3,8,0.375,1,1,1,2,2,1,36,29.4,0,0
0,0,9,16,0.563,2,6,0.333,1,2,0.5,0,2,0,21,17.1,0,0
0,1,7,17,0.412,2,7,0.286,1,2,0.5,0,1,0,17,9.6,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,7,12,0.583,0,3,0,3,4,0.75,1,3,0,17,15.1,0,0
0,1,6,14,0.429,2,6,0.333,5,6,0.833,0,2,2,19,11.2,0,0
0,,6,12,0.5,3,6,0.5,0,0,0,0,0,3,15,10.9,0,0
0,1,3,10,0.3,2,6,0.333,2,2,1,1,0,3,10,7.5,0,0
0,0,7,14,0.5,1,5,0.2,2,2,1,0,5,1,17,15,0,0
0,0,14,17,0.824,3,5,0.6,5,5,1,0,2,1,36,30.6,0,0
0,0,6,14,0.429,1,6,0.167,0,1,0,0,3,2,13,5.8,0,0
0,1,6,11,0.545,3,5,0.6,2,2,1,1,1,0,17,15.4,0,0
0,1,9,18,0.5,4,7,0.571,0,0,0,0,0,0,22,15.7,0,0
0,0,11,14,0.786,2,3,0.667,1,2,0.5,1,2,1,25,24.1,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,6,16,0.375,2,8,0.25,4,4,1,0,2,1,18,12.8,0,0
0,0,8,14,0.571,3,6,0.5,6,8,0.75,0,4,3,25,22.9,0,0
0,1,7,13,0.538,1,4,0.25,4,4,1,0,4,4,19,14.5,0,0
0,0,6,16,0.375,4,11,0.364,0,0,0,1,3,0,16,12.9,0,0
0,0,4,14,0.286,2,7,0.286,3,4,0.75,1,0,1,13,4.1,0,0
0,0,8,14,0.571,4,6,0.667,3,3,1,0,1,0,23,18,0,0
0,0,8,16,0.5,3,7,0.429,5,5,1,0,2,2,24,20.2,0,0
0,0,6,16,0.375,1,7,0.143,2,2,1,0,1,2,15,8.5,0,0
0,1,5,12,0.417,3,5,0.6,4,4,1,0,2,1,17,13.9,0,0
0,0,9,16,0.563,5,9,0.556,2,2,1,0,1,1,25,18,0,0
0,0,4,13,0.308,2,6,0.333,6,7,0.857,2,1,1,16,11.1,0,0
0,0,9,13,0.692,5,7,0.714,4,5,0.8,0,1,1,27,21.4,0,0
0,1,3,11,0.273,0,7,0,2,2,1,1,0,2,8,1.5,0,0
0,1,5,13,0.385,3,5,0.6,0,0,0,2,2,2,13,8.4,0,0
0,0,7,17,0.412,1,3,0.333,0,0,0,0,2,4,15,8.4,0,0
0,1,10,18,0.556,5,7,0.714,3,5,0.6,0,1,4,28,15.7,0,0
0,0,10,16,0.625,1,2,0.5,2,3,0.667,0,2,1,23,16,0,0
0,0,2,12,0.167,0,5,0,2,5,0.4,0,5,2,6,4.1,0,0
0,0,7,13,0.538,4,6,0.667,5,6,0.833,1,3,3,23,18.8,0,0
0,1,11,18,0.611,1,5,0.2,3,3,1,1,4,2,26,18.6,0,0
0,1,10,17,0.588,6,10,0.6,6,6,1,1,1,1,32,28.5,0,0
0,1,5,13,0.385,1,5,0.2,0,0,0,1,0,2,11,3.8,0,0
