Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,13,22,0.591,0,1,0,11,13,0.846,1,3,4,37,28.8,0,0,0
0,15,22,0.682,0,1,0,4,6,0.667,2,3,2,34,33.5,0,0,0
0,17,23,0.739,1,4,0.25,9,13,0.692,2,2,3,44,39.3,0,0,0
0,13,21,0.619,0,0,0,6,8,0.75,2,1,5,32,25.3,0,0,0
0,10,21,0.476,2,3,0.667,6,7,0.857,0,3,3,28,24.3,0,0,0
1,14,21,0.667,1,3,0.333,4,6,0.667,1,0,4,33,28.4,0,0,0
0,9,14,0.643,2,3,0.667,8,9,0.889,2,0,4,28,21.8,0,0,0
1,5,16,0.313,0,2,0,4,4,1,1,2,5,14,11,0,0,0
1,13,27,0.481,1,4,0.25,2,2,1,1,1,2,29,19,0,0,0
1,16,21,0.762,0,0,0,8,11,0.727,4,0,6,40,29.6,0,0,0
1,12,24,0.5,0,1,0,4,8,0.5,2,1,2,28,24.3,0,0,0
0,12,19,0.632,0,1,0,9,11,0.818,3,1,3,33,29,0,0,0
0,10,22,0.455,0,1,0,7,9,0.778,3,2,2,27,24.2,0,0,0
0,8,16,0.5,0,1,0,5,6,0.833,2,3,5,21,16.7,0,0,0
1,7,20,0.35,1,2,0.5,9,13,0.692,5,3,5,24,17.7,0,0,0
0,8,21,0.381,0,3,0,7,9,0.778,1,0,3,23,17.2,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,10,18,0.556,0,1,0,7,9,0.778,3,0,3,27,22,0,0,0
1,11,16,0.688,1,1,1,9,13,0.692,0,5,4,32,30.7,0,0,0
1,7,20,0.35,0,1,0,6,8,0.75,1,3,3,20,18.5,0,0,0
0,8,15,0.533,0,2,0,17,22,0.773,3,3,2,33,33.2,0,0,0
1,14,24,0.583,0,1,0,12,14,0.857,1,0,5,40,27.9,0,0,0
0,8,16,0.5,1,3,0.333,8,12,0.667,4,1,4,25,17.9,1,0,0
0,8,19,0.421,0,0,0,11,12,0.917,2,2,5,27,20.1,0,0,0
0,14,22,0.636,1,1,1,8,9,0.889,3,2,4,37,35.2,0,0,0
1,13,24,0.542,1,2,0.5,5,8,0.625,5,5,1,32,30,0,0,0
0,11,18,0.611,1,3,0.333,6,9,0.667,5,0,1,29,28.5,0,0,0
1,10,22,0.455,0,3,0,8,10,0.8,2,4,2,28,23,0,0,0
0,8,14,0.571,0,0,0,11,12,0.917,1,2,1,27,28.5,0,0,0
0,9,20,0.45,1,3,0.333,7,8,0.875,1,1,3,26,21,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,11,17,0.647,1,4,0.25,5,6,0.833,1,1,3,28,21.9,0,0,0
0,11,20,0.55,0,1,0,0,0,0,3,0,2,22,13.9,0,0,0
1,10,16,0.625,0,0,0,3,4,0.75,6,1,0,23,22.3,0,0,0
1,9,18,0.5,1,3,0.333,7,9,0.778,2,0,4,26,23,0,0,0
0,12,18,0.667,0,1,0,7,8,0.875,3,1,1,31,30.2,0,0,0
0,9,14,0.643,0,0,0,6,9,0.667,1,2,1,24,21.6,0,0,0
1,12,17,0.706,1,1,1,9,10,0.9,2,2,5,34,33.5,0,0,0
1,3,8,0.375,0,1,0,11,14,0.786,1,2,1,17,14.3,0,0,0
0,10,15,0.667,0,0,0,6,10,0.6,3,0,2,26,19.8,0,0,0
0,10,19,0.526,0,3,0,3,3,1,2,0,5,23,15.1,0,0,0
1,6,12,0.5,0,0,0,10,10,1,1,1,4,22,16.3,0,0,0
1,9,23,0.391,0,0,0,9,15,0.6,7,0,4,27,21.9,0,0,0
0,6,15,0.4,2,3,0.667,8,15,0.533,2,2,3,22,20.3,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,14,20,0.7,3,3,1,10,11,0.909,2,2,2,41,43.4,0,0,0
1,11,19,0.579,0,0,0,5,10,0.5,3,1,2,27,22.5,0,0,0
0,10,22,0.455,1,5,0.2,10,10,1,3,0,4,31,25.5,0,0,0
1,6,14,0.429,0,1,0,5,9,0.556,1,0,2,17,11,0,0,0
0,10,21,0.476,1,3,0.333,8,12,0.667,0,3,2,29,23,0,0,0
1,7,13,0.538,1,2,0.5,1,1,1,1,0,0,16,14,0,0,0
1,10,23,0.435,0,0,0,3,6,0.5,1,1,3,23,15.8,0,0,0
1,8,21,0.381,1,4,0.25,6,7,0.857,0,1,4,23,12.3,0,0,0
1,14,24,0.583,0,1,0,4,7,0.571,1,1,2,32,23.6,0,0,0
0,7,16,0.438,0,4,0,1,2,0.5,3,1,5,15,13.4,0,0,0
0,14,21,0.667,1,2,0.5,7,12,0.583,3,0,2,36,33.8,0,0,0
1,11,22,0.5,0,1,0,4,4,1,3,2,2,26,22.9,0,0,0
0,6,18,0.333,0,2,0,8,10,0.8,1,2,5,20,14.8,0,0,0
0,8,16,0.5,1,1,1,6,8,0.75,2,3,5,23,24.7,0,0,0
1,5,13,0.385,1,3,0.333,0,0,0,0,0,3,11,1,0,0,0
0,6,18,0.333,2,4,0.5,10,12,0.833,2,2,4,24,17.4,0,0,0
0,14,23,0.609,1,1,1,6,10,0.6,3,2,3,35,29.2,0,0,0
1,7,16,0.438,0,2,0,4,5,0.8,2,2,1,18,18.1,0,0,0
