Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,6,19,0.316,1,4,0.25,4,4,1,3,1,0,17,14,0,0
0,0,9,13,0.692,2,2,1,3,3,1,1,0,2,23,18.7,0,0
0,0,7,16,0.438,2,5,0.4,3,6,0.5,0,1,1,19,12.5,0,0
0,0,9,16,0.563,2,4,0.5,0,0,0,1,1,2,20,13.9,0,0
0,0,9,15,0.6,1,4,0.25,3,3,1,0,0,3,22,16.3,0,0
0,0,8,16,0.5,1,4,0.25,1,2,0.5,1,1,4,18,8.7,0,0
0,0,7,17,0.412,2,7,0.286,4,5,0.8,0,1,3,20,14,0,0
0,1,8,15,0.533,4,7,0.571,3,4,0.75,0,2,5,23,20.1,0,0
0,1,3,9,0.333,2,5,0.4,4,6,0.667,1,1,4,12,9.3,0,0
0,1,8,18,0.444,1,3,0.333,2,4,0.5,1,1,2,19,10.1,0,0
0,1,9,19,0.474,1,5,0.2,10,10,1,2,0,3,29,23.4,1,0
0,1,7,17,0.412,1,4,0.25,3,3,1,1,1,3,18,6.8,0,0
0,1,6,14,0.429,2,4,0.5,4,4,1,1,0,2,18,15,0,0
0,0,9,17,0.529,3,6,0.5,0,0,0,1,1,1,21,13.3,0,0
0,1,3,11,0.273,0,4,0,0,0,0,0,2,1,6,3.5,0,0
0,0,3,8,0.375,2,4,0.5,0,0,0,1,1,3,8,4.1,0,0
0,0,8,17,0.471,2,4,0.5,9,10,0.9,0,1,0,27,20.2,0,0
0,1,7,14,0.5,5,8,0.625,1,2,0.5,0,2,2,20,17.2,0,0
0,1,7,11,0.636,4,7,0.571,6,7,0.857,0,0,3,24,17.2,0,0
0,1,1,5,0.2,0,2,0,5,8,0.625,0,1,2,7,6.3,0,0
0,1,3,12,0.25,0,3,0,0,0,0,1,0,1,6,1.5,0,0
0,0,3,12,0.25,0,3,0,1,2,0.5,1,0,4,7,-2.1,0,0
0,0,7,10,0.7,4,4,1,2,3,0.667,0,2,1,20,17.6,0,0
0,1,3,11,0.273,0,2,0,2,2,1,0,1,0,8,4.9,0,0
0,1,9,19,0.474,1,3,0.333,1,3,0.333,0,2,2,20,13.9,0,0
0,1,7,12,0.583,1,3,0.333,4,4,1,1,0,0,19,16.8,0,0
0,0,4,12,0.333,0,1,0,3,6,0.5,1,1,4,11,3.4,0,0
0,1,2,10,0.2,0,3,0,4,4,1,1,1,1,8,6,0,0
0,0,4,11,0.364,1,3,0.333,1,3,0.333,0,1,5,10,3.8,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,5,15,0.333,0,3,0,3,4,0.75,2,0,2,13,6.4,0,0
0,0,6,18,0.333,1,5,0.2,1,2,0.5,0,2,2,14,5,0,0
0,0,3,12,0.25,0,3,0,5,6,0.833,2,2,2,11,9.1,0,0
0,1,11,22,0.5,2,4,0.5,1,1,1,1,2,2,25,21.1,0,0
0,0,9,19,0.474,3,5,0.6,3,4,0.75,0,0,2,24,20.7,0,0
0,0,8,18,0.444,3,8,0.375,0,0,0,0,0,3,19,9.4,0,0
0,0,6,18,0.333,1,6,0.167,3,3,1,0,1,2,16,8.1,0,0
