Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,WAS,4,10,0.4,4,8,0.5,0,0,0,0,1,4,12,7.4,0,0
0,0,BOS,7,16,0.438,4,7,0.571,1,1,1,0,0,1,19,13,0,0
0,1,TOR,2,8,0.25,0,2,0,2,2,1,0,2,1,6,3.5,0,0
0,1,DET,3,9,0.333,0,3,0,1,1,1,0,0,1,7,2.3,0,0
0,0,HOU,9,16,0.563,3,8,0.375,1,1,1,0,0,2,22,15.9,0,0
0,1,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,ATL,3,11,0.273,1,6,0.167,1,2,0.5,0,0,4,8,0.9,0,0
0,0,IND,11,19,0.579,8,12,0.667,1,1,1,0,0,2,31,25.4,0,0
0,1,UTA,5,12,0.417,3,7,0.429,7,7,1,0,0,3,20,13.7,0,0
0,1,SAC,6,13,0.462,2,6,0.333,0,0,0,0,0,3,14,10.8,0,0
0,1,GSW,7,13,0.538,2,6,0.333,1,2,0.5,1,3,1,17,17.8,0,0
0,1,LAC,3,10,0.3,1,7,0.143,3,3,1,0,0,4,10,4.4,1,0
0,1,LAL,4,15,0.267,0,8,0,3,4,0.75,0,1,4,11,5,0,0
0,0,GSW,8,16,0.5,2,4,0.5,2,2,1,1,1,2,20,13.3,0,0
0,0,UTA,6,9,0.667,2,2,1,6,6,1,0,1,3,20,18.3,0,0
0,0,POR,4,10,0.4,3,6,0.5,0,0,0,0,1,1,11,6.7,0,0
0,0,ORL,10,18,0.556,8,12,0.667,1,1,1,2,0,2,29,21.6,1,0
0,0,CLE,4,16,0.25,1,4,0.25,2,2,1,1,1,0,11,3.5,0,0
0,0,WAS,4,12,0.333,0,5,0,0,0,0,0,0,4,8,2.1,0,0
0,1,BOS,5,15,0.333,4,6,0.667,3,3,1,0,1,1,17,12.2,0,0
0,0,DET,6,10,0.6,1,3,0.333,5,6,0.833,0,1,3,18,17.3,0,0
0,0,PHO,9,16,0.563,3,10,0.3,4,4,1,0,1,3,25,16.2,0,0
0,0,LAL,5,13,0.385,2,7,0.286,3,3,1,0,0,4,15,4.3,0,0
0,1,CLE,6,13,0.462,4,9,0.444,3,3,1,0,2,2,19,14.2,0,0
0,1,NOP,8,14,0.571,3,7,0.429,9,9,1,0,0,2,28,21.3,0,0
0,1,MIN,6,15,0.4,3,9,0.333,11,11,1,0,0,2,26,16.8,0,0
0,0,OKC,7,18,0.389,4,13,0.308,1,1,1,0,0,2,19,13.5,0,0
0,1,CHI,4,11,0.364,2,4,0.5,2,2,1,0,0,1,12,3.9,0,0
0,0,SAC,3,10,0.3,2,5,0.4,0,0,,0,0,1,8,2.1,0,0
0,0,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,TOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NYK,6,10,0.6,4,8,0.5,8,8,1,1,2,2,24,22.2,0,1
0,1,POR,7,18,0.389,4,9,0.444,1,1,1,0,0,3,19,9.7,0,0
0,1,DEN,8,15,0.533,2,4,0.5,0,0,0,0,0,2,18,10.6,0,0
0,1,PHO,6,13,0.462,3,8,0.375,7,8,0.875,0,0,5,22,15.3,0,0
0,0,SAS,6,12,0.5,3,4,0.75,5,6,0.833,0,0,0,20,16,0,0
0,0,DET,6,11,0.545,3,8,0.375,6,6,1,0,0,0,21,18.4,0,0
0,0,BOS,7,12,0.583,5,9,0.556,3,3,1,0,0,1,22,17.9,0,0
0,0,TOR,5,10,0.5,2,6,0.333,3,3,1,0,1,1,15,13.2,0,0
0,1,BOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
0,1,MEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,SAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,OKC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
0,1,BRK,4,10,0.4,3,4,0.75,9,10,0.9,0,1,1,20,15.4,0,0
0,0,MIA,5,15,0.333,0,4,0,3,3,1,0,0,1,13,6.2,0,0
0,1,IND,1,8,0.125,1,6,0.167,3,3,1,0,2,2,6,1.3,0,0
0,0,WAS,6,9,0.667,4,5,0.8,2,2,1,0,0,3,18,15.4,0,0
0,0,NOP,6,10,0.6,3,6,0.5,0,0,0,0,2,2,15,14.1,0,0
0,0,LAC,6,12,0.5,5,10,0.5,0,0,0,0,0,1,17,13.7,1,0
0,0,NYK,6,11,0.545,3,6,0.5,3,4,0.75,0,1,2,18,12.2,0,0
0,0,MIA,6,19,0.316,2,12,0.167,0,0,0,1,0,3,14,4.9,0,0
0,1,CHI,4,13,0.308,3,8,0.375,3,4,0.75,0,0,0,14,7.4,0,0
0,0,ORL,6,8,0.75,1,2,0.5,3,3,1,0,1,0,16,15.9,1,0
0,1,WAS,2,10,0.2,2,8,0.25,0,0,0,0,1,1,6,0.5,0,0
0,1,MIA,4,14,0.286,2,8,0.25,5,5,1,1,1,1,15,6.5,0,0
0,1,CLE,7,11,0.636,4,7,0.571,4,6,0.667,0,0,3,22,16.1,0,0
0,0,CHO,6,11,0.545,2,4,0.5,4,4,1,0,0,2,18,12.9,0,0
0,1,MIL,5,8,0.625,4,6,0.667,3,3,1,0,1,3,17,10.6,1,0
0,1,CHO,4,8,0.5,3,5,0.6,3,4,0.75,0,0,2,14,7.8,0,0
0,1,MIA,6,11,0.545,4,6,0.667,2,2,1,1,1,1,18,18.1,0,0
0,1,BRK,5,10,0.5,1,4,0.25,1,2,0.5,0,0,0,12,8,0,0
0,0,IND,6,10,0.6,4,5,0.8,0,0,0,0,0,1,16,12.3,0,0
0,1,NYK,5,14,0.357,2,8,0.25,6,9,0.667,0,1,1,18,11.2,0,0
0,0,BRK,7,13,0.538,3,6,0.5,6,7,0.857,0,1,2,23,18.5,0,0
0,0,CHO,5,12,0.417,2,7,0.286,0,0,0,0,0,2,12,3,0,0
0,0,MEM,5,9,0.556,3,6,0.5,2,2,1,0,0,1,15,9.9,0,0
0,1,ORL,3,8,0.375,1,5,0.2,5,5,1,0,0,0,12,10,1,0
0,0,MIN,3,11,0.273,2,7,0.286,0,0,0,0,0,2,8,1,0,0
0,0,DEN,6,11,0.545,4,6,0.667,3,4,0.75,0,0,1,19,13.3,0,0
0,0,NYK,8,17,0.471,3,10,0.3,2,2,1,0,1,1,21,17.2,0,0
0,1,ATL,8,14,0.571,1,3,0.333,2,3,0.667,0,0,0,19,11.7,0,0
0,1,CHO,7,15,0.467,5,8,0.625,1,1,1,0,0,2,20,10.5,0,0
0,0,BRK,8,15,0.533,1,3,0.333,2,2,1,0,1,0,19,14.7,0,0
0,1,DET,10,13,0.769,5,7,0.714,0,0,0,0,1,2,25,22.9,0,0
0,0,CLE,9,19,0.474,4,11,0.364,6,7,0.857,0,0,2,28,17.4,0,0
0,0,DAL,6,14,0.429,2,6,0.333,4,4,1,0,0,0,18,14,0,0
0,1,ATL,9,17,0.529,6,9,0.667,4,5,0.8,0,0,1,28,21.6,0,0
0,0,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
