Birthday,Road,MP,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,36.5,10,23,0.435,4,9,0.444,3,4,0.75,1,1,2,27,21.6,0,0
0,1,37,8,21,0.381,4,14,0.286,7,8,0.875,2,2,1,27,22.7,0,0
0,0,30.75,10,19,0.526,6,13,0.462,3,4,0.75,0,2,5,29,20.1,0,0
0,0,35,8,20,0.4,2,8,0.25,4,8,0.5,1,1,4,22,9.5,0,0
0,1,41.5,10,20,0.5,2,8,0.25,5,5,1,0,1,1,27,21.7,0,0
0,1,37,8,18,0.444,4,10,0.4,7,8,0.875,0,1,4,27,22.3,0,0
0,1,33.5,6,19,0.316,2,9,0.222,6,7,0.857,1,2,3,20,13.7,0,0
0,0,38.5,8,21,0.381,3,7,0.429,10,12,0.833,1,4,2,29,20.1,0,0
0,1,34.75,9,23,0.391,6,17,0.353,7,9,0.778,1,0,5,31,16.9,0,0
0,1,31,8,15,0.533,6,11,0.545,7,10,0.7,1,1,0,29,28.5,0,0
0,0,35,19,25,0.76,7,8,0.875,11,12,0.917,0,2,3,56,49.2,0,0
0,0,42.75,8,21,0.381,6,14,0.429,13,14,0.929,1,5,4,35,35,0,0
0,0,37.5,11,25,0.44,6,14,0.429,10,14,0.714,0,0,3,38,26.6,0,0
0,1,33.5,9,21,0.429,3,12,0.25,5,5,1,0,2,1,26,25.5,0,0
0,0,39.5,8,25,0.32,3,11,0.273,19,19,1,1,0,5,38,23.3,0,0
0,1,34.5,12,22,0.545,6,11,0.545,18,18,1,0,2,3,48,39.4,0,0
0,1,35.75,9,20,0.45,6,12,0.5,5,5,1,0,3,3,29,23.8,0,0
0,0,31.5,6,16,0.375,1,7,0.143,8,9,0.889,1,0,1,21,13.5,0,0
0,0,37,12,27,0.444,5,13,0.385,8,10,0.8,0,3,1,37,31.3,0,0
0,0,35.75,13,20,0.65,8,13,0.615,3,4,0.75,0,2,2,37,35,0,0
0,0,35.2,8,22,0.364,4,12,0.333,9,9,1,2,1,2,29,26.2,0,0
0,1,35.2,13,22,0.591,4,9,0.444,6,7,0.857,1,2,3,36,30.1,0,0
0,1,35,8,19,0.421,4,12,0.333,9,9,1,0,1,2,29,20,0,0
0,1,37.25,16,29,0.552,4,7,0.571,12,14,0.857,1,3,2,48,38.4,0,0
0,0,35,8,16,0.5,4,10,0.4,6,9,0.667,0,6,3,26,30.8,0,0
0,0,31,8,22,0.364,3,10,0.3,2,2,1,0,1,3,21,13.1,0,0
0,0,33,6,18,0.333,2,11,0.182,14,16,0.875,0,2,2,28,20.2,0,0
0,0,39.25,8,21,0.381,4,10,0.4,11,14,0.786,0,0,4,31,19.7,0,0
0,0,38,6,17,0.353,4,12,0.333,10,10,1,0,2,2,26,19.4,0,0
0,0,43.25,15,27,0.556,4,6,0.667,17,21,0.81,0,1,5,51,37.4,0,0
0,0,41.5,15,28,0.536,6,14,0.429,15,16,0.938,0,3,6,51,36.4,0,0
0,1,38.5,7,18,0.389,3,11,0.273,12,14,0.857,1,2,0,29,32.7,1,1
0,1,39,7,27,0.259,5,15,0.333,15,15,1,0,2,4,34,19.1,0,0
0,1,29.5,7,14,0.5,1,4,0.25,5,6,0.833,1,1,1,20,12.4,0,0
0,0,40.75,10,20,0.5,3,8,0.375,17,21,0.81,0,2,2,40,38.3,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,26,3,15,0.2,1,5,0.2,3,3,1,1,2,1,10,7.6,0,0
0,0,34.5,8,16,0.5,5,9,0.556,1,2,0.5,0,2,1,22,16.8,0,0
0,0,34.75,10,26,0.385,5,13,0.385,3,4,0.75,0,2,2,28,14.1,0,0
0,1,32.5,9,16,0.563,6,10,0.6,1,2,0.5,1,1,1,25,28.3,0,0
0,1,34,5,16,0.313,1,9,0.111,12,14,0.857,0,2,4,23,19.3,0,0
0,0,38,8,21,0.381,3,11,0.273,8,12,0.667,3,2,1,27,20,0,0
0,0,46.5,19,30,0.633,5,14,0.357,17,18,0.944,2,4,2,60,56.6,0,0
0,1,36.75,10,20,0.5,5,12,0.417,3,3,1,0,1,1,28,25.3,0,0
0,1,31,5,16,0.313,1,11,0.091,5,5,1,0,2,2,16,12.1,0,0
0,1,34.3,11,23,0.478,4,10,0.4,10,10,1,0,0,4,36,26.1,0,0
0,1,36.3,13,25,0.52,5,12,0.417,10,12,0.833,0,3,2,41,32.2,0,0
0,0,27.4,7,16,0.438,5,11,0.455,9,11,0.818,1,0,2,28,23.2,0,0
0,0,34,6,19,0.316,4,13,0.308,11,12,0.917,0,2,1,27,20.3,0,0
0,1,35.8,10,20,0.5,6,10,0.6,8,9,0.889,0,0,2,34,33.4,0,0
0,0,35,7,19,0.368,5,15,0.333,9,11,0.818,0,2,2,28,21.6,0,0
0,0,34.5,8,25,0.32,3,10,0.3,12,12,1,0,2,2,31,20.8,0,0
0,1,37.2,11,20,0.55,6,10,0.6,13,16,0.813,1,1,2,41,33.1,0,0
0,1,35,8,13,0.615,1,5,0.2,9,12,0.75,1,4,1,26,23.7,0,0
0,1,33.25,7,14,0.5,3,10,0.3,8,9,0.889,0,2,4,25,20.5,0,0
0,0,37.75,6,18,0.333,3,12,0.25,11,13,0.846,2,5,2,26,25.8,0,0
0,1,36,8,13,0.615,1,3,0.333,6,7,0.857,0,4,4,23,19,1,0
0,1,34.75,8,20,0.4,3,10,0.3,7,7,1,0,4,2,26,19.8,0,0
0,1,33.5,15,22,0.682,4,8,0.5,6,7,0.857,0,0,1,40,29.9,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,29,6,17,0.353,2,11,0.182,14,14,1,2,0,3,28,21.1,0,0
0,0,34.5,7,16,0.438,2,8,0.25,8,9,0.889,2,1,3,24,19.9,0,0
0,1,37.7,11,28,0.393,4,13,0.308,6,8,0.75,4,2,2,32,25.7,0,0
0,1,36.75,9,18,0.5,2,9,0.222,14,14,1,0,2,2,34,32.5,0,0
0,1,32.75,13,25,0.52,5,7,0.714,11,15,0.733,0,0,3,42,29.6,0,0
0,0,40.3,4,20,0.2,0,8,0,13,18,0.722,0,2,2,21,12.1,0,0
0,0,29.3,11,24,0.458,3,11,0.273,2,2,1,0,1,0,27,14.7,0,0
0,0,30,6,15,0.4,1,7,0.143,5,5,1,0,2,2,18,22.6,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,38.26,8,21,0.381,1,8,0.125,11,17,0.647,0,2,1,28,21.8,0,0
0,1,36,8,19,0.421,1,6,0.167,8,8,1,1,0,5,25,14.8,0,0
0,0,34,12,18,0.667,5,8,0.625,9,10,0.9,1,1,1,38,37.8,0,0
0,0,34.3,7,13,0.538,3,6,0.5,7,10,0.7,1,1,0,24,16.6,0,0
0,0,36.5,7,16,0.438,3,8,0.375,9,12,0.75,0,1,5,26,18.6,1,0
0,1,31,6,15,0.4,3,7,0.429,6,6,1,1,1,0,21,17.2,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
