Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,5,12,0.417,2,3,0.667,0,0,0,0,1,3,12,5.7,0,0,0
0,5,14,0.357,0,2,0,3,3,1,0,5,1,13,10,0,0,0
1,7,17,0.412,1,4,0.25,0,0,0,0,0,2,15,10.1,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,7,10,0.7,0,0,0,11,13,0.846,2,0,1,25,25.8,0,0,0
1,5,13,0.385,1,3,0.333,5,5,1,1,3,5,16,9.9,0,0,0
1,8,18,0.444,0,3,0,7,10,0.7,0,3,0,23,16,0,0,0
0,1,7,0.143,0,2,0,2,2,1,0,0,3,4,2.7,0,0,0
0,4,6,0.667,2,2,1,3,3,1,2,1,1,13,11.3,0,0,0
1,5,12,0.417,1,2,0.5,0,0,0,0,2,1,11,9.6,0,0,0
1,5,17,0.294,1,3,0.333,14,16,0.875,4,1,2,25,19.1,0,0,0
1,6,12,0.5,0,2,0,9,10,0.9,2,2,0,21,24.3,0,0,0
0,2,13,0.154,0,1,0,2,2,1,1,3,0,6,5.8,0,0,0
1,8,19,0.421,3,5,0.6,2,2,1,0,2,2,21,16.3,0,0,0
0,10,15,0.667,2,5,0.4,4,6,0.667,1,5,1,26,24.5,0,0,0
1,6,15,0.4,1,4,0.25,1,1,1,3,1,2,14,8.4,0,0,0
0,10,19,0.526,3,4,0.75,3,5,0.6,1,2,1,26,19.9,0,0,0
0,7,17,0.412,1,1,1,3,6,0.5,2,0,0,18,11.1,0,0,0
0,11,19,0.579,0,1,0,3,5,0.6,0,3,2,25,21.9,0,0,0
0,5,17,0.294,3,9,0.333,4,4,1,5,1,1,17,17.8,0,0,0
1,8,12,0.667,1,2,0.5,2,2,1,0,1,0,19,16.1,0,0,0
1,7,16,0.438,1,3,0.333,7,7,1,1,3,2,22,20.4,0,0,0
0,10,20,0.5,2,4,0.5,11,13,0.846,3,1,2,33,28.5,0,0,0
1,11,21,0.524,2,7,0.286,6,7,0.857,1,4,2,30,25,0,0,0
1,7,12,0.583,0,2,0,5,5,1,1,0,2,19,20,0,0,0
0,9,17,0.529,2,6,0.333,2,3,0.667,0,2,1,22,19.8,0,0,0
0,15,33,0.455,3,9,0.333,5,5,1,3,1,1,38,25.6,0,0,0
0,7,10,0.7,0,0,0,7,7,1,1,2,0,21,29,0,0,0
0,5,18,0.278,0,3,0,0,0,0,1,3,1,10,4.6,0,0,0
0,12,21,0.571,2,3,0.667,11,12,0.917,1,2,0,37,33.7,0,0,0
1,8,15,0.533,1,4,0.25,8,8,1,1,2,1,25,20.1,0,0,0
1,10,19,0.526,0,3,0,12,13,0.923,2,0,2,32,25.9,0,0,0
1,11,20,0.55,1,7,0.143,0,0,0,1,2,0,23,20.9,0,0,1
0,10,20,0.5,3,6,0.5,16,18,0.889,0,1,0,39,32.9,0,0,0
1,6,16,0.375,1,6,0.167,7,7,1,2,2,2,20,15.6,0,0,0
1,8,11,0.727,0,0,0,10,11,0.909,2,3,0,26,29.2,0,0,0
0,8,14,0.571,1,1,1,11,11,1,1,3,2,28,24.9,0,0,0
1,7,17,0.412,0,2,0,16,18,0.889,2,2,1,30,24.9,0,0,0
1,3,12,0.25,0,3,0,8,10,0.8,2,3,1,14,10.2,0,0,0
0,7,15,0.467,2,2,1,5,6,0.833,5,1,0,21,21.6,0,0,0
0,7,13,0.538,4,6,0.667,3,4,0.75,2,3,1,21,24.4,0,0,0
0,7,13,0.538,1,2,0.5,11,12,0.917,1,4,0,26,28.8,0,0,0
0,6,12,0.5,1,3,0.333,0,1,0,1,3,1,13,10.9,0,0,0
0,7,11,0.636,1,1,1,9,11,0.818,1,2,2,24,24.2,0,0,0
1,11,22,0.5,2,5,0.4,4,4,1,4,5,3,28,28.7,0,0,0
1,8,15,0.533,0,1,0,7,8,0.875,1,2,1,23,19.6,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,4,14,0.286,1,3,0.333,12,14,0.857,1,2,3,21,19.2,0,0,0
1,7,15,0.467,1,3,0.333,9,9,1,2,1,2,24,18.2,0,0,0
1,9,17,0.529,2,3,0.667,5,10,0.5,1,0,2,25,20,0,0,0
0,8,15,0.533,2,5,0.4,10,11,0.909,0,1,1,28,23.3,0,0,0
0,11,21,0.524,2,4,0.5,6,9,0.667,1,2,1,30,25.8,0,0,0
1,14,21,0.667,4,5,0.8,3,3,1,0,2,2,35,30.8,0,0,0
1,11,26,0.423,3,9,0.333,13,15,0.867,1,4,1,38,32,0,1,0
0,5,9,0.556,1,1,1,7,9,0.778,1,2,1,18,15.5,0,0,0
0,5,13,0.385,0,3,0,5,5,1,0,0,1,15,13.8,0,0,0
0,7,20,0.35,0,7,0,10,11,0.909,1,1,3,24,18,0,0,0
1,4,14,0.286,1,4,0.25,1,1,1,3,1,1,10,7.2,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,7,10,0.7,0,1,0,4,8,0.5,0,4,1,18,16.1,0,0,0
0,3,8,0.375,0,1,0,9,11,0.818,2,3,0,15,15.3,0,0,0
0,10,21,0.476,1,4,0.25,10,13,0.769,2,1,3,31,22.4,0,0,0
