Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,7,15,0.467,0,4,0,4,4,1,1,0,2,18,12.6,0,0,0
0,4,16,0.25,0,6,0,3,3,1,2,1,1,11,7.5,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,11,15,0.733,1,1,1,7,8,0.875,0,2,5,30,19.2,0,0,0
0,8,13,0.615,1,2,0.5,4,5,0.8,0,1,3,21,16.8,0,0,0
1,8,19,0.421,3,7,0.429,4,6,0.667,3,0,4,23,10.2,0,0,0
1,9,12,0.75,0,1,0,4,6,0.667,2,2,5,22,21.1,0,0,0
0,9,16,0.563,1,3,0.333,2,5,0.4,2,3,4,21,22.3,0,0,0
0,7,15,0.467,0,1,0,4,5,0.8,2,2,4,18,12.7,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,7,20,0.35,1,4,0.25,7,8,0.875,3,0,3,22,13.4,0,0,0
1,4,11,0.364,0,1,0,4,4,1,3,1,2,12,4.5,0,0,0
1,11,20,0.55,1,5,0.2,9,16,0.563,2,0,4,32,21.7,0,0,0
1,14,20,0.7,2,3,0.667,16,19,0.842,2,0,4,46,47.9,0,0,0
0,7,16,0.438,1,4,0.25,6,8,0.75,2,0,4,21,11.2,0,0,0
0,7,17,0.412,0,3,0,1,4,0.25,2,0,2,15,9.5,0,0,0
0,11,19,0.579,1,3,0.333,5,5,1,3,0,5,28,20,0,0,0
0,7,17,0.412,1,1,1,3,4,0.75,4,0,3,18,12.3,0,0,0
0,11,24,0.458,0,2,0,8,9,0.889,5,0,4,30,19.9,0,0,0
0,6,15,0.4,0,0,0,13,18,0.722,7,1,6,25,23.1,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,7,21,0.333,0,3,0,11,12,0.917,5,1,4,25,11.1,0,0,0
0,7,18,0.389,0,0,0,8,8,1,2,0,1,22,20.4,0,0,0
0,11,17,0.647,2,3,0.667,9,10,0.9,1,1,5,33,30.3,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,8,16,0.5,1,1,1,11,12,0.917,1,0,5,28,25.9,0,0,0
0,11,20,0.55,0,3,0,12,13,0.923,0,0,3,34,23.8,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,5,13,0.385,1,4,0.25,3,4,0.75,0,0,2,14,6.6,0,0,0
1,8,17,0.471,2,3,0.667,7,8,0.875,3,0,3,25,18.9,0,0,1
1,9,21,0.429,6,12,0.5,5,8,0.625,1,0,4,29,17,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,8,14,0.571,0,3,0,6,8,0.75,1,1,5,22,14.6,0,0,0
0,6,12,0.5,0,2,0,9,11,0.818,2,1,3,21,20.7,0,0,0
0,9,16,0.563,1,2,0.5,4,5,0.8,2,0,3,23,17,0,0,0
0,6,17,0.353,1,5,0.2,2,3,0.667,0,2,2,15,9.5,0,0,0
0,11,21,0.524,1,5,0.2,11,14,0.786,5,0,4,34,22,0,0,0
1,10,19,0.526,0,1,0,6,7,0.857,3,1,4,26,23.3,0,0,0
0,11,19,0.579,2,5,0.4,5,6,0.833,0,1,2,29,19.7,0,0,0
1,5,13,0.385,0,2,0,5,9,0.556,5,0,4,15,7.6,0,0,0
0,10,17,0.588,1,2,0.5,1,1,1,0,0,3,22,14.9,0,0,0
1,6,15,0.4,1,2,0.5,5,8,0.625,3,1,3,18,15.7,0,0,0
1,10,16,0.625,3,4,0.75,4,5,0.8,3,0,4,27,19.8,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,8,19,0.421,1,5,0.2,12,14,0.857,1,0,4,29,20.2,0,0,0
0,7,17,0.412,0,4,0,3,4,0.75,2,0,5,17,8.5,0,0,0
1,9,19,0.474,0,4,0,6,9,0.667,4,2,1,24,15.1,0,0,0
0,10,21,0.476,3,7,0.429,4,5,0.8,1,0,2,27,22.6,0,0,0
0,11,18,0.611,2,4,0.5,0,0,0,3,2,1,24,21.1,0,0,0
0,9,23,0.391,1,6,0.167,10,13,0.769,4,1,3,29,23,0,0,0
0,6,13,0.462,1,2,0.5,4,6,0.667,1,1,3,17,9.9,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,11,17,0.647,3,3,1,5,8,0.625,2,3,2,30,33.5,0,0,0
0,10,17,0.588,1,4,0.25,7,10,0.7,3,0,2,28,24.9,0,0,0
1,9,20,0.45,2,6,0.333,5,6,0.833,2,2,5,25,16.5,0,0,0
1,9,16,0.563,3,6,0.5,2,3,0.667,2,1,5,23,15,0,0,0
1,7,18,0.389,0,1,0,3,8,0.375,6,0,1,17,14.3,0,0,0
0,8,19,0.421,1,4,0.25,6,11,0.545,1,0,4,23,15.1,0,0,0
1,6,12,0.5,0,3,0,7,10,0.7,0,1,5,19,9,0,0,0
1,8,16,0.5,0,3,0,2,2,1,2,0,4,18,11.2,0,0,0
1,5,18,0.278,3,6,0.5,4,7,0.571,1,0,5,17,6.8,0,0,0
1,9,17,0.529,1,2,0.5,2,4,0.5,3,1,1,21,16.9,0,0,0
0,11,22,0.5,0,5,0,7,8,0.875,2,0,4,29,17.3,0,0,0
1,11,21,0.524,2,5,0.4,5,7,0.714,4,0,3,29,22.5,0,0,0
0,6,23,0.261,1,4,0.25,11,11,1,7,1,4,24,21.4,1,0,0
0,10,17,0.588,4,6,0.667,1,2,0.5,4,0,4,25,17.2,0,0,0
0,4,10,0.4,0,2,0,6,6,1,1,1,2,14,13.8,0,0,0
1,6,11,0.545,1,4,0.25,4,4,1,2,1,2,17,17.2,0,0,0
0,6,12,0.5,1,3,0.333,6,8,0.75,0,0,2,19,15.7,0,0,0
0,6,12,0.5,0,1,0,8,10,0.8,1,1,5,20,15.3,0,0,0
0,2,6,0.333,0,1,0,1,2,0.5,2,0,1,5,1.5,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
