Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,10,28,0.357,0,3,0,8,9,0.889,2,0,2,28,18.5,0,0,0
0,8,12,0.667,1,3,0.333,9,11,0.818,0,1,1,26,21.9,0,0,0
1,3,13,0.231,0,3,0,13,15,0.867,0,2,2,19,18.9,0,0,0
1,7,22,0.318,1,5,0.2,3,4,0.75,0,1,1,18,8.8,0,0,0
1,7,20,0.35,2,7,0.286,4,6,0.667,0,1,3,20,14.9,0,0,0
1,7,12,0.583,5,6,0.833,0,0,,1,1,0,19,16.4,0,0,0
0,10,18,0.556,1,4,0.25,0,4,0,0,3,5,21,14.2,0,0,0
0,4,13,0.308,0,3,0,5,12,0.417,0,1,0,13,15.7,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,5,10,0.5,0,1,0,13,18,0.722,0,1,3,23,23.2,0,0,0
0,8,18,0.444,0,2,0,7,7,1,1,2,3,23,20.8,0,0,0
0,4,8,0.5,0,1,0,5,6,0.833,0,1,4,13,12.4,0,0,0
0,8,10,0.8,4,4,1,1,1,1,0,1,2,21,22.3,0,0,0
1,9,21,0.429,2,3,0.667,7,8,0.875,1,1,2,27,21.9,0,0,0
0,3,12,0.25,2,7,0.286,0,0,,0,0,1,8,3.9,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,5,13,0.385,1,3,0.333,4,5,0.8,0,0,1,15,9.6,0,0,0
1,13,26,0.5,0,5,0,5,6,0.833,1,1,4,31,25.1,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,6,15,0.4,1,3,0.333,0,4,0,0,2,2,13,6.3,0,0,0
0,5,16,0.313,1,6,0.167,4,7,0.571,0,2,3,15,7.1,0,0,0
0,6,16,0.375,2,5,0.4,1,2,0.5,2,1,0,15,13.2,0,0,0
0,6,18,0.333,4,8,0.5,2,4,0.5,2,1,2,18,11.8,0,0,0
1,4,11,0.364,1,2,0.5,1,1,1,1,0,0,10,7.7,0,0,0
0,3,9,0.333,2,4,0.5,2,3,0.667,0,1,1,10,9.8,0,0,0
1,8,19,0.421,0,3,0,5,7,0.714,1,1,3,21,20.6,0,0,1
1,3,9,0.333,0,2,0,4,7,0.571,0,0,3,10,8.5,0,0,0
0,7,10,0.7,2,4,0.5,1,2,0.5,0,5,3,17,15.6,0,0,0
0,6,20,0.3,2,7,0.286,7,9,0.778,2,1,4,21,17,0,0,0
0,9,18,0.5,1,3,0.333,6,9,0.667,1,1,0,25,21.1,0,0,0
1,8,16,0.5,3,5,0.6,6,8,0.75,2,4,0,25,24.9,0,0,0
0,5,19,0.263,1,2,0.5,5,6,0.833,0,1,2,16,11.3,0,0,0
0,14,27,0.519,3,6,0.5,4,7,0.571,2,3,1,35,26.1,0,0,0
0,13,21,0.619,1,2,0.5,3,5,0.6,0,1,1,30,25.6,0,0,0
0,9,24,0.375,0,2,0,5,6,0.833,0,2,1,23,15.1,0,0,0
0,7,22,0.318,1,3,0.333,12,13,0.923,0,3,2,27,21.1,0,0,0
1,5,11,0.455,2,2,1,0,0,,0,0,2,12,10.8,0,0,0
1,6,15,0.4,2,5,0.4,2,3,0.667,0,1,2,16,11.3,0,0,0
1,4,16,0.25,0,4,0,3,4,0.75,1,0,1,11,3.1,0,0,0
1,7,16,0.438,5,10,0.5,2,2,1,0,2,2,21,18.2,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
