Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,2,11,0.182,0,3,0,0,0,,2,1,5,4,-0.5,0,0
0,0,5,17,0.294,2,6,0.333,1,2,0.5,1,1,4,13,4.7,0,0
0,1,6,11,0.545,0,3,0,2,2,1,1,4,4,14,13.2,0,0
0,1,5,14,0.357,1,4,0.25,3,3,1,0,1,3,14,10.1,0,0
0,1,7,13,0.538,2,4,0.5,4,5,0.8,0,0,4,20,15.5,0,0
0,0,12,17,0.706,4,6,0.667,1,1,1,0,1,1,29,27.6,0,0
0,0,5,9,0.556,0,1,0,1,2,0.5,0,3,2,11,9.3,0,0
0,0,7,14,0.5,0,5,0,0,0,,1,0,4,14,9.5,0,0
0,1,3,13,0.231,0,4,0,0,0,,2,2,0,6,8.6,0,0
0,1,5,15,0.333,0,4,0,0,0,,1,0,2,10,3.8,0,0
0,1,4,9,0.444,0,2,0,2,4,0.5,1,1,4,10,4.7,0,0
0,1,14,20,0.7,2,6,0.333,4,4,1,0,0,2,34,29,0,0
0,0,1,6,0.167,0,2,0,4,4,1,0,2,3,6,3.1,0,0
0,0,6,12,0.5,1,3,0.333,0,0,,0,1,0,13,11.7,0,0
0,0,8,15,0.533,0,3,0,2,2,1,2,2,2,18,17.4,0,0
0,1,6,12,0.5,1,5,0.2,0,0,,1,0,2,13,12,0,0
0,0,7,16,0.438,2,7,0.286,2,3,0.667,1,1,3,18,12,0,0
0,0,4,8,0.5,1,3,0.333,4,4,1,0,0,2,13,6.9,0,0
0,1,6,13,0.462,2,5,0.4,4,4,1,0,5,0,18,16.7,0,0
0,1,8,20,0.4,3,8,0.375,5,6,0.833,1,0,2,24,16.1,0,0
0,0,10,20,0.5,5,11,0.455,2,2,1,1,2,2,27,20.1,0,0
0,1,4,15,0.267,1,5,0.2,2,2,1,0,0,3,11,3.6,0,0
0,1,8,18,0.444,1,4,0.25,0,0,,0,0,1,17,12.6,0,0
0,0,13,21,0.619,4,11,0.364,4,5,0.8,1,1,3,34,25.9,0,0
0,0,12,20,0.6,1,5,0.2,2,3,0.667,0,1,4,27,20,0,0
0,0,6,12,0.5,1,2,0.5,1,1,1,0,0,2,14,8.9,0,0
0,0,11,21,0.524,5,8,0.625,7,8,0.875,0,2,1,34,25,1,0
0,1,16,21,0.762,4,7,0.571,1,2,0.5,0,4,2,37,34.9,0,0
0,,6,14,0.429,2,4,0.5,2,4,0.5,0,1,1,16,12.9,0,0
0,1,10,21,0.476,5,9,0.556,0,0,,1,3,1,25,20.9,0,0
