Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,8,15,0.533,0,1,0,2,2,1,2,2,4,18,15.2,0,0,0
0,7,12,0.583,0,1,0,6,8,0.75,0,1,3,20,17.5,0,0,0
1,11,17,0.647,2,7,0.286,3,3,1,4,0,5,27,20.1,0,0,0
0,12,17,0.706,0,1,0,4,4,1,2,0,4,28,22,0,0,0
1,8,16,0.5,3,6,0.5,4,4,1,1,0,2,23,16,0,0,0
0,12,24,0.5,1,4,0.25,8,9,0.889,7,0,4,33,29.3,0,0,0
1,7,11,0.636,3,4,0.75,3,4,0.75,3,1,4,20,21.7,0,0,0
1,1,7,0.143,0,0,0,0,0,0,1,1,5,2,-4.2,0,0,0
0,11,18,0.611,2,5,0.4,7,8,0.875,3,0,2,31,27.2,0,0,0
0,5,11,0.455,0,4,0,6,6,1,2,0,5,16,10.6,0,0,0
1,5,11,0.455,1,4,0.25,5,7,0.714,3,1,1,16,14.6,0,0,0
1,8,19,0.421,1,5,0.2,0,0,0,5,1,5,17,14.3,0,0,0
1,10,15,0.667,4,6,0.667,0,0,0,1,1,2,24,23.4,0,0,0
0,10,18,0.556,2,2,1,4,6,0.667,6,1,4,26,24,1,0,0
1,5,10,0.5,1,4,0.25,4,5,0.8,2,1,4,15,12.5,0,0,0
0,6,13,0.462,2,4,0.5,2,2,1,1,0,1,16,13.1,0,0,0
1,5,10,0.5,0,3,0,8,9,0.889,2,0,4,18,16.5,0,0,0
0,7,11,0.636,2,3,0.667,2,3,0.667,3,0,2,18,16.4,0,0,0
0,6,14,0.429,0,3,0,6,7,0.857,3,0,4,18,13.9,0,0,0
0,12,26,0.462,2,6,0.333,6,6,1,5,0,2,32,24.5,0,0,0
0,9,19,0.474,2,5,0.4,0,0,0,3,1,4,20,12,0,0,0
1,4,7,0.571,1,2,0.5,2,2,1,2,0,5,11,5.6,0,0,0
1,9,17,0.529,1,3,0.333,4,4,1,3,2,5,23,17.3,0,0,0
0,6,13,0.462,2,3,0.667,1,2,0.5,3,1,4,15,9.8,0,0,0
1,2,6,0.333,1,2,0.5,2,2,1,1,0,4,7,8.5,0,0,0
1,9,14,0.643,0,2,0,3,5,0.6,1,2,3,21,20.4,0,0,0
0,10,15,0.667,2,4,0.5,6,6,1,4,3,4,28,23.9,0,0,0
0,6,16,0.375,0,4,0,7,10,0.7,4,4,4,19,20.3,0,0,0
0,11,16,0.688,2,4,0.5,6,9,0.667,5,1,4,30,34.6,0,0,0
0,7,17,0.412,4,7,0.571,10,12,0.833,4,2,5,28,25.5,0,0,0
0,5,15,0.333,3,6,0.5,3,4,0.75,3,1,3,16,9,0,0,0
1,11,16,0.688,2,2,1,1,1,1,4,3,2,25,25.4,0,0,0
1,6,10,0.6,1,2,0.5,3,4,0.75,4,1,4,16,15.3,0,0,0
1,7,12,0.583,2,6,0.333,5,6,0.833,0,1,2,21,19.4,0,0,1
0,6,12,0.5,2,3,0.667,0,0,0,4,0,6,14,15.1,0,0,0
1,8,12,0.667,4,8,0.5,2,3,0.667,1,1,2,22,20,0,0,0
