Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,6,13,0.462,1,3,0.333,11,13,0.846,1,0,1,24,17.1,0,0,0
0,6,13,0.462,4,8,0.5,10,12,0.833,1,1,2,26,22.6,0,0,0
1,6,15,0.4,1,6,0.167,2,2,1,0,1,0,15,9.7,0,0,0
0,4,9,0.444,2,4,0.5,9,9,1,0,0,0,19,18,0,0,0
0,8,22,0.364,4,6,0.667,6,6,1,1,1,0,26,19.3,0,0,0
0,15,25,0.6,2,7,0.286,2,2,1,1,2,4,34,29.8,0,0,0
1,7,15,0.467,1,5,0.2,12,13,0.923,0,1,4,27,21.1,0,0,0
0,8,12,0.667,3,4,0.75,7,7,1,0,0,0,26,23.2,0,0,0
1,4,12,0.333,1,6,0.167,4,5,0.8,0,1,3,13,6.4,0,0,0
1,4,15,0.267,0,5,0,1,2,0.5,0,1,3,9,5.4,0,0,0
1,8,16,0.5,4,8,0.5,1,1,1,1,1,3,21,14.6,0,0,0
1,5,19,0.263,0,6,0,10,11,0.909,1,1,3,20,14.7,0,0,0
0,7,17,0.412,3,9,0.333,3,6,0.5,0,0,1,20,14.7,0,0,0
1,17,27,0.63,5,9,0.556,8,9,0.889,1,0,0,47,39.2,0,0,0
0,8,17,0.471,6,9,0.667,4,4,1,0,0,1,26,21.7,0,0,0
0,4,12,0.333,2,5,0.4,4,4,1,0,1,1,14,8.8,0,0,0
0,8,22,0.364,3,8,0.375,5,6,0.833,2,0,2,24,14.4,0,0,0
1,6,21,0.286,2,11,0.182,1,4,0.25,2,1,2,15,7.9,0,0,0
0,8,12,0.667,1,4,0.25,1,2,0.5,1,0,1,18,14.5,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,7,16,0.438,1,8,0.125,14,14,1,0,3,1,29,29.4,0,0,0
0,8,21,0.381,3,7,0.429,5,7,0.714,1,2,1,24,18,0,0,0
0,5,16,0.313,3,10,0.3,7,7,1,0,1,2,20,13.8,0,0,0
0,10,22,0.455,3,8,0.375,0,0,0,0,1,1,23,14.9,0,0,0
1,6,13,0.462,3,5,0.6,4,4,1,0,0,0,19,15.5,0,0,0
1,5,15,0.333,1,6,0.167,2,4,0.5,0,2,0,13,8.3,0,0,0
0,8,22,0.364,4,10,0.4,5,6,0.833,1,2,2,25,14.4,0,0,0
0,7,26,0.269,0,9,0,0,0,0,1,1,2,14,3.2,0,0,0
0,4,13,0.308,0,4,0,1,1,1,0,3,1,9,6.6,0,0,0
0,4,12,0.333,2,6,0.333,5,6,0.833,0,4,0,15,11.8,0,0,0
1,13,21,0.619,4,9,0.444,2,3,0.667,0,2,2,32,24.6,0,0,0
0,5,15,0.333,3,7,0.429,6,9,0.667,0,0,1,19,11.5,0,0,0
