Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,7,15,0.467,2,5,0.4,4,5,0.8,1,0,4,20,11.9,0,0,0
1,9,18,0.5,3,6,0.5,1,1,1,0,1,3,22,16.5,0,0,0
1,11,24,0.458,4,9,0.444,3,6,0.5,2,1,2,29,18.5,0,0,0
1,9,15,0.6,4,6,0.667,3,4,0.75,0,0,1,25,22.6,0,0,0
0,11,20,0.55,3,6,0.5,4,6,0.667,0,1,2,29,22.5,0,0,0
0,9,20,0.45,4,9,0.444,9,9,1,3,1,2,31,26.9,0,0,0
0,10,14,0.714,3,7,0.429,5,6,0.833,1,0,0,28,25.2,0,0,0
1,7,11,0.636,2,3,0.667,3,3,1,0,0,3,19,16.8,0,0,0
1,9,18,0.5,2,4,0.5,4,4,1,0,0,5,24,19,0,0,0
1,9,13,0.692,4,8,0.5,3,3,1,1,0,1,25,23.9,0,0,0
0,5,13,0.385,1,6,0.167,10,10,1,0,1,3,21,21.4,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,11,18,0.611,3,6,0.5,4,4,1,1,2,2,29,24.1,0,0,0
0,9,18,0.5,0,4,0,3,3,1,0,0,2,21,16.9,0,0,0
1,9,18,0.5,2,5,0.4,4,4,1,1,1,2,24,17,0,0,0
1,11,20,0.55,1,6,0.167,4,6,0.667,0,2,0,27,19.3,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,8,17,0.471,3,5,0.6,2,2,1,0,2,3,21,12,0,1,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,12,25,0.48,3,7,0.429,2,4,0.5,0,1,4,29,15.2,0,0,0
1,10,14,0.714,0,3,0,5,5,1,0,0,3,25,25.3,0,0,0
1,9,18,0.5,2,7,0.286,4,4,1,1,1,1,24,17.8,0,0,0
1,8,21,0.381,1,5,0.2,2,3,0.667,0,2,3,19,7.2,0,0,0
1,13,28,0.464,3,10,0.3,6,6,1,0,0,2,35,28.5,0,0,0
1,12,23,0.522,3,6,0.5,9,10,0.9,1,1,3,36,33.9,0,0,0
0,11,21,0.524,2,4,0.5,4,4,1,2,0,1,28,22.4,0,0,0
0,15,23,0.652,4,8,0.5,2,2,1,0,0,2,36,29.7,0,0,0
1,10,29,0.345,4,11,0.364,12,13,0.923,0,1,3,36,28.1,0,0,0
0,8,20,0.4,2,8,0.25,4,5,0.8,1,0,3,22,11.2,0,0,0
0,9,20,0.45,3,10,0.3,12,13,0.923,0,2,3,33,31.8,0,0,0
0,6,18,0.333,0,5,0,6,7,0.857,1,2,0,18,11.7,0,0,0
0,8,19,0.421,3,9,0.333,6,7,0.857,2,2,3,25,19.8,0,0,1
0,7,10,0.7,2,3,0.667,5,5,1,0,0,3,21,20.3,0,0,0
0,8,19,0.421,4,5,0.8,7,7,1,0,0,3,27,18.1,0,0,0
0,7,12,0.583,2,4,0.5,4,4,1,1,1,1,20,22.9,0,0,0
1,10,21,0.476,1,5,0.2,4,4,1,1,0,1,25,22.9,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,14,18,0.778,6,7,0.857,6,8,0.75,0,1,3,40,31.7,0,0,0
1,12,20,0.6,2,6,0.333,0,2,0,1,2,2,26,20.6,0,0,0
1,10,18,0.556,3,6,0.5,2,2,1,0,0,2,25,20.6,0,0,0
1,9,16,0.563,4,6,0.667,10,10,1,0,3,3,32,31,0,0,0
1,6,15,0.4,0,5,0,7,7,1,0,1,1,19,18.8,0,0,0
1,9,17,0.529,4,6,0.667,4,5,0.8,0,0,2,26,19.5,0,0,0
0,4,10,0.4,2,5,0.4,4,4,1,1,2,3,14,17.2,0,0,0
0,10,19,0.526,6,9,0.667,2,2,1,0,2,2,28,28.7,0,0,0
0,7,18,0.389,1,5,0.2,5,7,0.714,1,1,3,20,12.4,0,0,0
1,5,13,0.385,0,5,0,7,8,0.875,0,1,0,17,13.2,0,0,0
1,12,17,0.706,6,7,0.857,3,3,1,0,0,2,33,25.5,0,0,0
1,12,16,0.75,0,2,0,7,9,0.778,0,0,1,31,30.5,0,0,0
0,8,14,0.571,3,8,0.375,14,15,0.933,1,1,1,33,25.2,0,1,0
0,8,13,0.615,4,6,0.667,4,4,1,0,1,1,24,24.6,0,0,0
0,3,9,0.333,0,1,0,4,4,1,1,0,1,10,11.3,0,0,0
0,8,9,0.889,1,1,1,0,2,0,0,0,2,17,16,0,0,0
1,17,27,0.63,6,14,0.429,10,10,1,0,0,1,50,41.2,0,0,0
0,7,15,0.467,2,4,0.5,8,10,0.8,0,0,2,24,20.6,0,0,0
0,10,20,0.5,4,6,0.667,4,4,1,0,1,0,28,20.6,0,1,0
1,6,10,0.6,2,3,0.667,8,8,1,0,1,1,22,22.2,0,0,0
1,12,20,0.6,3,6,0.5,5,6,0.833,0,0,3,32,22.8,0,0,0
1,12,19,0.632,0,2,0,4,6,0.667,0,1,2,28,20.7,0,0,0
0,7,16,0.438,2,2,1,3,4,0.75,0,0,3,19,10.6,0,0,0
0,14,26,0.538,4,7,0.571,5,7,0.714,1,0,1,37,29.5,0,0,0
1,12,21,0.571,6,12,0.5,10,10,1,1,0,1,40,32.5,0,0,0
1,11,32,0.344,5,12,0.417,12,12,1,3,0,3,39,27.5,0,0,0
0,10,19,0.526,1,7,0.143,5,5,1,0,2,1,26,19.7,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
