Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,4,9,0.444,1,4,0.25,6,7,0.857,3,0,2,15,11.6,0,0
0,1,5,12,0.417,0,3,0,7,7,1,2,0,2,17,15.8,0,0
0,0,8,17,0.471,0,5,0,3,4,0.75,1,1,2,19,12.6,0,0
0,0,7,16,0.438,3,7,0.429,3,4,0.75,3,0,2,20,14.6,0,0
0,1,4,13,0.308,2,6,0.333,5,6,0.833,5,0,2,15,5.9,0,0
0,1,7,12,0.583,5,6,0.833,7,7,1,1,1,1,26,23.4,0,0
0,0,5,15,0.333,3,8,0.375,9,10,0.9,4,1,4,22,16.1,0,0
0,0,4,12,0.333,2,6,0.333,3,4,0.75,2,0,0,13,13.3,0,0
0,1,2,5,0.4,2,5,0.4,5,5,1,0,1,3,11,8.5,0,0
0,0,1,6,0.167,0,2,0,2,2,1,3,3,4,4,4.7,0,0
0,0,9,14,0.643,0,0,0,14,16,0.875,8,2,1,32,35.4,0,0
0,1,5,12,0.417,3,6,0.5,4,4,1,2,1,6,17,10.6,0,0
0,1,11,19,0.579,3,5,0.6,4,4,1,4,0,1,29,27.6,0,0
0,1,2,9,0.222,0,4,0,2,2,1,3,0,1,6,2.5,0,0
0,1,9,16,0.563,1,3,0.333,3,3,1,2,1,3,22,16.7,0,0
0,0,9,18,0.5,3,7,0.429,4,4,1,4,2,4,25,21.5,0,0
0,1,8,12,0.667,1,2,0.5,2,2,1,2,0,3,19,17.5,0,0
0,0,7,17,0.412,0,4,0,4,6,0.667,2,0,4,18,12.1,0,0
0,0,3,6,0.5,1,3,0.333,4,4,1,1,0,5,11,10,0,0
0,1,4,12,0.333,2,7,0.286,3,3,1,2,1,4,13,7.7,0,0
0,0,10,16,0.625,4,8,0.5,14,17,0.824,2,2,0,38,33.5,0,0
0,1,7,16,0.438,4,9,0.444,7,8,0.875,6,0,2,25,19,0,0
0,0,7,12,0.583,3,4,0.75,3,3,1,0,0,2,20,17.3,0,0
0,1,8,13,0.615,3,6,0.5,5,5,1,0,0,0,24,22.7,0,0
0,0,7,16,0.438,1,6,0.167,3,3,1,1,1,1,18,13.2,0,0
0,1,6,16,0.375,2,7,0.286,6,10,0.6,2,0,0,20,14.6,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,6,13,0.462,4,5,0.8,1,3,0.333,4,0,1,17,13.7,0,0
0,0,9,15,0.6,4,6,0.667,6,6,1,1,2,2,28,26.8,0,0
0,0,7,14,0.5,0,3,0,1,2,0.5,2,0,0,15,12.7,0,0
0,1,9,20,0.45,5,8,0.625,2,2,1,0,1,2,25,16.5,0,0
0,1,8,15,0.533,5,11,0.455,0,0,0,2,1,0,21,19.3,0,0
0,0,9,15,0.6,4,8,0.5,5,5,1,1,0,3,27,21.8,0,0
0,1,9,25,0.36,6,11,0.545,7,7,1,7,2,3,31,22.1,0,1
0,1,7,12,0.583,3,8,0.375,6,6,1,0,0,4,23,17.7,0,0
0,1,6,16,0.375,3,10,0.3,5,6,0.833,2,0,3,20,14.1,0,0
0,0,5,7,0.714,4,5,0.8,5,6,0.833,1,1,0,19,16.9,0,0
0,1,1,11,0.091,0,4,0,0,0,0,1,0,0,2,-1.6,0,0
0,1,8,17,0.471,6,12,0.5,5,5,1,1,0,5,27,18.9,0,0
0,1,1,7,0.143,1,4,0.25,0,0,0,1,0,0,3,-0.5,1,0
0,1,2,8,0.25,0,1,0,6,7,0.857,1,0,3,10,7.1,0,0
0,1,8,14,0.571,1,5,0.2,4,4,1,1,3,1,21,19.4,0,0
0,0,5,9,0.556,3,5,0.6,4,5,0.8,0,2,5,17,17.2,0,0
0,0,3,10,0.3,1,6,0.167,5,6,0.833,0,1,3,12,10,0,0
0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,-1.4,0,0
0,1,4,8,0.5,0,1,0,2,2,1,0,1,3,10,9.1,0,0
0,0,4,8,0.5,2,6,0.333,0,0,0,2,2,2,10,13,0,0
0,0,8,14,0.571,4,6,0.667,0,0,0,0,0,2,20,16.6,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
