Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,11,25,0.44,2,6,0.333,7,9,0.778,3,0,3,31,20.1,0,0,0
0,11,20,0.55,3,7,0.429,8,10,0.8,0,1,3,33,24,0,0,0
1,3,14,0.214,0,2,0,6,9,0.667,1,0,1,12,1.7,0,0,0
0,13,24,0.542,1,6,0.167,3,3,1,3,1,3,30,24.2,0,0,0
1,13,27,0.481,2,5,0.4,4,5,0.8,1,1,4,32,19.7,0,0,0
0,14,26,0.538,4,7,0.571,6,6,1,2,0,5,38,24.8,0,0,0
0,7,18,0.389,0,2,0,5,5,1,0,0,2,19,9.7,0,0,0
0,13,22,0.591,1,2,0.5,10,13,0.769,2,1,1,37,29.2,0,0,0
0,15,24,0.625,2,4,0.5,8,9,0.889,0,0,2,40,34.3,0,0,0
0,10,15,0.667,4,8,0.5,4,4,1,1,0,3,28,20,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,11,21,0.524,4,6,0.667,8,9,0.889,1,0,2,34,27.2,0,0,0
0,7,21,0.333,2,5,0.4,4,7,0.571,1,2,4,20,9.2,0,0,0
0,8,19,0.421,1,4,0.25,5,6,0.833,2,0,1,22,15.1,0,0,0
1,3,13,0.231,2,3,0.667,5,6,0.833,0,0,4,13,4.1,0,0,0
0,7,20,0.35,2,7,0.286,9,9,1,2,2,4,25,14.9,0,0,0
0,8,21,0.381,1,4,0.25,5,5,1,1,0,4,22,14.7,0,0,0
1,9,18,0.5,4,8,0.5,6,8,0.75,0,0,4,28,17.6,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,6,16,0.375,2,6,0.333,8,9,0.889,3,1,4,22,13.9,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0,0,4,2.4,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,8,19,0.421,2,3,0.667,0,0,0,2,1,0,18,10.9,0,0,0
1,10,25,0.4,1,7,0.143,2,2,1,0,0,1,23,10.4,0,0,0
0,10,23,0.435,1,5,0.2,9,10,0.9,0,2,2,30,22.6,0,0,0
0,14,26,0.538,5,8,0.625,4,5,0.8,3,1,3,37,29.5,0,0,0
1,5,10,0.5,1,3,0.333,2,2,1,0,1,3,13,9.2,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,0,11,0,0,3,0,1,2,0.5,0,0,4,1,-8.5,0,0,0
1,12,28,0.429,3,9,0.333,2,2,1,2,1,4,29,16.2,0,0,0
0,6,19,0.316,1,2,0.5,9,14,0.643,5,0,1,22,15.3,0,0,1
1,9,22,0.409,1,6,0.167,4,4,1,1,1,2,23,16.4,0,0,0
1,6,16,0.375,1,2,0.5,5,6,0.833,3,0,6,18,13.6,0,0,0
1,11,22,0.5,1,5,0.2,7,8,0.875,2,2,5,30,25,0,0,0
0,5,19,0.263,0,1,0,3,4,0.75,4,0,4,13,2.1,0,0,0
1,5,13,0.385,1,4,0.25,5,6,0.833,0,0,2,16,8.6,0,0,0
1,5,14,0.357,1,3,0.333,4,4,1,1,1,4,15,9.9,0,0,0
1,9,25,0.36,3,5,0.6,8,8,1,0,0,3,29,15.7,0,0,0
0,11,24,0.458,2,6,0.333,0,4,0,0,0,2,24,9.5,0,0,0
1,6,19,0.316,3,5,0.6,2,4,0.5,4,2,3,17,11.2,0,0,0
0,10,24,0.417,4,10,0.4,1,2,0.5,0,5,5,25,17.1,0,0,0
1,8,14,0.571,2,3,0.667,8,11,0.727,2,0,4,26,20.5,0,0,0
1,8,19,0.421,2,7,0.286,3,3,1,0,3,2,21,20,0,0,0
1,6,14,0.429,1,3,0.333,5,7,0.714,1,1,5,18,11.6,0,0,0
1,7,13,0.538,2,2,1,1,3,0.333,0,1,3,17,12.3,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,7,16,0.438,1,4,0.25,6,6,1,0,0,6,21,12,0,0,0
1,6,11,0.545,3,4,0.75,4,6,0.667,1,0,2,19,17.1,0,0,0
0,9,19,0.474,6,8,0.75,4,4,1,2,1,1,28,23,0,0,0
1,7,18,0.389,1,5,0.2,1,3,0.333,1,0,2,16,9.4,0,0,0
1,6,15,0.4,1,5,0.2,4,4,1,2,0,4,17,10.6,0,0,0
0,9,20,0.45,2,6,0.333,2,5,0.4,3,4,4,22,17.9,0,0,0
0,4,5,0.8,1,2,0.5,1,4,0.25,0,0,0,10,9.6,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
