Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,8,17,0.471,4,9,0.444,2,2,1,2,3,4,22,21.7,0,1,0
0,7,25,0.28,2,7,0.286,1,2,0.5,1,3,1,17,5.2,0,0,0
1,7,17,0.412,1,4,0.25,6,7,0.857,2,2,4,21,12.3,0,0,0
0,5,13,0.385,1,5,0.2,9,9,1,0,1,2,20,15.9,0,0,0
1,10,18,0.556,2,4,0.5,2,2,1,0,2,3,24,20.7,0,0,0
1,10,23,0.435,2,8,0.25,2,2,1,0,3,0,24,16.9,0,0,0
0,10,16,0.625,3,7,0.429,1,1,1,0,3,3,24,23.1,0,0,0
0,8,17,0.471,4,9,0.444,2,2,1,0,4,1,22,18.4,0,0,0
1,10,22,0.455,3,7,0.429,2,3,0.667,1,2,1,25,21.6,0,0,0
1,4,13,0.308,0,4,0,3,4,0.75,0,1,3,11,5.4,0,0,0
1,14,22,0.636,4,10,0.4,3,4,0.75,0,0,3,35,27.4,0,0,0
0,7,21,0.333,0,7,0,5,5,1,0,1,3,19,10.2,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,8,20,0.4,2,5,0.4,7,8,0.875,1,1,1,25,17.2,0,0,0
0,4,16,0.25,1,5,0.2,7,8,0.875,0,1,2,16,11.6,0,0,0
1,10,12,0.833,5,6,0.833,5,5,1,0,0,3,30,25.8,0,0,0
1,16,22,0.727,5,7,0.714,10,11,0.909,1,1,3,47,39.9,0,0,0
1,11,22,0.5,0,3,0,1,4,0.25,1,3,2,23,14.8,0,0,0
0,9,15,0.6,2,4,0.5,10,10,1,0,1,2,30,25.6,0,0,0
1,11,20,0.55,1,4,0.25,2,2,1,1,1,1,25,18.8,0,0,0
0,6,16,0.375,1,6,0.167,5,7,0.714,0,0,5,18,7.9,0,0,0
0,12,21,0.571,5,8,0.625,7,8,0.875,1,0,1,36,27,0,0,0
0,8,14,0.571,2,3,0.667,1,1,1,0,2,1,19,14.5,0,0,0
0,13,24,0.542,2,4,0.5,4,5,0.8,1,2,2,32,20.5,0,0,0
0,10,18,0.556,1,6,0.167,2,2,1,1,0,2,23,15.5,0,0,0
1,13,21,0.619,6,10,0.6,4,4,1,1,1,2,36,27.1,0,0,0
1,4,12,0.333,3,4,0.75,5,5,1,0,0,2,16,9.4,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,12,19,0.632,4,9,0.444,5,6,0.833,0,1,4,33,27.1,0,0,0
0,11,25,0.44,2,8,0.25,9,9,1,0,0,3,33,22.1,0,0,0
1,7,17,0.412,4,9,0.444,2,2,1,0,0,3,20,11.5,0,0,0
1,12,23,0.522,5,8,0.625,1,2,0.5,0,0,4,30,16.8,0,0,0
0,11,24,0.458,3,9,0.333,8,8,1,0,1,1,33,23.6,0,0,0
1,12,27,0.444,6,15,0.4,2,2,1,0,1,2,32,20.8,0,0,0
0,9,15,0.6,5,7,0.714,2,2,1,1,2,1,25,24.9,0,0,0
0,8,18,0.444,2,6,0.333,2,2,1,2,0,0,20,14.1,0,0,1
1,8,19,0.421,3,7,0.429,2,2,1,1,0,2,21,15.7,0,0,0
0,9,18,0.5,1,6,0.167,7,8,0.875,3,2,3,26,17.3,0,0,0
0,10,21,0.476,4,10,0.4,4,4,1,1,2,3,28,19,0,0,0
0,5,14,0.357,0,5,0,1,2,0.5,0,1,2,11,7.9,0,1,0
0,6,16,0.375,1,4,0.25,3,4,0.75,1,2,4,16,13.9,0,0,0
1,8,22,0.364,2,6,0.333,3,4,0.75,1,0,1,21,13.7,0,0,0
1,7,20,0.35,3,10,0.3,3,3,1,1,0,2,20,10.1,0,0,0
0,8,24,0.333,5,12,0.417,6,7,0.857,1,2,2,27,12.1,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,14,23,0.609,5,7,0.714,7,8,0.875,2,0,1,40,34.8,0,0,0
1,13,24,0.542,4,11,0.364,3,3,1,0,0,1,33,23.7,0,0,0
1,7,16,0.438,2,8,0.25,4,4,1,0,1,0,20,18.9,0,0,0
1,13,18,0.722,5,6,0.833,6,8,0.75,0,1,3,37,29,0,0,0
1,11,17,0.647,2,4,0.5,3,3,1,0,1,4,27,22,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,6,12,0.5,2,6,0.333,3,3,1,0,0,1,17,12.7,0,0,0
1,9,19,0.474,1,5,0.2,9,10,0.9,0,1,0,28,22.3,0,0,0
0,8,18,0.444,2,7,0.286,3,3,1,1,0,3,21,12.9,0,0,0
0,7,14,0.5,1,7,0.143,3,4,0.75,0,0,0,18,13,0,1,0
0,11,21,0.524,5,7,0.714,6,6,1,0,1,3,33,24.4,0,0,0
1,7,14,0.5,4,9,0.444,0,0,0,0,1,2,18,15.9,0,0,0
1,11,22,0.5,6,12,0.5,3,4,0.75,1,2,1,31,27.9,0,0,0
0,8,13,0.615,5,8,0.625,4,4,1,0,0,2,25,21.6,0,0,0
0,13,18,0.722,4,6,0.667,4,4,1,1,1,1,34,31.3,0,0,0
1,6,17,0.353,2,7,0.286,4,5,0.8,0,1,4,18,9.6,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,9,15,0.6,3,7,0.429,2,2,1,1,2,2,23,22.1,0,0,0
0,3,6,0.5,1,3,0.333,0,0,0,1,1,0,7,4.3,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
