Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,12,19,0.632,1,5,0.2,4,4,1,1,0,3,29,28.2,0,0,0
1,10,16,0.625,2,4,0.5,2,2,1,1,1,1,24,20.6,0,0,0
0,8,15,0.533,1,3,0.333,5,6,0.833,0,1,0,22,17.6,0,0,0
0,13,20,0.65,4,6,0.667,4,5,0.8,0,3,1,34,35.1,0,0,0
1,12,20,0.6,1,2,0.5,4,8,0.5,1,0,1,29,25.1,0,0,0
1,6,11,0.545,1,3,0.333,5,6,0.833,0,0,3,18,13.6,0,0,0
0,7,15,0.467,1,4,0.25,1,1,1,1,2,2,16,13.8,0,0,0
0,14,22,0.636,1,5,0.2,4,5,0.8,1,2,1,33,27,0,0,0
1,23,34,0.676,2,4,0.5,9,9,1,5,3,2,57,53.2,0,0,0
0,10,17,0.588,0,3,0,6,6,1,2,1,4,26,24.3,0,0,0
0,10,20,0.5,2,4,0.5,8,10,0.8,1,3,1,30,29.9,0,0,0
1,15,24,0.625,1,4,0.25,2,3,0.667,0,1,4,33,20,0,0,0
1,6,14,0.429,1,3,0.333,6,8,0.75,1,0,3,19,10.8,0,0,0
1,7,14,0.5,2,4,0.5,7,10,0.7,3,0,1,23,23.8,0,0,0
1,12,24,0.5,4,7,0.571,3,3,1,2,2,4,31,25.3,0,0,0
0,17,26,0.654,4,9,0.444,1,5,0.2,1,0,0,39,28.8,0,0,0
1,7,14,0.5,3,5,0.6,1,1,1,0,1,2,18,18.1,0,0,0
0,11,17,0.647,4,7,0.571,7,9,0.778,1,2,2,33,28.6,0,0,0
0,10,20,0.5,3,8,0.375,4,7,0.571,1,0,2,27,28.4,0,0,0
1,12,23,0.522,3,7,0.429,3,4,0.75,3,0,0,30,24.9,0,0,0
0,10,16,0.625,1,3,0.333,0,1,0,2,5,1,21,25.3,0,1,0
1,8,11,0.727,3,6,0.5,5,7,0.714,1,2,3,24,28.5,0,0,0
0,13,22,0.591,0,3,0,8,8,1,0,0,1,34,28.1,0,0,0
1,9,15,0.6,2,4,0.5,3,4,0.75,0,2,1,23,21.6,0,0,0
0,12,18,0.667,5,8,0.625,3,6,0.5,2,3,0,32,30.8,0,0,0
1,12,22,0.545,1,5,0.2,4,5,0.8,2,1,1,29,26.4,0,0,0
0,9,23,0.391,2,6,0.333,10,12,0.833,3,3,1,30,27.5,0,0,0
0,11,13,0.846,2,3,0.667,1,2,0.5,0,2,4,25,32.3,0,0,0
0,8,18,0.444,1,6,0.167,8,12,0.667,1,2,0,25,24.8,0,0,0
0,9,15,0.6,1,4,0.25,10,10,1,0,1,2,29,27.6,0,0,0
1,8,23,0.348,2,7,0.286,2,3,0.667,2,0,4,20,14.4,0,0,0
1,14,22,0.636,6,11,0.545,5,5,1,0,3,1,39,31.4,0,0,0
0,12,23,0.522,2,5,0.4,8,8,1,1,3,1,34,29.8,0,0,0
1,7,18,0.389,2,7,0.286,4,7,0.571,1,0,2,20,7.6,0,0,1
1,6,17,0.353,0,2,0,4,5,0.8,2,5,2,16,19.9,0,0,0
1,12,22,0.545,1,7,0.143,4,5,0.8,1,2,1,29,21.3,1,0,0
0,10,17,0.588,0,2,0,4,4,1,1,4,2,24,24.8,0,0,0
1,8,15,0.533,0,2,0,3,3,1,0,1,1,19,15.3,0,0,0
1,12,23,0.522,4,7,0.571,5,7,0.714,3,6,1,33,34.7,0,0,0
