Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
1,5,12,0.417,1,4,0.25,1,1,1,1,2,1,12,10.7,0,1,0
0,7,13,0.538,2,5,0.4,2,3,0.667,0,0,3,18,14.2,0,0,0
0,3,10,0.3,1,4,0.25,2,2,1,1,1,1,9,6.6,0,0,0
1,5,9,0.556,2,4,0.5,1,2,0.5,0,0,0,13,9,0,0,0
0,3,9,0.333,1,4,0.25,3,3,1,0,0,1,10,5.2,0,0,0
0,3,8,0.375,1,3,0.333,10,11,0.909,0,0,0,17,11.6,0,0,0
0,5,8,0.625,2,3,0.667,5,5,1,0,0,0,17,16.4,0,0,0
0,4,12,0.333,1,5,0.2,4,4,1,1,1,2,13,4.4,0,0,0
0,8,18,0.444,2,8,0.25,4,4,1,1,0,1,22,11.6,0,0,0
1,7,14,0.5,3,7,0.429,0,0,0,0,1,2,17,11.3,0,0,0
1,13,22,0.591,6,12,0.5,3,3,1,1,0,2,35,25.6,0,0,0
1,5,16,0.313,1,5,0.2,3,3,1,1,2,1,14,6.8,0,0,0
0,9,19,0.474,5,10,0.5,8,10,0.8,1,5,2,31,29.4,0,1,0
1,5,16,0.313,0,5,0,3,3,1,1,1,3,13,5.5,0,0,0
1,10,17,0.588,2,6,0.333,3,6,0.5,0,0,1,25,14.9,0,0,0
1,2,8,0.25,2,5,0.4,2,2,1,1,1,2,8,1.5,0,0,0
1,7,15,0.467,3,6,0.5,3,3,1,1,1,0,20,13.6,0,1,0
1,6,14,0.429,4,7,0.571,2,2,1,0,4,1,18,15.4,0,0,0
0,12,21,0.571,4,8,0.5,14,14,1,0,1,2,42,31.6,0,1,0
0,6,14,0.429,3,7,0.429,5,6,0.833,0,1,0,20,16,0,0,0
1,4,16,0.25,1,4,0.25,9,10,0.9,0,0,0,18,11.2,0,0,0
1,8,14,0.571,3,7,0.429,4,4,1,1,0,2,23,20.5,0,0,0
0,9,20,0.45,4,9,0.444,1,2,0.5,1,1,3,23,17.9,0,0,0
0,11,20,0.55,4,8,0.5,9,10,0.9,0,0,3,35,29,0,0,0
0,6,18,0.333,3,8,0.375,2,2,1,1,1,3,17,10,0,1,0
1,11,22,0.5,3,6,0.5,6,8,0.75,1,1,0,31,24.1,0,0,0
1,5,14,0.357,3,8,0.375,10,10,1,1,1,0,23,16.9,0,0,0
1,4,16,0.25,1,6,0.167,4,4,1,0,0,3,13,0.4,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,6,18,0.333,1,5,0.2,5,6,0.833,0,0,2,18,6.3,0,0,0
1,10,21,0.476,7,11,0.636,5,6,0.833,0,3,1,32,28,0,1,0
1,10,22,0.455,5,13,0.385,11,12,0.917,0,0,1,36,23.5,0,0,0
0,7,11,0.636,4,6,0.667,3,4,0.75,0,0,1,21,16.6,0,0,0
1,4,14,0.286,2,10,0.2,13,15,0.867,2,0,0,23,16.5,0,1,0
0,12,21,0.571,6,9,0.667,10,11,0.909,0,1,2,40,35.1,0,0,0
0,8,15,0.533,2,6,0.333,15,15,1,1,0,4,33,24.3,0,0,0
0,8,22,0.364,4,11,0.364,6,7,0.857,1,0,0,26,17.7,0,0,0
0,7,14,0.5,2,4,0.5,7,7,1,0,1,1,23,15,0,0,0
0,12,29,0.414,4,9,0.444,6,6,1,1,0,1,34,16.2,0,1,0
1,16,27,0.593,8,16,0.5,10,10,1,0,0,0,50,39,0,0,0
1,10,24,0.417,5,12,0.417,5,5,1,0,2,4,30,19.5,0,0,0
0,7,17,0.412,4,9,0.444,8,9,0.889,0,4,0,26,20.2,0,0,0
0,12,19,0.632,4,8,0.5,3,4,0.75,0,0,2,31,28.2,0,1,0
0,6,18,0.333,2,8,0.25,3,4,0.75,2,1,2,17,8.1,0,0,0
1,9,21,0.429,2,8,0.25,11,11,1,1,10,3,31,31.6,0,0,0
0,8,15,0.533,3,9,0.333,1,2,0.5,0,0,3,20,12.9,0,0,0
0,6,18,0.333,1,7,0.143,7,9,0.778,0,1,2,20,11.1,0,0,0
1,12,19,0.632,4,10,0.4,12,14,0.857,0,4,1,40,40.6,0,0,0
1,9,22,0.409,2,10,0.2,2,3,0.667,1,2,0,22,14.6,0,0,0
0,5,26,0.192,2,9,0.222,8,9,0.889,1,1,1,20,4.9,0,0,0
0,5,16,0.313,0,7,0,11,11,1,0,0,1,21,13.9,0,0,0
0,5,15,0.333,1,5,0.2,4,4,1,0,1,0,15,10.3,0,0,0
1,7,12,0.583,4,6,0.667,8,9,0.889,0,2,0,26,23.4,0,0,0
1,9,21,0.429,4,10,0.4,1,2,0.5,1,0,2,23,9.5,0,1,0
1,8,16,0.5,0,4,0,4,5,0.8,0,2,1,20,16.3,0,0,0
1,6,18,0.333,2,9,0.222,5,6,0.833,0,0,1,19,13.5,0,0,0
1,7,17,0.412,2,7,0.286,5,5,1,0,1,3,21,17.4,0,0,0
1,12,20,0.6,3,7,0.429,8,9,0.889,1,1,0,35,24.5,0,0,0
1,10,18,0.556,1,6,0.167,4,5,0.8,2,2,3,25,22,0,0,0
0,4,11,0.364,1,3,0.333,4,6,0.667,0,1,0,13,8.5,0,1,0
0,6,16,0.375,0,6,0,9,10,0.9,0,0,0,21,18.3,0,0,0
0,8,22,0.364,1,6,0.167,4,5,0.8,0,3,0,21,12.5,0,0,0
0,9,21,0.429,2,7,0.286,7,13,0.538,0,0,3,27,15.9,0,0,0
0,6,17,0.353,3,7,0.429,0,2,0,1,0,0,15,8.2,0,0,0
0,10,22,0.455,3,6,0.5,2,3,0.667,2,1,1,25,13.2,0,0,0
1,6,15,0.4,1,7,0.143,13,14,0.929,0,0,1,26,16.5,0,0,0
1,6,18,0.333,0,2,0,2,3,0.667,1,1,2,14,5.9,0,1,0
1,6,16,0.375,0,4,0,6,7,0.857,0,3,1,18,10.2,0,0,0
0,11,24,0.458,3,6,0.5,5,5,1,0,1,2,30,19.9,0,0,0
1,4,11,0.364,0,2,0,7,7,1,1,0,2,15,9.3,0,0,0
1,6,11,0.545,2,6,0.333,5,5,1,0,2,2,19,16.5,0,0,0
1,10,18,0.556,4,6,0.667,3,3,1,0,3,1,27,27.2,0,0,0
1,10,24,0.417,1,4,0.25,5,5,1,2,1,1,26,20.8,0,1,0
0,5,16,0.313,1,4,0.25,5,6,0.833,1,1,1,16,4.7,0,0,0
1,5,12,0.417,1,2,0.5,2,3,0.667,1,0,2,13,2.5,0,0,0
1,10,22,0.455,0,2,0,3,3,1,1,0,1,23,14.3,0,0,0
0,7,13,0.538,1,4,0.25,5,5,1,0,2,3,20,15.2,0,0,0
0,8,20,0.4,1,3,0.333,5,5,1,1,2,1,22,13.9,0,0,0
1,3,12,0.25,0,3,0,6,7,0.857,0,0,1,12,2.4,0,0,0
0,6,15,0.4,2,3,0.667,10,12,0.833,0,0,0,24,16.6,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
