Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,NOP,6,18,0.333,2,5,0.4,0,0,0,3,0,6,14,8.8,0,0
0,0,GSW,8,16,0.5,2,4,0.5,16,17,0.941,2,1,1,34,27,0,0
0,1,HOU,8,15,0.533,0,3,0,10,10,1,0,0,4,26,17.4,0,0
0,1,DAL,9,15,0.6,5,7,0.714,3,8,0.375,2,2,2,26,23.2,0,0
0,0,DAL,8,16,0.5,1,4,0.25,8,8,1,0,0,3,25,16.8,0,0
0,0,HOU,1,8,0.125,0,2,0,4,6,0.667,0,1,0,6,6.4,0,0
0,0,CHO,4,15,0.267,2,8,0.25,0,1,0,0,2,2,10,5.5,0,0
0,0,ORL,10,14,0.714,2,4,0.5,0,1,0,1,0,1,22,18.2,0,0
0,1,LAC,7,15,0.467,2,4,0.5,5,5,1,1,0,3,21,13,0,0
0,1,LAL,6,18,0.333,2,9,0.222,1,2,0.5,1,0,3,15,9.2,0,0
0,1,POR,5,14,0.357,1,4,0.25,5,5,1,0,0,0,16,13.3,0,0
0,1,HOU,6,15,0.4,0,3,0,3,4,0.75,1,0,0,15,9.4,0,0
0,1,MIL,6,14,0.429,1,4,0.25,3,4,0.75,2,0,4,16,10.6,0,0
0,0,IND,12,24,0.5,3,7,0.429,8,9,0.889,2,0,1,35,31.9,0,0
0,0,HOU,6,17,0.353,1,3,0.333,2,2,1,1,0,2,15,10,0,0
0,0,POR,7,20,0.35,3,8,0.375,2,4,0.5,2,1,3,19,13.5,0,0
0,0,DAL,5,15,0.333,1,4,0.25,3,3,1,0,0,2,14,7.2,0,0
0,1,DEN,5,13,0.385,1,5,0.2,4,4,1,0,2,3,15,16.3,0,0
0,0,BRK,6,17,0.353,0,2,0,6,6,1,1,1,3,18,7.6,0,0
0,1,SAS,4,11,0.364,0,0,0,2,2,1,1,0,2,10,8.2,0,0
0,0,SAS,6,16,0.375,1,1,1,3,4,0.75,3,2,3,16,14.2,0,0
0,1,CLE,12,23,0.522,1,4,0.25,2,3,0.667,0,3,2,27,20.5,0,0
0,0,MIN,6,14,0.429,1,2,0.5,8,9,0.889,1,0,2,21,17.1,0,0
0,1,NYK,5,12,0.417,1,4,0.25,6,7,0.857,3,0,2,17,13.5,0,0
0,0,TOR,7,16,0.438,1,4,0.25,5,7,0.714,3,0,3,20,12.7,0,0
0,0,OKC,8,17,0.471,2,5,0.4,4,6,0.667,3,0,4,22,16.8,0,0
0,0,MIA,5,14,0.357,2,5,0.4,7,10,0.7,2,0,3,19,8.8,0,0
0,1,WAS,5,16,0.313,1,5,0.2,4,4,1,2,1,2,15,7.5,0,0
0,0,ATL,3,9,0.333,2,2,1,5,5,1,0,1,3,13,6.4,0,0
0,0,BOS,11,19,0.579,4,6,0.667,4,5,0.8,3,3,1,30,26.9,0,0
