Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,3,10,0.3,1,4,0.25,0,0,0,0,0,1,7,5.3,0,0
0,0,0,3,0,0,1,0,0,0,0,0,1,4,0,1.9,0,0
0,0,9,14,0.643,3,3,1,8,8,1,2,1,4,29,22.2,0,0
0,1,8,12,0.667,1,1,1,1,1,1,6,0,3,18,15.6,0,0
0,1,8,16,0.5,0,1,0,2,2,1,4,1,0,18,18.6,0,0
0,1,9,16,0.563,1,3,0.333,2,2,1,1,1,3,21,20.3,0,0
0,1,9,15,0.6,6,10,0.6,4,6,0.667,3,1,1,28,24.6,0,0
0,0,4,10,0.4,0,3,0,0,0,0,3,1,2,8,17.2,0,0
0,0,8,15,0.533,2,6,0.333,1,1,1,5,4,4,19,21.4,0,0
0,0,2,6,0.333,0,0,0,4,4,1,1,2,1,8,9.8,0,0
0,0,16,25,0.64,4,9,0.444,5,6,0.833,2,2,6,41,37.4,0,0
0,0,7,16,0.438,1,5,0.2,0,0,0,3,1,4,15,9.6,0,0
0,0,3,8,0.375,1,1,1,5,6,0.833,5,4,2,12,23.5,0,0
0,1,2,9,0.222,1,4,0.25,1,2,0.5,0,3,2,6,4.2,0,0
0,0,3,5,0.6,1,2,0.5,6,6,1,3,0,3,13,16.9,0,0
0,1,1,5,0.2,0,0,0,4,4,1,4,1,2,6,5.2,0,0
0,1,7,12,0.583,2,6,0.333,0,0,0,4,1,0,16,18,0,0
0,1,7,14,0.5,1,2,0.5,2,3,0.667,2,2,2,17,14.2,0,0
0,0,11,17,0.647,2,5,0.4,4,6,0.667,5,2,4,28,26.6,0,0
0,1,3,7,0.429,1,3,0.333,0,0,0,0,1,1,7,8.6,0,0
0,0,3,6,0.5,0,0,0,2,2,1,2,0,1,8,9.4,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,6,13,0.462,1,2,0.5,0,0,0,3,0,2,13,11.8,0,0
0,1,5,9,0.556,0,2,0,3,4,0.75,2,2,2,13,13.4,0,0
0,0,6,12,0.5,2,6,0.333,8,9,0.889,0,0,3,22,10.4,0,0
0,1,12,21,0.571,2,6,0.333,1,1,1,3,0,4,27,21,0,0
0,1,9,16,0.563,0,3,0,0,0,0,3,1,0,18,16.8,0,0
0,0,4,10,0.4,1,3,0.333,4,4,1,2,1,5,13,12,0,0
0,1,5,11,0.455,1,3,0.333,11,12,0.917,1,2,3,22,21.3,0,0
0,0,5,14,0.357,1,5,0.2,8,9,0.889,5,1,0,19,22,0,0
0,0,4,6,0.667,1,1,1,5,5,1,1,2,3,14,14.9,0,0
