"Road","FG","FGA","FGP","3P","3PA","3PP","FT","FTA","FTP","ORB","STL","PF","PTS","GmSc","Birthday","Ex","ChristmasDay"
0,6,12,0.5,0,3,0,7,8,0.875,2,2,1,19,19.7,0,0,0
1,17,22,0.773,6,8,0.75,1,2,0.5,1,0,5,41,32.1,0,0,0
1,11,16,0.688,1,3,0.333,0,0,0,1,1,2,23,24.5,0,0,0
0,6,17,0.353,0,5,0,0,0,0,0,0,1,12,6.6,1,0,0
0,6,9,0.667,3,3,1,0,0,0,1,0,1,15,12.2,0,0,0
1,6,17,0.353,2,8,0.25,1,2,0.5,2,1,4,15,9.4,0,0,0
1,9,17,0.529,1,2,0.5,1,2,0.5,0,0,2,20,15,0,0,0
1,3,11,0.273,1,3,0.333,0,0,0,1,1,3,7,1,0,0,0
0,6,11,0.545,2,3,0.667,0,0,0,0,1,2,14,6.2,0,0,0
0,6,15,0.4,1,4,0.25,0,0,0,1,2,0,13,15.2,0,0,0
0,9,16,0.563,3,6,0.5,3,3,1,1,4,2,24,21.9,0,0,0
1,6,13,0.462,3,6,0.5,4,4,1,1,0,2,19,15.1,0,0,0
1,4,12,0.333,0,3,0,0,1,0,2,0,4,8,1.2,0,0,0
1,7,13,0.538,2,5,0.4,4,4,1,0,1,1,20,18.6,0,0,0
1,5,11,0.455,1,4,0.25,0,0,0,0,0,1,11,7.7,0,0,0
0,3,11,0.273,2,3,0.667,0,0,0,1,3,2,8,5.8,0,0,0
0,11,19,0.579,3,6,0.5,0,0,0,7,1,4,25,20.3,0,0,0
1,5,13,0.385,1,4,0.25,0,0,0,1,0,4,11,6.4,0,0,0
1,6,13,0.462,0,2,0,0,0,0,5,3,2,12,13.9,0,0,0
1,5,15,0.333,0,4,0,4,6,0.667,1,1,2,14,10.6,0,1,0
1,7,17,0.412,2,5,0.4,0,0,0,3,0,5,16,10.9,0,0,0
0,7,13,0.538,0,4,0,1,2,0.5,0,0,3,15,14.1,0,0,0
0,3,7,0.429,0,1,0,0,0,0,2,0,1,6,6.2,0,0,0
1,13,19,0.684,1,4,0.25,7,7,1,2,0,5,34,30.8,0,0,0
1,5,12,0.417,0,3,0,0,0,0,1,2,4,10,9.7,0,0,0
0,9,19,0.474,2,7,0.286,2,2,1,5,2,3,22,23.5,0,0,0
0,10,19,0.526,1,5,0.2,0,0,0,4,1,1,21,19.2,0,0,0
1,13,18,0.722,4,6,0.667,1,1,1,2,1,3,31,33.8,0,0,0
0,7,16,0.438,0,2,0,0,0,0,2,4,1,14,15.1,0,0,0
0,12,20,0.6,2,5,0.4,0,0,0,3,1,3,26,20.4,0,0,0
1,10,20,0.5,4,6,0.667,0,0,0,3,1,2,24,23.9,0,0,0
1,8,21,0.381,0,4,0,2,2,1,1,0,4,18,9.8,0,0,0
0,7,20,0.35,0,3,0,7,8,0.875,5,2,2,21,13.4,0,0,0
1,0,1,0,0,0,0,1,2,0.5,0,0,1,1,-0.8,0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,8,11,0.727,2,3,0.667,1,3,0.333,1,2,2,19,18.2,0,0,0
1,6,13,0.462,1,4,0.25,2,2,1,0,2,1,15,13.1,0,1,0
1,6,13,0.462,3,5,0.6,0,0,0,3,1,5,15,11.1,0,0,0
0,7,13,0.538,0,3,0,0,0,0,2,0,3,14,9.2,0,0,0
0,9,19,0.474,0,5,0,4,4,1,3,0,2,22,17.2,0,0,0
0,8,14,0.571,1,2,0.5,2,5,0.4,1,0,3,19,14.3,0,0,0
1,6,11,0.545,3,3,1,0,0,0,0,0,4,15,9.5,0,0,0
1,11,18,0.611,1,4,0.25,1,1,1,2,0,4,24,23.2,0,0,0
1,5,11,0.455,0,2,0,3,4,0.75,0,0,1,13,7.8,0,0,0
1,8,20,0.4,1,4,0.25,0,0,0,1,1,5,17,8.7,0,0,0
1,5,14,0.357,0,2,0,0,0,0,3,0,2,10,2.3,0,0,0
0,8,14,0.571,1,2,0.5,5,5,1,1,4,2,22,24,0,0,0
0,6,14,0.429,0,3,0,0,0,0,1,0,5,12,6.3,0,0,0
0,7,19,0.368,1,2,0.5,0,0,0,1,3,2,15,10.9,0,0,0
0,3,11,0.273,1,2,0.5,0,0,0,1,1,3,7,1.6,0,1,0
0,11,26,0.423,0,5,0,2,2,1,7,1,3,24,16.9,0,0,0
0,11,21,0.524,1,3,0.333,1,1,1,4,0,2,24,19.5,0,0,0
0,5,16,0.313,0,4,0,2,2,1,3,1,4,12,10.1,0,0,0
1,3,19,0.158,0,3,0,4,4,1,2,2,2,10,8.3,0,0,0
1,4,6,0.667,0,1,0,3,4,0.75,1,0,1,11,12.5,0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,0,0
1,5,10,0.5,0,1,0,0,0,0,1,2,1,10,12.5,0,0,0
1,8,17,0.471,0,0,0,1,1,1,1,0,4,17,13.4,0,0,0
0,1,5,0.2,0,1,0,0,0,0,1,1,0,2,3.6,0,0,0
