Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,5,11,0.455,0,3,0,0,0,0,2,3,3,10,10,0,0
0,0,11,19,0.579,2,4,0.5,4,4,1,2,4,2,28,27.6,0,0
0,1,6,13,0.462,3,6,0.5,2,2,1,2,4,2,17,19.1,0,0
0,1,6,11,0.545,0,2,0,0,0,0,0,2,6,12,9.3,0,0
0,1,11,16,0.688,7,9,0.778,0,3,0,2,1,5,29,25.9,0,0
0,1,5,9,0.556,3,5,0.6,3,4,0.75,0,2,1,16,14.8,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,6,10,0.6,3,7,0.429,0,0,0,2,0,4,15,9.1,0,0
0,1,8,13,0.615,3,4,0.75,0,0,0,0,2,2,19,16.9,0,0
0,0,5,8,0.625,1,2,0.5,2,2,1,0,1,3,13,12.1,0,0
0,0,9,16,0.563,1,3,0.333,1,1,1,4,1,2,20,16.9,0,0
0,0,3,5,0.6,1,2,0.5,0,0,0,0,1,2,7,8.1,0,0
0,0,7,12,0.583,1,5,0.2,0,0,0,2,1,1,15,14.3,0,0
0,1,5,8,0.625,2,2,1,0,0,0,2,2,1,12,12.7,0,0
0,0,4,10,0.4,0,1,0,4,4,1,1,0,0,12,7.9,0,0
0,1,6,13,0.462,2,4,0.5,1,3,0.333,0,1,1,15,9.9,0,0
0,1,5,12,0.417,2,7,0.286,0,0,0,2,3,2,12,11.7,0,0
0,1,4,9,0.444,2,3,0.667,2,2,1,0,0,3,12,7,0,0
0,0,9,15,0.6,1,1,1,5,5,1,3,3,2,24,25.6,0,0
0,1,8,18,0.444,4,8,0.5,2,2,1,0,0,1,22,13.6,0,0
0,1,3,14,0.214,0,2,0,2,2,1,1,3,2,8,2.6,0,0
0,0,8,15,0.533,1,5,0.2,0,0,0,0,2,1,17,17.8,0,0
0,1,6,13,0.462,2,2,1,0,0,0,1,0,0,14,10.2,0,0
0,1,1,8,0.125,0,1,0,0,0,0,3,1,2,2,3.3,0,0
0,1,2,9,0.222,0,2,0,0,0,0,0,1,1,4,1.5,0,0
0,1,10,16,0.625,4,8,0.5,3,4,0.75,1,3,0,27,28.6,0,0
0,1,5,13,0.385,1,4,0.25,0,0,0,0,0,2,11,5.7,0,0
0,0,5,10,0.5,1,2,0.5,3,4,0.75,2,1,1,14,10.8,0,0
0,0,1,2,0.5,0,1,0,0,0,0,1,0,2,2,0.9,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,2,5,0.4,0,2,0,2,2,1,1,1,1,6,5.2,0,0
0,0,6,10,0.6,4,6,0.667,1,1,1,0,1,0,17,16,0,0
0,1,7,10,0.7,3,5,0.6,3,5,0.6,3,1,2,20,18.9,0,1
0,1,6,13,0.462,1,4,0.25,2,2,1,2,2,4,15,13,0,0
0,0,9,16,0.563,7,11,0.636,1,1,1,1,2,1,26,26.8,0,0
0,0,4,11,0.364,1,4,0.25,0,0,0,1,1,4,9,6.6,0,0
0,0,3,9,0.333,2,6,0.333,0,0,0,1,3,0,8,10.3,0,0
0,1,1,6,0.167,0,2,0,0,0,0,1,1,3,2,-1.1,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,5,9,0.556,2,4,0.5,2,2,1,2,3,4,14,12.4,0,0
0,0,4,13,0.308,0,3,0,1,1,1,1,2,1,9,4.5,0,0
0,0,6,13,0.462,0,2,0,0,0,0,0,1,2,12,8.6,0,0
0,0,3,8,0.375,0,3,0,2,2,1,1,3,3,8,7,0,0
0,1,2,6,0.333,1,3,0.333,1,2,0.5,0,0,0,6,4.2,0,0
0,1,5,9,0.556,4,5,0.8,2,2,1,3,4,3,16,19.9,0,0
0,1,2,8,0.25,0,4,0,0,0,0,2,2,1,4,3.1,0,0
0,1,4,11,0.364,2,6,0.333,1,2,0.5,4,3,2,11,10.5,0,0
0,1,7,11,0.636,2,4,0.5,2,2,1,0,2,1,18,15.4,0,0
0,0,8,13,0.615,1,3,0.333,8,8,1,0,2,3,25,23.5,0,0
0,0,6,11,0.545,1,4,0.25,3,4,0.75,1,1,4,16,16.6,0,0
0,1,7,15,0.467,3,8,0.375,3,4,0.75,1,1,3,20,14.8,0,0
0,1,6,11,0.545,1,5,0.2,0,0,0,1,0,4,13,9.2,0,0
0,1,8,16,0.5,0,1,0,1,1,1,5,1,3,17,14.3,0,0
0,0,9,18,0.5,3,5,0.6,6,6,1,3,2,2,27,23.1,0,0
0,1,5,11,0.455,1,5,0.2,3,3,1,1,1,1,14,13.8,0,0
0,1,10,18,0.556,0,3,0,2,3,0.667,1,1,0,22,19,0,0
0,1,6,11,0.545,3,5,0.6,0,0,0,1,2,2,15,14.1,0,0
0,0,7,12,0.583,2,5,0.4,0,0,0,2,0,3,16,14.6,0,0
0,0,10,16,0.625,3,6,0.5,0,0,0,2,2,4,23,18.2,0,0
0,1,7,18,0.389,3,6,0.5,0,0,0,3,3,4,17,13.3,0,0
0,0,10,17,0.588,4,6,0.667,5,5,1,3,2,2,29,26.9,0,0
0,0,9,12,0.75,2,3,0.667,4,6,0.667,3,1,1,24,21.4,0,0
0,0,6,12,0.5,2,3,0.667,3,4,0.75,0,4,2,17,16.2,0,0
0,0,5,8,0.625,2,3,0.667,0,0,0,1,1,2,12,13.7,0,0
0,1,8,13,0.615,2,4,0.5,1,1,1,1,1,0,19,17.3,0,0
0,1,5,9,0.556,0,2,0,0,0,0,0,1,2,10,6.8,0,0
0,0,4,14,0.286,0,3,0,0,0,0,2,0,2,8,3,0,0
0,1,5,12,0.417,3,6,0.5,5,6,0.833,0,3,3,18,14,0,0
0,0,3,7,0.429,2,3,0.667,0,0,0,0,2,1,8,8.8,0,0
0,1,5,13,0.385,2,4,0.5,0,0,0,0,2,0,12,11.5,0,0
0,0,5,11,0.455,3,6,0.5,0,0,0,2,0,3,13,9.1,0,0
