Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,9,23,0.391,6,13,0.462,4,4,1,0,1,1,28,18.3,0,0,0
1,8,19,0.421,3,9,0.333,3,3,1,0,5,3,22,12.6,0,0,0
0,6,20,0.3,1,8,0.125,1,1,1,0,4,4,14,10.2,0,0,0
0,4,8,0.5,0,3,0,2,3,0.667,0,0,6,10,3.2,0,1,0
1,8,16,0.5,3,6,0.5,4,4,1,2,2,4,23,19.2,0,0,0
1,8,15,0.533,4,5,0.8,0,0,0,1,4,2,20,14.8,0,0,0
1,8,17,0.471,4,8,0.5,0,0,0,0,1,1,20,10.5,0,0,0
0,9,20,0.45,3,10,0.3,4,5,0.8,2,1,2,25,16.9,0,0,0
1,10,21,0.476,4,9,0.444,3,4,0.75,0,3,1,27,18.4,0,0,0
1,4,16,0.25,3,9,0.333,1,1,1,0,3,2,12,7.8,0,0,0
1,6,14,0.429,1,4,0.25,0,2,0,3,4,3,13,9.3,0,0,0
0,13,22,0.591,4,7,0.571,12,15,0.8,0,3,4,42,36.6,0,0,0
0,12,22,0.545,7,12,0.583,6,7,0.857,1,2,3,37,30.1,0,0,0
0,4,15,0.267,2,8,0.25,3,4,0.75,0,0,4,13,-0.7,0,0,0
1,5,16,0.313,3,6,0.5,5,8,0.625,2,3,5,18,12.7,0,0,0
1,9,17,0.529,6,10,0.6,2,2,1,1,5,3,26,24.2,0,0,0
0,8,19,0.421,4,10,0.4,0,0,0,2,4,4,20,17.5,0,0,0
0,7,17,0.412,2,8,0.25,0,0,0,0,5,3,16,11.1,0,0,0
1,1,12,0.083,0,4,0,0,0,0,1,4,1,2,5.8,0,0,0
1,7,17,0.412,2,6,0.333,6,7,0.857,1,1,2,22,16.1,0,0,0
0,10,21,0.476,5,9,0.556,11,11,1,0,0,4,36,31.3,0,0,0
0,2,17,0.118,1,5,0.2,3,4,0.75,2,0,4,8,-4.4,0,0,0
0,7,13,0.538,2,3,0.667,5,8,0.625,0,2,1,21,10.7,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,7,14,0.5,2,4,0.5,4,4,1,1,1,3,20,11.4,0,0,0
1,3,14,0.214,2,7,0.286,4,4,1,1,3,3,12,5.7,0,1,0
1,8,23,0.348,5,11,0.455,3,4,0.75,1,3,5,24,12.3,0,0,0
1,6,14,0.429,4,7,0.571,2,4,0.5,4,2,2,18,16.8,0,0,0
0,3,13,0.231,1,6,0.167,1,2,0.5,0,3,0,8,3.6,0,0,0
0,5,12,0.417,2,6,0.333,6,7,0.857,0,2,3,18,14.7,0,0,0
0,4,12,0.333,2,5,0.4,7,10,0.7,2,3,3,17,10.2,0,0,0
1,10,17,0.588,4,7,0.571,2,2,1,3,6,2,26,26.1,0,0,0
0,8,15,0.533,4,7,0.571,4,4,1,0,1,5,24,15,0,0,1
0,11,17,0.647,7,10,0.7,4,5,0.8,1,1,4,33,26.7,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,6,12,0.5,4,7,0.571,9,11,0.818,0,1,4,25,19.7,0,0,0
1,9,14,0.643,3,7,0.429,3,4,0.75,0,3,3,24,18.9,0,0,0
1,12,16,0.75,5,8,0.625,2,2,1,0,0,5,31,24.2,0,0,0
1,5,14,0.357,3,8,0.375,6,7,0.857,0,1,2,19,11.9,0,0,0
0,8,18,0.444,5,9,0.556,1,2,0.5,0,0,4,22,10.2,0,0,0
1,5,14,0.357,1,4,0.25,2,2,1,0,0,5,13,4.5,0,0,0
1,6,14,0.429,2,5,0.4,3,4,0.75,3,1,2,17,11.7,0,0,0
0,7,17,0.412,1,5,0.2,3,5,0.6,1,5,4,18,13.6,0,0,0
0,5,14,0.357,3,9,0.333,0,0,0,1,0,3,13,6,0,0,0
1,12,19,0.632,5,11,0.455,7,8,0.875,0,0,3,36,28.4,0,0,0
0,9,20,0.45,1,7,0.143,9,11,0.818,2,0,3,28,19.8,0,0,0
0,6,19,0.316,2,9,0.222,4,4,1,0,4,1,18,10.1,0,0,0
1,6,13,0.462,4,7,0.571,10,12,0.833,1,3,2,26,23.4,0,0,0
0,9,17,0.529,4,9,0.444,9,11,0.818,1,4,2,31,27.5,0,0,0
1,8,14,0.571,4,8,0.5,8,10,0.8,2,0,1,28,20.8,0,0,0
1,19,26,0.731,5,8,0.625,0,0,0,1,2,2,43,38,0,0,0
