Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,7,12,0.583,0,1,0,7,10,0.7,2,0,4,21,21.3,0,0,0
1,2,11,0.182,1,5,0.2,1,4,0.25,2,2,2,6,3.1,0,0,0
0,12,24,0.5,5,8,0.625,2,4,0.5,0,0,0,31,25.4,0,0,0
0,10,18,0.556,2,4,0.5,6,10,0.6,1,3,3,28,27.2,0,0,0
1,10,18,0.556,1,3,0.333,6,8,0.75,1,2,5,27,18.7,0,0,0
1,5,13,0.385,0,2,0,2,3,0.667,2,2,2,12,17.5,0,0,0
1,5,12,0.417,0,2,0,2,3,0.667,1,0,2,12,10.8,0,0,0
0,7,20,0.35,3,7,0.429,2,2,1,1,1,5,19,10.7,0,0,0
1,10,25,0.4,3,10,0.3,2,7,0.286,0,2,4,25,17,0,0,0
1,7,21,0.333,2,8,0.25,4,5,0.8,0,3,2,20,10.7,0,0,0
1,6,22,0.273,1,6,0.167,0,3,0,4,3,2,13,5.2,0,0,0
0,8,16,0.5,1,3,0.333,5,6,0.833,1,3,3,22,18.3,0,0,0
0,6,18,0.333,3,5,0.6,12,13,0.923,0,3,2,27,19.9,1,0,0
0,6,13,0.462,2,5,0.4,7,7,1,0,4,3,21,19.5,0,0,0
1,5,22,0.227,0,4,0,5,5,1,3,0,3,15,8.6,0,0,0
1,6,19,0.316,2,7,0.286,8,10,0.8,3,3,3,22,23.5,0,0,0
0,13,27,0.481,1,4,0.25,7,8,0.875,2,4,2,34,27.2,0,0,0
0,10,29,0.345,1,10,0.1,6,7,0.857,1,3,2,27,18.9,0,0,0
1,9,19,0.474,4,8,0.5,6,9,0.667,1,1,2,28,23.6,0,0,0
1,11,23,0.478,7,10,0.7,8,12,0.667,4,5,3,37,28.9,0,0,0
0,6,21,0.286,0,8,0,3,4,0.75,4,2,2,15,10.6,0,0,0
0,9,22,0.409,2,2,1,2,6,0.333,3,1,2,22,12.7,0,0,0
0,12,25,0.48,2,9,0.222,8,9,0.889,0,1,3,34,27.8,0,0,0
1,10,27,0.37,2,6,0.333,9,12,0.75,0,0,4,31,16.9,0,0,0
1,7,29,0.241,1,12,0.083,5,8,0.625,3,1,5,20,11.6,0,0,0
0,10,22,0.455,1,2,0.5,9,9,1,1,3,3,30,24.9,0,0,0
1,3,17,0.176,1,3,0.333,3,7,0.429,3,2,0,10,9.4,0,0,0
1,10,33,0.303,2,5,0.4,5,12,0.417,5,2,1,27,18.3,0,0,0
1,9,18,0.5,0,3,0,7,10,0.7,2,2,3,25,19.4,0,0,0
