Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,8,18,0.444,3,9,0.333,3,3,1,0,1,4,22,14.3,0,0,0
1,7,16,0.438,4,11,0.364,10,10,1,0,0,1,28,24.7,0,0,0
1,9,17,0.529,6,11,0.545,13,13,1,0,0,5,37,28.6,0,0,0
1,7,15,0.467,2,10,0.2,13,13,1,2,4,1,29,25.9,0,0,0
0,9,20,0.45,4,11,0.364,8,8,1,0,3,2,30,25.2,0,0,0
0,7,19,0.368,3,13,0.231,3,3,1,0,2,2,20,15.8,0,0,0
0,11,17,0.647,3,7,0.429,2,3,0.667,1,1,3,27,21.7,0,0,0
1,9,14,0.643,7,11,0.636,6,8,0.75,2,2,3,31,31,0,0,0
1,7,13,0.538,3,4,0.75,4,4,1,1,3,2,21,21.2,0,0,0
1,7,14,0.5,5,10,0.5,3,4,0.75,0,2,0,22,21.3,0,0,0
0,5,19,0.263,2,9,0.222,4,5,0.8,0,2,3,16,8.4,0,0,0
0,7,16,0.438,2,7,0.286,6,6,1,0,2,2,22,18.5,0,0,0
0,5,12,0.417,3,8,0.375,9,9,1,0,1,0,22,22.1,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,3,14,0.214,2,9,0.222,1,2,0.5,2,4,5,9,4.1,0,0,0
1,11,22,0.5,4,9,0.444,9,9,1,0,0,1,35,27.3,0,0,0
1,14,24,0.583,4,10,0.4,7,8,0.875,3,3,6,39,30.4,0,0,0
1,9,18,0.5,3,8,0.375,3,3,1,1,1,1,24,15.7,0,0,0
0,10,18,0.556,4,11,0.364,9,9,1,0,2,2,33,28.5,0,0,0
0,9,25,0.36,3,13,0.231,6,6,1,0,1,2,27,17.7,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
