Birthday,Date,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,10/18/2017,0,3,11,0.273,0,1,0,2,2,1,2,0,1,8,2.8,0,0
0,10/20/2017,0,9,18,0.5,1,3,0.333,5,8,0.625,2,2,2,24,18,0,0
0,10/21/2017,1,4,7,0.571,0,0,0,1,2,0.5,0,0,6,9,3.2,0,0
0,10/23/2017,0,1,6,0.167,0,0,0,2,2,1,0,1,2,4,1.7,0,0
0,10/25/2017,0,12,19,0.632,0,1,0,3,4,0.75,1,1,2,27,19.9,0,0
0,10/28/2017,1,6,15,0.4,0,2,0,0,0,0,1,1,2,12,5,0,0
0,10/31/2017,1,7,12,0.583,0,1,0,6,7,0.857,4,0,5,20,17.6,0,0
0,11/1/2017,1,16,22,0.727,1,2,0.5,7,10,0.7,3,1,1,40,35.7,0,0
0,11/3/2017,1,2,10,0.2,0,1,0,2,2,1,3,0,0,6,1.9,0,0
0,11/5/2017,1,7,18,0.389,0,2,0,3,4,0.75,3,0,1,17,8.1,0,0
0,11/6/2017,0,8,19,0.421,0,2,0,4,6,0.667,1,2,2,20,15.9,0,0
0,11/8/2017,0,7,16,0.438,0,1,0,2,5,0.4,4,0,2,16,10.4,0,0
0,11/10/2017,0,9,16,0.563,0,2,0,2,4,0.5,1,0,2,20,11.5,0,0
0,11/11/2017,0,15,22,0.682,0,1,0,5,5,1,1,1,4,35,26.9,0,0
0,11/13/2017,0,9,20,0.45,0,0,0,5,6,0.833,2,0,3,23,16,0,0
0,11/16/2017,0,7,11,0.636,0,1,0,0,0,0,1,1,1,14,12.1,0,0
0,11/17/2017,1,6,15,0.4,0,0,0,1,2,0.5,1,2,3,13,10.6,0,0
0,11/19/2017,0,13,20,0.65,0,2,0,1,2,0.5,4,1,2,27,22.8,0,0
0,11/22/2017,0,7,20,0.35,0,1,0,6,7,0.857,5,3,2,20,13.6,0,0
0,11/24/2017,0,7,14,0.5,1,2,0.5,3,3,1,1,0,2,18,12,0,0
0,11/26/2017,1,7,14,0.5,0,2,0,4,5,0.8,1,1,4,18,9.3,0,0
0,11/28/2017,1,10,20,0.5,1,5,0.2,4,4,1,4,1,3,25,17.9,0,0
0,11/29/2017,1,2,6,0.333,0,1,0,3,4,0.75,1,0,0,7,3.9,0,0
0,12/2/2017,1,8,21,0.381,1,2,0.5,2,4,0.5,4,4,1,19,13.7,0,0
0,12/4/2017,1,12,19,0.632,1,3,0.333,0,0,0,2,2,0,25,21.8,0,0
0,12/5/2017,1,5,11,0.455,1,2,0.5,0,0,0,0,0,3,11,0.4,0,0
0,12/7/2017,0,9,20,0.45,0,0,0,5,7,0.714,3,0,3,23,14.9,0,0
0,12/9/2017,0,7,16,0.438,2,3,0.667,8,8,1,1,0,3,24,15.1,0,0
0,12/12/2017,1,9,24,0.375,0,4,0,0,0,0,3,1,2,18,6.1,0,0
0,12/13/2017,0,5,15,0.333,0,1,0,7,8,0.875,1,0,6,17,6.7,0,0
0,12/16/2017,1,4,14,0.286,0,1,0,7,8,0.875,1,1,1,15,9.3,0,0
0,12/18/2017,1,7,13,0.538,0,2,0,5,8,0.625,1,3,4,19,12.2,0,0
0,12/20/2017,1,9,24,0.375,0,1,0,4,4,1,4,1,3,22,15.7,0,0
0,12/21/2017,0,9,15,0.6,1,1,1,8,10,0.8,2,1,1,27,21.6,0,0
0,12/23/2017,0,12,25,0.48,0,2,0,0,0,0,1,2,3,24,15.3,0,0
0,12/26/2017,0,7,14,0.5,0,1,0,3,5,0.6,0,0,3,17,8,0,0
0,12/29/2017,1,12,18,0.667,0,1,0,2,3,0.667,4,0,2,26,21.3,0,0
