Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,OKC,3,10,0.3,2,7,0.286,0,0,0,0,0,5,8,-1.1,0,0
0,0,DET,4,16,0.25,3,10,0.3,3,3,1,1,0,2,14,3.7,0,0
0,1,BOS,2,11,0.182,0,5,0,2,4,0.5,0,0,0,6,-1.1,0,0
0,0,BRK,4,12,0.333,1,5,0.2,2,3,0.667,1,0,2,11,4.7,0,0
0,1,CLE,11,19,0.579,5,10,0.5,7,8,0.875,2,2,4,34,31.7,0,0
0,0,DEN,4,11,0.364,3,10,0.3,2,2,1,1,3,1,13,11.2,0,0
0,0,HOU,9,18,0.5,5,10,0.5,0,0,0,0,2,0,23,17.9,0,0
0,0,PHO,6,15,0.4,3,11,0.273,6,6,1,0,1,3,21,13.7,0,0
0,0,IND,7,16,0.438,1,7,0.143,1,2,0.5,0,2,1,16,11.9,0,0
0,0,CHO,6,14,0.429,3,7,0.429,4,8,0.5,0,1,3,19,10.3,0,0
0,1,ORL,11,21,0.524,1,5,0.2,3,3,1,1,1,3,26,16.9,0,0
0,0,SAC,2,11,0.182,0,6,0,0,0,0,1,1,1,4,0.8,0,0
0,0,CLE,10,20,0.5,4,11,0.364,4,4,1,1,2,0,28,24.6,0,0
0,0,UTA,7,15,0.467,3,6,0.5,9,10,0.9,2,0,2,26,22.9,0,0
0,1,TOR,5,11,0.455,3,7,0.429,0,0,0,0,3,0,13,11.5,0,0
0,0,LAC,6,13,0.462,1,6,0.167,0,0,0,3,2,2,13,12.4,0,0
0,0,TOR,13,27,0.481,4,9,0.444,8,10,0.8,2,1,5,38,28.7,0,0
0,1,ATL,8,16,0.5,3,9,0.333,3,3,1,1,0,3,22,15.3,1,0
0,1,HOU,4,12,0.333,0,2,0,3,3,1,0,1,3,11,6.4,0,0
0,0,POR,6,18,0.333,2,5,0.4,2,4,0.5,1,1,3,16,7.1,0,0
0,0,MIA,5,11,0.455,1,4,0.25,1,2,0.5,0,1,3,12,5.1,0,0
0,0,ORL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,MEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
0,0,LAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,BRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
