Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,11,18,0.611,4,7,0.571,1,1,1,2,0,3,27,22.5,0,0,0
1,5,10,0.5,1,1,1,4,5,0.8,1,1,2,15,11.8,0,0,0
1,13,24,0.542,3,9,0.333,2,3,0.667,3,0,3,31,21.5,0,0,0
0,5,16,0.313,1,6,0.167,0,0,0,0,0,1,11,1.6,0,0,0
0,14,24,0.583,6,9,0.667,0,0,0,0,2,3,34,25.2,0,0,0
1,4,7,0.571,2,3,0.667,2,2,1,1,0,4,12,8.5,0,0,0
1,6,18,0.333,2,6,0.333,2,2,1,2,0,2,16,6.4,0,0,0
1,8,19,0.421,2,7,0.286,0,0,0,1,1,1,18,12.2,0,0,0
0,5,13,0.385,3,6,0.5,0,0,0,0,1,0,13,9.3,0,1,0
0,7,14,0.5,4,7,0.571,2,2,1,1,1,1,20,17.7,0,0,0
0,8,19,0.421,5,9,0.556,2,2,1,0,1,4,23,14.4,0,0,0
0,6,11,0.545,4,5,0.8,0,0,0,3,0,2,16,11.2,0,0,0
0,8,15,0.533,5,8,0.625,4,4,1,0,0,2,25,19.7,0,0,0
1,4,11,0.364,2,4,0.5,3,3,1,0,0,0,13,8.2,0,1,0
1,6,16,0.375,1,5,0.2,2,2,1,1,1,3,15,10,0,0,0
1,6,16,0.375,2,7,0.286,4,5,0.8,1,2,0,18,14.6,0,0,0
0,4,10,0.4,2,5,0.4,1,1,1,0,0,0,11,8.2,0,0,0
1,6,15,0.4,1,6,0.167,0,0,0,3,1,1,13,9.9,0,0,0
1,11,16,0.688,5,6,0.833,4,4,1,3,0,2,31,27,0,0,0
0,8,14,0.571,2,6,0.333,2,3,0.667,0,0,1,20,15.4,0,0,0
1,6,11,0.545,2,5,0.4,1,1,1,0,0,2,15,10.2,0,0,0
1,9,15,0.6,3,6,0.5,6,7,0.857,1,1,3,27,19.7,0,0,0
1,6,15,0.4,3,7,0.429,0,0,0,0,1,5,15,8.1,0,0,0
1,8,14,0.571,4,9,0.444,1,1,1,1,3,1,21,16.9,0,1,0
0,4,12,0.333,2,5,0.4,1,1,1,0,0,1,11,7.4,0,0,0
0,5,15,0.333,3,9,0.333,6,6,1,2,1,0,19,14.4,0,0,0
0,0,7,0,0,4,0,2,2,1,1,1,3,2,-3.6,0,0,0
1,8,11,0.727,1,3,0.333,2,2,1,0,1,3,19,15.9,0,0,0
1,2,14,0.143,2,7,0.286,0,1,0,1,0,2,6,-0.8,0,0,0
0,7,17,0.412,3,5,0.6,0,0,0,1,2,0,17,9.9,0,1,0
1,4,16,0.25,0,4,0,2,3,0.667,0,2,1,10,1.5,0,0,0
0,7,16,0.438,3,6,0.5,7,10,0.7,1,0,1,24,18.5,0,0,0
