Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,4,12,0.333,1,4,0.25,2,2,1,1,0,3,11,5.3,1,0
0,0,5,12,0.417,2,5,0.4,0,1,0,2,1,0,12,8.5,0,0
0,1,2,7,0.286,1,2,0.5,0,1,0,0,1,1,5,4,0,0
0,1,5,8,0.625,1,2,0.5,2,2,1,0,1,2,13,12.2,0,0
0,0,7,12,0.583,3,5,0.6,2,2,1,2,1,1,19,15.3,0,0
0,0,5,12,0.417,2,5,0.4,2,2,1,1,1,1,14,12.5,0,0
0,0,6,17,0.353,2,6,0.333,5,5,1,4,0,0,19,16.2,0,0
0,0,13,20,0.65,4,6,0.667,2,3,0.667,0,2,4,32,21.9,0,0
0,1,6,13,0.462,2,6,0.333,6,6,1,1,0,2,20,14.6,0,0
0,1,10,16,0.625,3,6,0.5,3,3,1,0,1,3,26,19.3,0,0
0,1,8,15,0.533,1,4,0.25,4,6,0.667,0,3,2,21,17.9,0,0
0,1,8,12,0.667,1,3,0.333,5,6,0.833,1,3,1,22,20.1,0,0
0,1,11,16,0.688,3,4,0.75,2,2,1,0,0,2,27,22.3,0,0
0,0,6,15,0.4,1,5,0.2,5,7,0.714,2,1,1,18,18,0,0
0,0,3,10,0.3,0,2,0,1,2,0.5,2,0,1,7,3.4,0,0
0,0,7,15,0.467,1,3,0.333,5,6,0.833,1,0,2,20,15.2,0,0
0,0,7,13,0.538,2,4,0.5,2,3,0.667,1,2,3,18,14.8,0,0
0,1,7,15,0.467,1,3,0.333,0,4,0,1,3,1,15,6.7,0,0
0,0,5,15,0.333,2,5,0.4,6,8,0.75,2,0,3,18,11.2,0,0
0,1,9,17,0.529,3,6,0.5,1,2,0.5,0,0,2,22,12.9,0,0
0,0,1,7,0.143,0,3,0,1,2,0.5,0,1,1,3,1.4,0,0
0,1,10,20,0.5,5,7,0.714,6,6,1,1,1,1,31,31.5,0,0
0,0,6,14,0.429,2,4,0.5,2,2,1,0,1,1,16,16.1,0,0
0,1,4,13,0.308,3,7,0.429,4,5,0.8,0,1,2,15,7,0,0
0,0,10,19,0.526,3,7,0.429,4,4,1,0,1,5,27,18.4,0,0
0,0,13,24,0.542,2,8,0.25,1,2,0.5,2,0,2,29,23.1,0,0
0,0,5,17,0.294,1,7,0.143,0,0,0,0,0,3,11,0.6,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,9,15,0.6,4,5,0.8,0,0,0,0,1,3,22,16.6,0,0
0,0,7,16,0.438,4,8,0.5,7,8,0.875,0,1,0,25,21.3,0,0
0,1,4,16,0.25,1,6,0.167,1,1,1,1,2,1,10,6.4,0,0
0,1,9,21,0.429,1,6,0.167,4,4,1,1,1,3,23,17.3,0,0
0,0,10,20,0.5,6,11,0.545,4,4,1,1,3,3,30,30,0,0
0,1,10,22,0.455,2,5,0.4,3,4,0.75,1,1,3,25,18.1,0,0
0,1,8,17,0.471,2,6,0.333,14,15,0.933,0,0,2,32,27.1,0,0
0,1,9,16,0.563,3,5,0.6,1,3,0.333,0,1,1,22,20.4,0,0
0,1,10,16,0.625,5,7,0.714,1,1,1,1,1,2,26,23,1,0
0,1,5,13,0.385,1,4,0.25,7,13,0.538,2,3,2,18,13.2,0,0
0,0,10,24,0.417,3,10,0.3,3,3,1,0,1,3,26,16.4,0,0
0,0,10,24,0.417,2,6,0.333,6,7,0.857,1,1,0,28,19.1,1,0
0,1,5,13,0.385,2,7,0.286,0,0,0,1,2,2,12,5.2,0,0
0,0,7,15,0.467,1,4,0.25,0,0,0,2,1,2,15,17.4,0,0
0,0,9,21,0.429,2,7,0.286,3,3,1,1,1,2,23,19.3,0,0
0,0,4,15,0.267,1,5,0.2,5,6,0.833,2,1,0,14,7.8,1,0
0,1,3,16,0.188,2,9,0.222,4,4,1,0,0,2,12,3.6,1,0
0,0,6,16,0.375,1,5,0.2,5,7,0.714,0,1,2,18,13.4,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,11,17,0.647,3,5,0.6,2,2,1,1,1,2,27,22.2,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
