Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,6,12,0.5,2,6,0.333,8,10,0.8,0,4,5,22,18.5,0,0,0
0,5,17,0.294,0,3,0,7,9,0.778,0,0,1,17,7.8,0,0,0
1,10,23,0.435,4,8,0.5,4,4,1,2,4,4,28,22.5,0,0,0
1,11,16,0.688,2,4,0.5,4,4,1,0,2,4,28,20.6,0,0,0
1,11,18,0.611,5,8,0.625,8,8,1,0,1,5,35,25.7,0,1,0
0,7,14,0.5,2,3,0.667,7,8,0.875,0,0,3,23,12.1,0,0,0
0,4,10,0.4,1,3,0.333,5,6,0.833,1,1,1,14,9.5,0,0,0
1,9,20,0.45,5,7,0.714,0,0,0,1,1,3,23,15.3,0,0,0
1,12,20,0.6,3,7,0.429,4,5,0.8,1,0,0,31,25.9,0,0,0
1,7,21,0.333,1,7,0.143,2,3,0.667,1,2,1,17,8,0,0,0
0,6,17,0.353,1,3,0.333,2,2,1,0,0,3,15,5.3,0,0,0
1,8,21,0.381,3,5,0.6,2,4,0.5,1,1,5,21,5.1,0,0,0
1,11,20,0.55,1,3,0.333,2,3,0.667,1,2,1,25,21,0,0,0
0,11,17,0.647,2,5,0.4,4,6,0.667,1,1,3,28,19.5,0,0,0
1,8,20,0.4,3,7,0.429,2,2,1,0,1,1,21,15.1,0,0,0
0,6,19,0.316,5,10,0.5,4,7,0.571,2,1,1,21,14.3,0,0,0
1,6,15,0.4,1,3,0.333,2,3,0.667,1,2,2,15,10.2,0,0,0
1,8,19,0.421,1,2,0.5,12,14,0.857,2,7,5,29,30.5,0,1,0
0,8,15,0.533,2,4,0.5,3,5,0.6,0,1,1,21,11.9,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,11,14,0.786,4,6,0.667,0,0,0,0,2,5,26,23.7,0,1,0
1,8,20,0.4,1,8,0.125,2,2,1,0,5,1,19,16.6,0,0,0
1,14,22,0.636,3,8,0.375,5,7,0.714,0,3,1,36,34.4,0,0,0
0,6,10,0.6,3,5,0.6,1,2,0.5,0,1,1,16,13.3,0,0,0
0,10,20,0.5,4,10,0.4,3,4,0.75,0,3,2,27,17.6,0,0,0
0,11,24,0.458,6,13,0.462,5,10,0.5,2,1,4,33,21.7,0,0,0
0,15,28,0.536,6,12,0.5,11,13,0.846,1,2,1,47,37.6,0,0,0
0,9,26,0.346,1,9,0.111,0,0,0,0,2,2,19,7.3,0,1,0
0,8,22,0.364,5,12,0.417,5,5,1,0,1,3,26,18.5,0,0,0
1,9,14,0.643,4,6,0.667,4,5,0.8,0,1,3,26,21.4,0,0,0
0,13,23,0.565,2,7,0.286,10,13,0.769,0,3,1,38,31.4,0,0,0
1,8,15,0.533,3,5,0.6,4,5,0.8,0,1,3,23,16,0,0,0
0,13,23,0.565,2,8,0.25,10,10,1,0,1,4,38,32.6,0,0,0
1,5,11,0.455,2,6,0.333,1,2,0.5,0,2,0,13,10.7,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,9,11,0.818,2,3,0.667,3,4,0.75,2,5,0,23,31.4,0,0,0
0,6,11,0.545,1,5,0.2,2,2,1,0,3,2,15,13,0,0,0
0,9,21,0.429,0,6,0,8,11,0.727,1,3,5,26,16,0,0,0
0,8,21,0.381,2,6,0.333,1,1,1,0,1,2,19,9,0,0,0
1,6,11,0.545,2,4,0.5,3,4,0.75,0,4,3,17,14.3,0,0,0
1,9,16,0.563,5,8,0.625,5,6,0.833,0,2,3,28,25.8,0,0,0
1,9,25,0.36,1,9,0.111,4,5,0.8,1,1,1,23,13.3,0,0,0
1,11,26,0.423,1,5,0.2,2,2,1,1,1,2,25,14.1,0,0,0
1,8,15,0.533,1,2,0.5,2,2,1,0,3,1,19,11.2,0,0,0
0,6,11,0.545,2,6,0.333,7,7,1,1,3,3,21,24.4,0,0,0
1,9,19,0.474,4,10,0.4,3,4,0.75,1,1,2,25,18.2,0,0,0
0,10,20,0.5,1,6,0.167,3,4,0.75,0,1,1,24,16.9,0,1,0
0,11,15,0.733,1,3,0.333,2,2,1,0,1,3,25,20,0,0,0
0,5,12,0.417,1,5,0.2,2,2,1,0,2,3,13,4.8,0,0,0
1,11,21,0.524,3,4,0.75,10,11,0.909,1,2,1,35,28.9,0,0,0
0,7,17,0.412,0,5,0,5,6,0.833,0,3,3,19,15.2,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,15,29,0.517,2,8,0.25,3,4,0.75,2,5,1,35,25.1,0,0,0
0,10,24,0.417,2,8,0.25,8,10,0.8,0,6,1,30,30.4,0,0,0
1,9,24,0.375,1,4,0.25,6,6,1,1,3,1,25,16.5,0,0,0
0,5,16,0.313,2,6,0.333,2,2,1,2,4,5,14,14.7,0,0,0
1,8,13,0.615,0,3,0,5,6,0.833,0,1,4,21,16.1,0,0,0
1,9,25,0.36,1,9,0.111,3,5,0.6,3,6,2,22,16.4,0,0,0
1,9,19,0.474,2,6,0.333,1,4,0.25,0,2,3,21,12.9,0,0,0
1,11,20,0.55,2,4,0.5,9,10,0.9,2,3,1,33,29.6,0,0,0
0,5,19,0.263,1,2,0.5,3,4,0.75,0,1,1,14,-1.4,0,0,0
0,6,19,0.316,0,3,0,1,2,0.5,0,5,4,13,8.6,0,0,0
0,7,9,0.778,2,4,0.5,1,1,1,0,2,2,17,16.7,0,0,0
1,10,20,0.5,2,5,0.4,5,5,1,1,3,1,27,20.4,0,0,0
1,4,21,0.19,1,4,0.25,2,3,0.667,0,2,4,11,0.9,0,0,0
0,8,19,0.421,1,4,0.25,1,1,1,1,3,2,18,9.7,0,0,0
1,7,16,0.438,1,4,0.25,3,4,0.75,2,3,1,18,12.6,0,0,0
0,8,15,0.533,1,3,0.333,3,4,0.75,2,3,2,20,14.5,0,0,0
1,7,16,0.438,3,7,0.429,4,4,1,0,1,5,21,12.8,0,0,0
0,4,16,0.25,3,10,0.3,7,8,0.875,2,2,1,18,15.7,0,0,0
